PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Travis Kelce,2540258,TE,KC,,,1,7,,83,1038,8,,,,,,,,,,,,,,,1,194.50
Rob Gronkowski,497240,TE,TB,,,,,,69,1084,8,,,1,1,5.98,,69,69,69,105,66,22,11,8,2,193.40
Zach Ertz,2540158,TE,ARI,,,,,,74,824,8,,,,1,,,,,,,,,,,3,168.80
Evan Engram,2557858,TE,NYG,,,,14,,64,722,6,,,,,5.28,1,64,65,64,115,56,11,7,5,4,145.00
Jimmy Graham,497236,TE,CHI,,,,,,57,520,10,,,1,,4.47,,57,57,57,96,59,26,16,15,5,144.20
Jack Doyle,2540232,TE,IND,,,,,,80,690,4,,,,2,4.69,,80,80,80,108,74,10,6,5,6,132.40
Cameron Brate,2550656,TE,TB,,,,,,48,591,6,,,,1,5.98,,48,48,48,77,62,13,5,4,7,120.47
Jason Witten,2505629,TE,FA,,,,,,63,560,5,,,,1,,,,,,,,,,,8,115.50
Tyler Kroft,2552586,TE,NYJ,,,,,,42,404,7,,,,,5.92,,42,42,42,62,68,12,7,8,9,110.20
Eric Ebron,2543466,TE,PIT,,,,,,53,574,4,,,,1,4.49,,53,53,53,86,62,12,4,2,10,109.30
Jared Cook,71265,TE,LAC,,,,,,54,688,2,,,,1,4.32,,54,54,54,86,63,9,1,2,11,109.20
Austin Hooper,2555415,TE,CLE,,,,,,49,526,3,,,,,4.95,,49,49,49,65,75,9,7,5,12,98.50
George Kittle,2558266,TE,SF,,,,,,43,515,2,,,,,3.37,,43,43,43,63,68,16,9,5,13,86.70
David Njoku,2557986,TE,CLE,,,,1,,32,386,4,,,,,4.95,1,32,33,32,60,53,9,2,5,14,80.40
Trey Burton,2550284,TE,FA,,,,,,23,248,5,,,1,,,,,,,,,,,,15,76.80
Jesse James,2552633,TE,CHI,,,,,,43,372,3,,,,,4.47,,43,43,43,63,68,12,5,7,16,76.70
Marcedes Lewis,2495888,TE,GB,,,,,,24,318,5,,,1,,2.82,,24,24,24,48,50,10,5,5,17,75.80
Seth DeValve,2556365,TE,FA,,,,,,33,395,1,,,,1,,,,,,,,,,,18,67.60
Stephen Anderson,2556463,TE,LAC,,,,,,25,342,1,,,,,4.32,,25,25,25,52,48,8,1,6,19,56.10
Luke Willson,2541199,TE,FA,,,,,,15,153,4,,,,,,,,,,,,,,,20,52.90
