PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Alvin Kamara,2558019,RB,NO,@DAL,,,,115,3,2,65,1,,,,,46.90,20,2,22,2,3,67,,2,,1,43.00
James Cook,2567328,RB,BUF,@MIA,,,,78,2,1,17,1,,,,,35.00,11,1,12,1,1,100,,,,2,28.00
De'Von Achane,2570062,RB,MIA,BUF,,,,96,,7,69,1,,,,,28.80,22,7,29,7,7,100,,,,3,26.00
Breece Hall,2568030,RB,NYJ,@TEN,,,,62,,7,52,1,,,,,39.50,14,7,21,7,8,88,,,,4,20.90
J.K. Dobbins,2563548,RB,LAC,@CAR,,,,131,1,1,,,,,,,26.60,17,1,18,1,1,100,,,,5,19.60
Braelon Allen,2572354,RB,NYJ,@TEN,,,,33,1,2,23,1,,,,,39.50,7,2,9,2,4,50,,,,6,18.60
James Conner,2557978,RB,ARI,LAR,,,,122,1,1,2,,,,,1,25.20,21,1,22,1,1,100,,2,1,7,16.90
Derrick Henry,2556075,RB,BAL,LV,,,,84,1,1,12,,,,,,20.30,18,1,19,1,1,100,,2,2,8,16.10
Jordan Mason,2569257,RB,SF,@MIN,,,,100,1,1,4,,,,,1,19.30,20,1,21,1,1,100,,2,1,9,15.90
Saquon Barkley,2560968,RB,PHI,ATL,,,,95,,4,21,,,,1,,17.70,22,4,26,4,5,80,,,,10,15.60
Zach Charbonnet,2570335,RB,SEA,@NE,,,,38,1,5,31,,,,,,15.40,14,5,19,5,5,100,,,,11,15.40
Bijan Robinson,2569558,RB,ATL,@PHI,,,,97,,4,25,,,,,,22.20,14,4,18,4,5,80,,,,12,15.20
David Montgomery,2562502,RB,DET,TB,,,,35,1,4,35,,,,,,31.30,11,4,15,4,4,100,1,2,,13,15.00
Jahmyr Gibbs,2569747,RB,DET,TB,,,,84,,7,22,,,,,,31.30,13,7,20,7,7,100,,,,14,14.10
Brian Robinson,2568348,RB,WAS,NYG,,,,133,,1,3,,,,,,24.70,17,1,18,1,3,33,,,,15,14.10
Devin Singletary,2562734,RB,NYG,@WAS,,,,95,1,1,,,,,,1,14.20,16,1,17,1,1,100,,1,1,16,14.00
Rhamondre Stevenson,2566343,RB,NE,SEA,,,,81,1,2,9,,,,,1,25.00,21,2,23,2,5,40,,3,,17,14.00
Isiah Pacheco,2567808,RB,KC,CIN,,,,90,,5,21,,,,,,14.80,19,5,24,5,5,100,,,,18,13.60
Travis Etienne,2566157,RB,JAX,CLE,,,,52,1,3,6,,,,,,17.50,13,3,16,3,4,75,1,3,2,19,13.30
Kyren Williams,2567862,RB,LAR,@ARI,,,,25,1,4,27,,,,,,16.50,12,4,16,4,5,80,3,6,2,20,13.20
Josh Jacobs,2562377,RB,GB,IND,,,,151,,,,,,,,1,16.30,32,,32,,,,,,,21,13.10
Tony Pollard,2562699,RB,TEN,NYJ,,,,62,,5,40,,,,,,18.30,17,5,22,5,6,83,,,,22,12.70
Jonathan Taylor,2564148,RB,IND,@GB,,,,103,,2,32,,,,,1,14.40,12,2,14,2,4,50,,,,23,12.50
Antonio Gibson,2565276,RB,NE,SEA,,,,96,,1,7,,,,,,25.00,11,1,12,1,1,100,,,,24,10.80
Austin Ekeler,2559169,RB,WAS,NYG,,,,38,,3,47,,,,,,24.70,8,3,11,3,3,100,,,,25,10.00
Chuba Hubbard,2565899,RB,CAR,LAC,,,,64,,4,12,,,,,,13.60,10,4,14,4,5,80,,,,26,9.60
Javonte Williams,2566049,RB,DEN,PIT,,,,17,,5,48,,,,,,15.50,11,5,16,5,5,100,,,,27,9.00
Ty Chandler,2567907,RB,MIN,SF,,,,82,,,,,,,,,15.50,10,,10,,,,,,,28,8.20
Jaylen Warren,2568493,RB,PIT,@DEN,,,,42,,2,19,,,,,,16.30,9,2,11,2,2,100,,,,29,8.10
Rico Dowdle,2565295,RB,DAL,NO,,,,30,,4,29,,,,,,14.90,7,4,11,4,5,80,,,,30,7.90
Najee Harris,2566448,RB,PIT,@DEN,,,,69,,1,5,,,,,,16.30,17,1,18,1,2,50,,,,31,7.90
Khalil Herbert,2565926,RB,CHI,@HOU,,,,3,1,2,4,,,,,,14.50,2,2,4,2,2,100,,,,32,7.70
Aaron Jones,2558116,RB,MIN,SF,,,,32,,5,36,,,,,1,15.50,9,5,14,5,6,83,,,,33,7.30
Tyler Allgeier,2567232,RB,ATL,@PHI,,,,53,,1,12,,,,,,22.20,9,1,10,1,1,100,,,,34,7.00
Jerome Ford,2567469,RB,CLE,@JAX,,,,64,,1,,,,,,,12.50,7,1,8,1,2,50,,,,35,6.90
Joe Mixon,2557976,RB,HOU,CHI,,,,25,,3,25,,,,,,13.30,9,3,12,3,5,60,,,,36,6.50
D'Andre Swift,2563965,RB,CHI,@HOU,,,,18,,4,24,,,,,,14.50,14,4,18,4,5,80,,,,37,6.20
Alexander Mattison,2562682,RB,LV,@BAL,,,,1,1,,,,,,,,13.20,4,,4,,,,,1,1,38,6.10
Gus Edwards,2561324,RB,LAC,@CAR,,,,59,,,,,,,,,26.60,18,,18,,,,,,,39,5.90
Tyjae Spears,2569795,RB,TEN,NYJ,,,,20,,2,11,,,,,,18.30,6,2,8,2,2,100,,,,40,5.60
Zamir White,2567883,RB,LV,@BAL,,,,24,,3,14,,,,,,13.20,9,3,12,3,4,75,,,,41,5.30
Zack Moss,2563617,RB,CIN,@KC,,,,34,,1,13,,,,,,8.30,12,1,13,1,1,100,,,,42,5.20
Ezekiel Elliott,2555224,RB,DAL,NO,,,,16,,2,16,,,,,,14.90,6,2,8,2,3,67,,,,43,4.80
Dare Ogunbowale,2559362,RB,HOU,CHI,,,,3,,2,20,,,,,,13.30,2,2,4,2,2,100,,,,44,4.80
Emari Demercado,2571065,RB,ARI,LAR,,,,46,,,,,,,,,25.20,2,,2,,,,,,,45,4.60
D'Onta Foreman,2557994,RB,CLE,@JAX,,,,42,,1,9,,,,,1,12.50,14,1,15,1,1,100,,,,46,4.60
Justice Hill,2562407,RB,BAL,LV,,,,22,,2,10,,,,,,20.30,4,2,6,2,2,100,,,,47,4.20
D'Ernest Johnson,2563327,RB,JAX,CLE,,,,26,,,,,,,,,17.50,5,,5,,,,,,,48,4.20
Miles Sanders,2562722,RB,CAR,LAC,,,,20,,3,5,,,,,,13.60,7,3,10,3,3,100,,,,49,4.00
Jamaal Williams,2558204,RB,NO,@DAL,,,,39,,,,,,,,,46.90,8,,8,,,,,,,50,3.90
Ty Johnson,2562293,RB,BUF,@MIA,,,,-1,,1,33,,,,,,35.00,1,1,2,1,2,50,,,,51,3.70
Kyle Juszczyk,2540230,RB,SF,@MIN,,,,,,3,19,,,,,,19.30,,3,3,3,5,60,,,,52,3.40
Ray Davis,2571862,RB,BUF,@MIA,,,,29,,1,-1,,,,,,35.00,9,1,10,1,1,100,,,,53,3.30
Chase Brown,2569642,RB,CIN,@KC,,,,31,,,,,,,,,8.30,4,,4,,,,,,,54,3.10
Blake Corum,2572189,RB,LAR,@ARI,,,,28,,,,,,,,,16.50,8,,8,,,,,,,55,2.80
Rachaad White,2568315,RB,TB,@DET,,,,18,,1,5,,,,,,6.50,10,1,11,1,1,100,,,,56,2.80
Tyler Badie,2567265,RB,DEN,PIT,,,,16,,1,2,,,,,,15.50,1,1,2,1,1,100,,,,57,2.30
MarShawn Lloyd,2572042,RB,GB,IND,,,,15,,1,3,,,,,,16.30,6,1,7,1,1,100,,,,58,2.30
Trey Benson,2572405,RB,ARI,LAR,,,,10,,1,7,,,,,,25.20,11,1,12,1,1,100,,,,59,2.20
Bucky Irving,2572546,RB,TB,@DET,,,,22,,,,,,,,,6.50,7,,7,,,,,,,60,2.20
Sione Vaki,2572021,RB,DET,TB,,,,,,1,17,,,,,,31.30,,1,1,1,1,100,,,,61,2.20
Deuce Vaughn,2569699,RB,DAL,NO,,,,11,,1,6,,,,,,14.90,4,1,5,1,1,100,,,,62,2.20
Jeff Wilson,2560938,RB,MIA,BUF,,,,,,2,12,,,,,,28.80,,2,2,2,2,100,,,,63,2.20
Michael Burton,2552636,RB,DEN,PIT,,,,,,1,1,,,,,,15.50,,1,1,1,1,100,,,,64,2.10
Jaleel McLaughlin,2570942,RB,DEN,PIT,,,,6,,,,,,,,,15.50,3,,3,,,,,,,65,2.10
Cam Akers,2564319,RB,HOU,CHI,,,,32,,1,3,,,,,1,13.30,7,1,8,1,1,100,,,,66,2.00
Ameer Abdullah,2552374,RB,LV,@BAL,,,,1,,2,1,,,,,,13.20,2,2,4,2,2,100,,,,67,1.80
DeeJay Dallas,2565144,RB,ARI,LAR,,,,,,,,,,,,,25.20,,,,,,,,,,68,1.50
Will Shipley,2572390,RB,PHI,ATL,,,,,,,,,,,,,17.70,,,,,,,,,,69,1.50
Sean Tucker,2571629,RB,TB,@DET,,,,,,,,,,,,,6.50,,,,,,,,,,70,1.50
Trey Sermon,2566544,RB,IND,@GB,,,,,,1,7,,,,,,14.40,2,1,3,1,1,100,,,,71,1.20
Hassan Haskins,2567649,RB,LAC,@CAR,,,,11,,,,,,,,,26.60,3,,3,,,,,,,72,1.10
Pierre Strong,2567952,RB,CLE,@JAX,,,,-5,,1,10,,,,,,12.50,1,1,2,1,2,50,,,,73,1.00
Emanuel Wilson,2570912,RB,GB,IND,,,,9,,,,,,,,,16.30,5,,5,,,,,,,74,0.90
Samaje Perine,2558138,RB,KC,CIN,,,,,,1,3,,,,,,14.80,,1,1,1,1,100,,,,75,0.80
Tyler Goodson,2567595,RB,IND,@GB,,,,,,1,2,,,,,,14.40,,1,1,1,1,100,,,,76,0.70
Kenneth Gainwell,2566397,RB,PHI,ATL,,,,6,,,,,,,,,17.70,2,,2,,,,,,,77,0.60
Travis Homer,2562665,RB,CHI,@HOU,,,,6,,,,,,,,,14.50,1,,1,,,,,,,78,0.60
