PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Travis Kelce,2540258,TE,KC,,,,,,103,1336,10,,,,2,,,,,,,,,,,1,244.50
Zach Ertz,2540158,TE,ARI,,,,,,116,1163,8,,,,1,,,,,,,,,,,2,220.30
George Kittle,2558266,TE,SF,,,,10,,88,1377,5,,,1,,8.43,1,88,89,88,136,65,19,10,8,3,218.10
Eric Ebron,2543466,TE,PIT,,,,-8,1,66,750,13,,,,1,7.76,3,66,69,66,110,60,21,14,7,4,190.90
Jared Cook,71265,TE,LAC,,,,,,68,896,6,,,,,4.18,,68,68,68,101,67,15,10,10,5,163.00
Austin Hooper,2555415,TE,CLE,,,,,,71,660,4,,,1,,7.41,,71,71,71,88,81,13,9,8,6,127.50
Trey Burton,2550284,TE,FA,,,,2,,54,569,6,,,1,1,,,,,,,,,,,7,121.80
David Njoku,2557986,TE,CLE,,,,,,56,639,4,,,,,7.41,,56,56,56,88,64,9,6,6,8,119.30
Vance McDonald,2540215,TE,FA,,,,,,50,610,4,,,,2,,,,,,,,,,,9,109.40
Rob Gronkowski,497240,TE,TB,,,,,,47,682,3,,,,1,5.74,,47,47,47,72,65,8,3,2,10,108.50
Evan Engram,2557858,TE,NYG,,,,36,,45,577,3,,,1,,3.72,3,45,48,45,64,70,7,5,2,11,103.80
Jimmy Graham,497236,TE,CHI,,,,,,55,636,2,,,,,2.81,,55,55,55,89,62,9,4,6,12,103.10
Chris Herndon,2560738,TE,MIN,,,,,,39,502,4,,,,2,2.84,,39,39,39,56,70,8,6,1,13,98.30
Jordan Reed,2540160,TE,FA,,,,,,54,558,2,,,,1,,,,,,,,,,,14,94.50
Mark Andrews,2560957,TE,BAL,,,,,,34,552,3,,,,,8.36,,34,34,34,50,68,7,3,3,15,91.90
Cameron Brate,2550656,TE,TB,,,,,,30,289,6,,,,1,5.74,,30,30,30,49,61,12,8,4,16,80.60
Dallas Goedert,2560995,TE,PHI,,,,,,33,334,4,,,,,7.04,,33,33,33,44,75,7,5,3,17,79.10
Jesse James,2552633,TE,CHI,,,,,,30,423,2,,,,,2.81,,30,30,30,39,77,5,3,2,18,74.40
Gerald Everett,2557889,TE,SEA,,,,16,,33,320,3,,,1,,5.67,2,33,35,33,50,66,11,6,4,19,71.10
Greg Olsen,2495700,TE,FA,,,,,,27,291,4,,,,,,,,,,,,,,,20,67.60
Ian Thomas,2560894,TE,CAR,,,,,,36,333,2,,,,,4.56,,36,36,36,49,73,7,5,2,21,65.00
Ricky Seals-Jones,2559248,TE,WAS,,,,,,34,343,1,,,,,8.24,,34,34,34,69,49,4,,3,22,61.70
Nick Vannett,2555289,TE,NO,,,,,,29,269,3,,,,1,6.58,,29,29,29,43,67,6,5,3,23,57.40
Jason Croom,2559159,TE,PHI,,,,,,22,259,1,,1,,2,7.04,,22,22,22,35,63,1,1,,24,56.80
Jonnu Smith,2558207,TE,NE,,,,,,20,258,3,,,,1,4.09,,20,20,20,30,67,5,3,3,25,53.50
Tyler Higbee,2555364,TE,LA,,,,,,24,292,2,,,,1,,,,,,,,,,,26,52.20
Jack Doyle,2540232,TE,IND,,,,,,26,245,2,,,,1,3.08,,26,26,26,33,79,7,6,4,27,50.90
Levine Toilolo,2540203,TE,NYG,,,,,,21,263,1,,,,,3.72,,21,21,21,24,88,2,1,,28,46.20
Geoff Swaim,2553454,TE,TEN,,,,,,26,242,1,,,,,6.36,,26,26,26,32,81,4,3,2,29,45.70
Demetrius Harris,2541187,TE,ARI,,,,,,12,164,3,,,,,,,,,,,,,,,30,44.60
Ryan Griffin,2541316,TE,NYJ,,,,,,24,305,,,,,,3.83,,24,24,24,43,56,10,2,5,31,42.50
Anthony Firkser,2558942,TE,TEN,,,,,,19,225,1,,,,,6.36,,19,19,19,20,95,4,4,,32,39.70
James O'Shaughnessy,2553318,TE,JAX,,,,,,24,214,,,,,,4.05,,24,24,24,38,63,2,2,,33,39.50
Luke Stocker,2495234,TE,MIN,,,,,,15,165,2,,,,,2.84,1,15,16,15,21,71,1,2,1,34,38.50
Darren Fells,2540928,TE,TB,,,,,,11,117,3,,,,,5.74,,11,11,11,12,92,2,2,2,35,36.00
Maxx Williams,2552468,TE,ARI,,,,8,,16,143,1,,,,,,,,,,,,,,,36,35.90
Josh Hill,2541834,TE,FA,,,,,,16,185,1,,,,,,,,,,,,,,,37,34.20
Lee Smith,2495347,TE,ATL,,,,,,10,73,3,,,,,7.44,,10,10,10,11,91,4,4,4,38,33.70
Jordan Akins,2560951,TE,HOU,,,,,,17,225,,,,,,4.09,,17,17,17,25,68,2,,1,39,32.70
Will Dissly,2561046,TE,SEA,,,,,,8,156,2,,,,,5.67,,8,8,8,14,57,2,2,1,40,31.60
