PlayerName,PlayerId,Pos,Team,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,Rank,TotalPoints
Ka'imi Fairbairn,2556521,K,HOU,39,2,1,9,11,12,4,,,,1,165.70
Justin Tucker,2536340,K,BAL,36,1,,12,9,9,5,,,,2,157.00
Wil Lutz,2556601,K,NO,52,1,1,5,9,11,2,,,,3,153.10
Jason Myers,2553112,K,SEA,30,3,,4,13,10,6,,,1,4,142.70
Mason Crosby,2507232,K,GB,34,2,,4,10,11,5,,,1,5,138.00
Aldrick Rosas,2556771,K,DET,31,1,,9,13,6,4,,,,6,138.00
Harrison Butker,2558245,K,KC,65,4,,9,7,6,2,,,,7,137.50
Stephen Gostkowski,2506922,K,FA,49,1,,11,10,4,2,,,,8,135.00
Matt Prater,2506677,K,ARI,30,,,8,12,5,3,,,,9,129.32
Greg Zuerlein,2534797,K,DAL,35,1,,9,10,4,4,,,,10,126.70
Dustin Hopkins,2539227,K,LAC,25,1,,5,7,10,4,,,,11,119.70
Jake Elliott,2558172,K,PHI,33,2,,7,10,7,2,,,1,12,115.00
Cody Parkey,2550380,K,FA,42,3,,6,7,9,1,,,3,13,110.00
Brandon McManus,2541556,K,DEN,35,,,5,6,7,2,,,,14,107.70
Ryan Succop,89802,K,TB,28,3,,5,13,5,3,,1,,15,106.00
Randy Bullock,2533444,K,TEN,39,2,,4,7,6,2,,,1,16,99.00
Dan Bailey,2495259,K,FA,30,1,,5,11,4,1,,1,,17,95.70
Jason Sanders,2561153,K,MIA,35,1,,7,3,7,1,,,,18,95.00
Daniel Carlson,2560993,K,LV,24,,,2,3,9,3,,,1,19,91.50
Chris Boswell,2550545,K,PIT,43,5,,3,4,5,1,,,2,20,79.48
Mike Badgley,2560965,K,IND,27,1,,4,5,5,1,,,,21,78.50
Graham Gano,71309,K,NYG,30,3,,3,4,4,3,,,1,22,72.00
Cairo Santos,2550636,K,CHI,22,1,1,4,6,3,,,,,23,64.00
Mike Nugent,2506386,K,FA,4,1,,3,,2,1,,,,24,23.00
Roberto Aguayo,2555408,K,FA,,,,,,,,,,,25,0.00
Matt Ammendola,2565555,K,NYJ,,,,,,,,,,,26,0.00
Tyler Bass,2563596,K,BUF,,,,,,,,,,,27,0.00
Rodrigo Blankenship,2564106,K,IND,,,,,,,,,,,28,0.00
Chris Blewitt,2562800,K,FA,,,,,,,,,,,29,0.00
Chandler Catanzaro,2550325,K,FA,,,,,,,,,,,30,0.00
Dominik Eberle,2565360,K,FA,,,,,,,,,,,31,0.00
Sam Ficken,2557430,K,TEN,,,,,,,,,,,32,0.00
Nick Folk,2507225,K,NE,,,,,,,,,,,33,0.00
Kai Forbath,2495150,K,FA,,,,,,,,,,,34,0.00
Matt Gay,2562271,K,LA,,,,,,,,,,,35,0.00
Zane Gonzalez,2558178,K,CAR,,,,,,,,,,,36,0.00
Robbie Gould,2506264,K,SF,,,,,,,,,,,37,0.00
Lirim Hajrullahu,2563449,K,DAL,,,,,,,,,,,38,0.00
Stephen Hauschka,2507374,K,FA,,,,,,,,,,,39,0.00
Brian Johnson,2566740,K,FA,,,,,,,,,,,40,0.00
Greg Joseph,2561534,K,MIN,,,,,,,,,,,41,0.00
Alex Kessman,2566484,K,FA,,,,,,,,,,,42,0.00
Younghoe Koo,2559205,K,ATL,,,,,,,,,,,43,0.00
Josh Lambo,2553833,K,FA,,,,,,,,,,,44,0.00
Ty Long,2553555,K,LAC,,,,,,,,,,,45,0.00
Austin MacGinnis,2563452,K,FA,,,,,,,,,,,46,0.00
Brett Maher,2540243,K,NO,,,,,,,,,,,47,0.00
Tucker McCann,2565462,K,FA,,,,,,,,,,,48,0.00
Chase McLaughlin,2563203,K,CLE,,,,,,,,,,,49,0.00
Evan McPherson,2565953,K,CIN,,,,,,,,,,,50,0.00
JJ Molson,2565550,K,GB,,,,,,,,,,,51,0.00
Chris Naggar,2565744,K,CLE,,,,,,,,,,,52,0.00
Quinn Nordin,2565684,K,NE,,,,,,,,,,,53,0.00
Riley Patterson,2567013,K,DET,,,,,,,,,,,54,0.00
Ryan Santoso,2561269,K,FA,,,,,,,,,,,55,0.00
Austin Seibert,2562729,K,DET,,,,,,,,,,,56,0.00
Joey Slye,2563132,K,WAS,,,,,,,,,,,57,0.00
Giorgio Tavecchio,2535686,K,FA,,,,,,,,,,,58,0.00
Jake Verity,2566731,K,BAL,,,,,,,,,,,59,0.00
Tristan Vizcaino,2562807,K,LAC,,,,,,,,,,,60,0.00
Brandon Wright,2564247,K,FA,,,,,,,,,,,61,0.00
Matthew Wright,2562968,K,JAX,,,,,,,,,,,62,0.00
