PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Tyreek Hill,2556214,WR,KC,,,,151,1,87,1479,12,1,,,,,,,,,,,,,,1,294.20
DeAndre Hopkins,2540165,WR,ARI,,,,-7,,115,1572,11,,,,2,,,,,,,,,,,2,281.90
Antonio Brown,2508061,WR,TB,,,,,,104,1297,15,,,,,18.27,,104,104,104,168,62,25,12,9,3,276.80
Julio Jones,2495454,WR,TEN,,,,12,,113,1677,8,,,,2,13.21,2,113,115,113,170,66,17,10,6,4,276.20
Davante Adams,2543495,WR,GB,,,,,,111,1386,13,,,1,,13.58,,111,111,111,169,66,31,16,9,5,275.80
Michael Thomas,2556370,WR,NO,,,,,,125,1405,9,,,,2,20.61,,125,125,125,147,85,29,24,12,6,255.70
Mike Evans,2543468,WR,TB,,,,,,86,1524,8,,1,,2,18.27,,86,86,86,138,62,14,6,6,7,252.40
Adam Thielen,2541785,WR,MIN,,,,30,,113,1373,9,,,1,1,16.28,5,113,118,113,153,74,20,15,6,8,250.80
JuJu Smith-Schuster,2558149,WR,PIT,,,,13,,111,1426,7,,,1,1,14.06,1,111,112,111,166,67,29,16,10,9,247.50
Robert Woods,2540169,WR,LA,,,,157,1,86,1219,6,,,,,,,,,,,,,,,10,226.00
Stefon Diggs,2552608,WR,BUF,,,,62,,102,1021,9,,,1,,11.76,10,102,112,102,149,68,18,12,7,11,218.00
T.Y. Hilton,2532865,WR,IND,,,,,,76,1270,6,,,,,12.29,,76,76,76,120,63,17,7,7,12,204.40
Brandin Cooks,2543498,WR,HOU,,,,68,1,80,1204,5,,,,1,12.44,10,80,90,80,117,68,17,17,9,13,202.90
Tyler Lockett,2552430,WR,SEA,,,,69,,57,965,10,,,1,2,18.30,13,57,70,57,70,81,6,6,,14,190.70
Tyler Boyd,2555466,WR,CIN,,,,3,,76,1028,7,,,,,12.29,2,76,78,76,108,70,10,9,3,15,187.50
Jarvis Landry,2543488,WR,CLE,63,,,60,1,81,976,4,,,1,1,13.50,3,81,84,81,149,54,19,11,7,16,180.02
Amari Cooper,2552487,WR,DAL,,,,20,,75,1005,7,,,,2,17.38,2,75,77,75,107,70,13,7,5,17,179.70
Kenny Golladay,2558052,WR,NYG,,,,8,,70,1063,5,,,,1,16.93,1,70,71,70,119,59,15,5,6,18,179.00
Calvin Ridley,2560854,WR,ATL,,,,27,,64,821,10,,,,2,19.54,6,64,70,64,92,70,9,7,5,19,173.80
Mike Williams,2558846,WR,LAC,,,,28,1,43,664,10,,,1,,12.34,7,43,50,43,66,65,14,10,6,20,163.80
