PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Israel Abanikanda,2570188,RB,FA,Bye,,,,,,,,,,,,,,104,1,0.00,
Ameer Abdullah,2552374,RB,IND,@SEA,,,,7.46,0.08,0.31,1.89,0.01,,,,,1.63,71,2,0.00,-1.63
De'Von Achane,2570062,RB,MIA,@PIT,,,,72.63,0.33,5.41,33.76,0.42,,,,0.22,17.40,4,3,0.00,-17.4
Salvon Ahmed,2565090,RB,IND,@SEA,,,,,,,,,,,,,0.00,105,4,0.00,0.0
Cam Akers,2564319,RB,MIN,@DAL,,,,,,,,,,,,,0.00,106,5,0.00,0.0
Rasheen Ali,2571823,RB,BAL,@CIN,,,,,,,,,,,,,0.00,107,6,0.00,0.0
Braelon Allen,2572354,RB,NYJ,@JAX,,,,,,,,,,,,,0.00,108,7,0.00,0.0
LeQuint Allen Jr.,2574207,RB,JAX,NYJ,,,,3.94,0.03,0.77,5.9,0.05,,,,0.02,1.81,69,8,0.00,-1.81
Tyler Allgeier,2567232,RB,ATL,@TB,,,,26.85,0.56,0.56,4.23,0.03,,,,0.11,6.71,41,9,0.00,-6.71
Tyler Badie,2567265,RB,DEN,GB,,,,5.96,0.04,0.68,4.87,0.04,,,,0.03,1.84,68,10,0.00,-1.84
Emani Bailey,2572805,RB,FA,Bye,,,,,,,,,,,,,,109,11,0.00,
Rushawn Baker,2574413,RB,NE,BUF,,,,,,,,,,,,,0.00,110,12,0.00,0.0
Saquon Barkley,2560968,RB,PHI,LV,,,,70.45,0.38,2.86,18.21,0.2,,,,0.18,13.42,13,13,0.00,-13.42
Andrew Beck,2562626,RB,NYJ,@JAX,,,,,,,,,,,,,0.00,111,14,0.00,0.0
Trey Benson,2572405,RB,ARI,@HOU,,,,60.34,0.49,2.29,16.66,0.12,,,,0.2,12.11,18,15,0.00,-12.11
Ulysses Bentley IV,2574183,RB,IND,@SEA,,,,,,,,,,,,,0.00,112,16,0.00,0.0
Micah Bernard,2574143,RB,FA,Bye,,,,,,,,,,,,,,113,17,0.00,
Tank Bigsby,2569882,RB,PHI,LV,,,,7.99,0.06,0.15,1.16,0.01,,,,0.03,1.35,75,18,0.00,-1.35
Raheem Blackshear,2569477,RB,FA,Bye,,,,,,,,,,,,,,114,19,0.00,
Jaydon Blue,2574068,RB,DAL,MIN,,,,8.46,0.08,0.33,2.74,0.03,,,,0.03,1.89,67,20,0.00,-1.89
Mike Boone,2561099,RB,FA,Bye,,,,,,,,,,,,,,115,21,0.00,
Gary Brightwell,2566364,RB,CIN,BAL,,,,,,,,,,,,,0.00,116,22,0.00,0.0
British Brooks,2573686,RB,HOU,ARI,,,,,,,,,,,,,0.00,117,23,0.00,0.0
Chris Brooks,2571114,RB,GB,@DEN,,,,3.44,0.02,0.64,5.2,0.04,,,,0.02,1.50,73,24,0.00,-1.5
Jonathon Brooks,2571883,RB,CAR,@NO,,,,,,,,,,,,,0.00,118,25,0.00,0.0
Tahj Brooks,2574024,RB,CIN,BAL,,,,2.98,0.02,0.1,0.81,0.01,,,,0.02,0.57,87,26,0.00,-0.57
Brittain Brown,2567868,RB,CHI,CLE,,,,,,,,,,,,,0.00,119,27,0.00,0.0
Chase Brown,2569642,RB,CIN,BAL,,,,55,0.29,2.73,16.94,0.19,,,,0.16,11.12,24,28,0.00,-11.12
Michael Burton,2552636,RB,DEN,GB,,,,,,,,,,,,,0.00,120,29,0.00,0.0
Michael Carter,2566382,RB,ARI,@HOU,,,,1.82,0.02,0.09,0.62,,,,,0.01,0.39,95,30,0.00,-0.39
Nate Carter,2573909,RB,ATL,@TB,,,,,,,,,,,,,0.00,121,31,0.00,0.0
Ty Chandler,2567907,RB,MIN,@DAL,,,,2.5,0.01,0.1,0.82,0.01,,,,0.01,0.48,91,32,0.00,-0.48
Zach Charbonnet,2570335,RB,SEA,IND,,,,34.19,0.54,1.24,9.54,0.08,,,,0.12,8.47,32,33,0.00,-8.47
Julius Chestnut,2568804,RB,TEN,@SF,,,,3.54,0.03,0.13,1.08,0.01,,,,0.01,0.75,83,34,0.00,-0.75
Nick Chubb,2561021,RB,HOU,ARI,,,,37.99,0.18,0.97,6.98,0.06,,,,0.1,6.22,44,35,0.00,-6.22
Chris Collier,2572600,RB,LV,@PHI,,,,,,,,,,,,,0.00,122,36,0.00,0.0
Quali Conley,2574026,RB,FA,Bye,,,,,,,,,,,,,,123,37,0.00,
James Conner,2557978,RB,ARI,@HOU,,,,,,,,,,,,,0.00,124,38,0.00,0.0
James Cook,2567328,RB,BUF,@NE,,,,79.89,0.59,1.66,12.95,0.12,,,,0.2,13.97,10,39,0.00,-13.97
Jashaun Corbin,2569125,RB,NE,BUF,,,,,,,,,,,,,0.00,125,40,0.00,0.0
Blake Corum,2572189,RB,LAR,DET,,,,28.8,0.21,0.78,6.87,0.07,,,,0.11,5.42,48,41,0.00,-5.42
Jacory Croskey-Merritt,2574608,RB,WAS,@NYG,,,,69.48,0.45,1,8.92,0.07,,,,0.18,11.10,25,42,0.00,-11.1
DeeJay Dallas,2565144,RB,CAR,@NO,,,,,,,,,,,,,0.00,126,43,0.00,0.0
Isaiah Davis,2572360,RB,NYJ,@JAX,,,,20.14,0.11,1.85,14.85,0.13,,,,0.07,5.72,45,44,0.00,-5.72
Malik Davis,2568672,RB,DAL,MIN,,,,,,,,,,,,,0.00,127,45,0.00,0.0
Ray Davis,2571862,RB,BUF,@NE,,,,6.46,0.06,0.3,2.58,0.03,,,,0.04,1.51,72,46,0.00,-1.51
Tyrion Davis-Price,2568207,RB,FA,Bye,,,,,,,,,,,,,,128,47,0.00,
Emari Demercado,2571065,RB,ARI,@HOU,,,,17.12,0.12,0.62,4.37,0.04,,,,0.04,3.34,62,48,0.00,-3.34
AJ Dillon,2563986,RB,PHI,LV,,,,0.81,0.01,0.02,0.2,,,,,,0.17,98,49,0.00,-0.17
J.K. Dobbins,2563548,RB,DEN,GB,,,,59.81,0.39,1.63,7.35,0.09,,,,0.25,9.91,28,50,0.00,-9.91
Elijah Dotson,2571536,RB,FA,Bye,,,,,,,,,,,,,,129,51,0.00,
Rico Dowdle,2565295,RB,CAR,@NO,,,,74.7,0.38,2.93,19.62,0.19,,0.01,,0.32,13.74,11,52,0.00,-13.74
Donovan Edwards,2574437,RB,WAS,@NYG,,,,,,,,,,,,,0.00,130,53,0.00,0.0
Gus Edwards,2561324,RB,FA,Bye,,,,,,,,,,,,,,131,54,0.00,
Clyde Edwards-Helaire,2564271,RB,KC,LAC,,,,1.85,0.02,0.1,0.78,0.01,,,,0.01,0.47,92,55,0.00,-0.47
Austin Ekeler,2559169,RB,WAS,@NYG,,,,,,,,,0.07,,,,0.42,94,56,0.00,-0.42
Audric Estimé,2571994,RB,NO,CAR,,,,,,,,,,,,,0.00,132,57,0.00,0.0
Travis Etienne,2566157,RB,JAX,NYJ,,,,66.18,0.46,2.1,14.21,0.09,,,,0.2,11.99,19,58,0.00,-11.99
Trevor Etienne,2573977,RB,CAR,@NO,,,,3.73,0.03,0.07,0.59,0.01,,,,0.01,0.69,84,59,0.00,-0.69
Darrynton Evans,2564043,RB,FA,Bye,,,,,,,,,,,,,,133,60,0.00,
Zach Evans,2569963,RB,FA,Bye,,,,,,,,,,,,,,134,61,0.00,
Demetric Felton,2565968,RB,FA,Bye,,,,,,,,,,,,,,135,62,0.00,
Jerome Ford,2567469,RB,CLE,@CHI,,,,16.48,0.12,1.9,11.6,0.11,,,,0.08,4.98,51,63,0.00,-4.98
D'Onta Foreman,2557994,RB,FA,Bye,,,,,,,,,,,,,,136,64,0.00,
Royce Freeman,2560733,RB,FA,Bye,,,,,,,,,,,,,,137,65,0.00,
Kenneth Gainwell,2566397,RB,PIT,MIA,,,,33.05,0.32,2.56,14.47,0.15,,,,0.15,8.55,31,66,0.00,-8.55
Myles Gaskin,2562270,RB,SEA,IND,,,,,,,,,,,,,0.00,138,67,0.00,0.0
Jahmyr Gibbs,2569747,RB,DET,@LAR,,,,75.07,0.82,3.46,26.24,0.25,,,,0.19,17.90,3,68,0.00,-17.9
Antonio Gibson,2565276,RB,NE,BUF,,,,,,,,,,,,,0.00,139,69,0.00,0.0
DJ Giddens,2574188,RB,IND,@SEA,,,,3.22,0.03,0.04,0.34,,,,,0.01,0.54,88,70,0.00,-0.54
Tyler Goodson,2567595,RB,IND,@SEA,,,,2.71,0.02,0.32,2.22,0.02,,,,0.01,0.87,81,71,0.00,-0.87
Ollie Gordon II,2574322,RB,MIA,@PIT,,,,12.65,0.21,0.72,5.36,0.06,,,,0.05,3.68,58,72,0.00,-3.68
Frank Gore Jr.,2572908,RB,BUF,@NE,,,,,,,,,,,,,0.00,140,73,0.00,0.0
Eric Gray,2570158,RB,NYG,WAS,,,,,,,,,0.13,,,,0.78,82,74,0.00,-0.78
Isaac Guerendo,2572498,RB,SF,TEN,,,,1.87,0.02,0.03,0.23,,,,,,0.35,96,75,0.00,-0.35
Troy Hairston,2568867,RB,FA,Bye,,,,,,,,,,,,,,141,76,0.00,
Breece Hall,2568030,RB,NYJ,@JAX,,,,77,0.27,1.69,14.12,0.12,,,,0.19,11.92,20,77,0.00,-11.92
C.J. Ham,2556803,RB,MIN,@DAL,,,,,,,,,,,,,0.00,142,78,0.00,0.0
Omarion Hampton,2574514,RB,LAC,@KC,,,,60.79,0.47,1.61,10.71,0.08,,,,0.16,10.94,27,79,0.00,-10.94
Deion Hankins,2574010,RB,CHI,CLE,,,,,,,,,,,,,0.00,143,80,0.00,0.0
Kevin Harris,2567934,RB,FA,Bye,,,,,,,,,,,,,,144,81,0.00,
Najee Harris,2566448,RB,LAC,@KC,,,,,,,,,,,,,0.00,145,82,0.00,0.0
RJ Harvey,2574090,RB,DEN,GB,,,,22.63,0.12,2.25,14.31,0.2,,,,0.09,6.56,42,83,0.00,-6.56
Hassan Haskins,2567649,RB,LAC,@KC,,,,2.78,0.07,0.23,1.75,0.01,,,,0.01,1.03,80,84,0.00,-1.03
JaMycal Hasty,2565108,RB,MIA,@PIT,,,,,,,,,,,,,0.00,146,85,0.00,0.0
TreVeyon Henderson,2574374,RB,NE,BUF,,,,39.25,0.23,1.88,14.25,0.11,,,,0.07,8.19,36,86,0.00,-8.19
Derrick Henry,2556075,RB,BAL,@CIN,,,,95.48,0.82,1.03,9.67,0.09,,,,0.18,16.13,7,87,0.00,-16.13
Khalil Herbert,2565926,RB,NYJ,@JAX,,,,,,,,,,,,,0.00,147,88,0.00,0.0
Justice Hill,2562407,RB,BAL,@CIN,,,,9.07,0.05,1.73,15,0.17,,,,0.1,4.39,56,89,0.00,-4.39
Nyheim Hines,2560742,RB,FA,Bye,,,,,,,,,,,,,,148,90,0.00,
George Holani,2572768,RB,SEA,IND,,,,5.3,0.06,0.12,1.12,0.01,,,,0.02,1.08,79,91,0.00,-1.08
Travis Homer,2562665,RB,CHI,CLE,,,,,,,,,,,,,0.00,149,92,0.00,0.0
Jarveon Howard,2572663,RB,FA,Bye,,,,,,,,,,,,,,150,93,0.00,
Chuba Hubbard,2565899,RB,CAR,@NO,,,,16.27,0.07,0.84,4.89,0.05,,,,0.05,3.16,64,94,0.00,-3.16
Evan Hull,2569846,RB,NO,CAR,,,,,,,,,,,,,0.00,151,95,0.00,0.0
Kareem Hunt,2557917,RB,KC,LAC,,,,19.55,0.27,0.97,6.67,0.07,,,,0.07,5.01,49,96,0.00,-5.01
Jarquez Hunter,2574269,RB,LAR,DET,,,,2.87,0.02,0.04,0.44,,,,,0.01,0.45,93,97,0.00,-0.45
Max Hurleman,2574495,RB,PIT,MIA,,,,,,,,,,,,,0.00,152,98,0.00,0.0
Alec Ingold,2562288,RB,MIA,@PIT,,,,,,,,,,,,,0.00,153,99,0.00,0.0
Bucky Irving,2572546,RB,TB,ATL,,,,76.44,0.28,3.62,30.9,0.25,,,,0.2,15.32,9,100,0.00,-15.32
Deon Jackson,2565603,RB,FA,Bye,,,,,,,,,,,,,,154,101,0.00,
Ja'Quinden Jackson,2574218,RB,JAX,NYJ,,,,,,,,,,,,,0.00,155,102,0.00,0.0
Josh Jacobs,2562377,RB,GB,@DEN,,,,59.19,1.02,2.68,19.79,0.08,,,,0.19,15.46,8,103,0.00,-15.46
Jordan James,2574540,RB,SF,TEN,,,,0.63,,0.05,0.39,,,,,,0.13,99,104,0.00,-0.13
Ashton Jeanty,2574298,RB,LV,@PHI,,,,62.25,0.47,2.81,18.12,0.25,,,,0.18,13.40,14,105,0.00,-13.4
Jermar Jefferson,2566058,RB,ARI,@HOU,,,,,,,,,,,,,0.00,156,106,0.00,0.0
Terrell Jennings,2573767,RB,NE,BUF,,,,6.74,0.06,0.09,0.85,0.01,,,,0.02,1.18,77,107,0.00,-1.18
