PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Cameron Heyward,2508109,DL,PIT,51,32,9,11,,1,1,,,,,,1,6,22,,,1,180.30
Dante Fowler Jr.,2553431,DL,ATL,40,18,11.5,16,,2,1,,1,,,,,6,16,,26,2,165.27
Joey Bosa,2555249,DL,LAC,47,20,11.5,18,,1,,,,,,,,,30,,,3,164.40
Carlos Dunlap,496780,DL,SEA,39,24,9,13,,2,,,,,,,,8,20,,,4,160.00
Sam Hubbard,2560745,DL,CIN,46,30,8.5,10,,1,,,,,,,,3,13,,,5,151.70
Cameron Jordan,2495184,DL,NO,38,14,15.5,16,,,1,,,,,,,3,24,,,6,151.30
Aaron Donald,2543485,DL,LA,29,19,12.5,20,,2,1,,,,1,,,2,24,,,7,148.50
Yannick Ngakoue,2555421,DL,LV,36,5,8,13,1,4,1,1,,,,,,6,15,23,-2,8,146.40
Maxx Crosby,2562439,DL,LV,36,11,10,16,,4,,,,,,,,4,14,,,9,145.00
Grady Jarrett,2552327,DL,ATL,38,31,7.5,12,,2,,,,,,,,,16,,,10,137.40
DeForest Buckner,2555275,DL,IND,34,28,7.5,9,,2,4,,1,,,,,2,14,,12,11,136.10
Calais Campbell,744,DL,BAL,36,20,6.5,9,,2,1,,1,,,,1,1,24,,8,12,133.47
Arik Armstead,2552493,DL,SF,32,22,10,11,,2,1,,,,,,,2,18,,,13,130.50
Jonathan Allen,2557844,DL,WAS,46,22,6,7,,1,1,,,,,,,1,10,,,14,130.30
Justin Houston,2495493,DL,BAL,33,11,11,13,,2,3,,,,1,,,,18,,,15,129.40
Brandon Graham,496788,DL,PHI,35,15,8.5,15,,1,2,,,,,,,,17,,4,16,125.13
Sheldon Richardson,2540142,DL,MIN,43,19,3,4,,3,,,,,,,,4,6,,,17,123.80
Frank Clark,2552629,DL,KC,27,10,8,12,1,3,1,,,,,,,4,14,5,,18,120.07
Kenny Clark,2555282,DL,GB,31,31,6,9,,1,,,,,,,,1,7,,,19,112.50
Montez Sweat,2562749,DL,WAS,31,19,7,8,,2,,,,,,,,2,13,,,20,112.40
Demarcus Lawrence,2543490,DL,DAL,30,15,5,10,,2,2,,,,,,,2,16,,,21,110.00
Everson Griffen,496790,DL,MIN,26,15,8,11,1,,,,,,,,,2,24,17,,22,109.77
Larry Ogunjobi,2557836,DL,CIN,35,15,5.5,10,,,,,,,,,,1,12,,,23,106.00
Vic Beasley,2552301,DL,FA,28,14,8,8,,2,,,,,,,,2,12,,,24,104.80
Javon Hargrave,2555239,DL,PHI,35,25,4,7,,1,,,,,,,,,6,,,25,104.50
Lawrence Guy,2495481,DL,NE,35,26,3,5,1,,2,,,,,,,1,5,5,,26,104.47
Chris Jones,2556369,DL,KC,23,13,9,8,,1,1,,,,,,,4,20,,12,27,104.40
Trent Murphy,2543503,DL,FA,24,12,5,9,1,2,2,,,,,,,3,9,,8,28,98.67
Ndamukong Suh,496861,DL,TB,22,19,2.5,7,,,4,,2,,,,,4,14,,43,29,98.53
Michael Brockers,2533050,DL,DET,34,29,3,3,,,,,,,,,,1,9,,,30,98.50
Derek Barnett,2557984,DL,PHI,25,5,6.5,10,,2,,,,,,,1,,22,,,31,95.50
Jason Pierre-Paul,496843,DL,TB,24,3,8.5,9,,2,,,,,,,,2,16,,,32,93.70
John Simon,2539280,DL,FA,28,16,4,3,1,1,,,,,,,,4,7,6,,33,93.60
Christian Wilkins,2562782,DL,MIA,30,26,2,3,,,1,,,,,,,2,4,,,34,92.90
Myles Garrett,2557965,DL,CLE,20,9,10,12,,1,,,,,,,,,18,,,35,91.70
Fletcher Cox,2533051,DL,PHI,26,14,3.5,5,,3,1,,,,,,,2,10,,1,36,91.43
Danny Shelton,2552325,DL,NYG,30,31,3,2,,1,,,,,,,,,6,,,37,91.30
Daron Payne,2560834,DL,WAS,32,24,2,3,,,,,,,,,,2,4,,,38,89.10
Mario Addison,2530474,DL,BUF,20,14,9.5,6,,2,,,,,,,,,14,,,39,87.20
Nick Williams,2541479,DL,DET,24,18,6,5,,,2,,,,,,,2,9,,4,40,86.33
Ed Oliver,2562322,DL,BUF,24,19,5,5,,1,,,,,,,,2,8,,,41,86.00
Derek Wolfe,2533026,DL,BAL,23,11,7,8,,1,,,,,,,,1,12,,,42,85.90
Dalvin Tomlinson,2557846,DL,MIN,23,26,3.5,7,,1,,,,,,,,,9,,,43,85.40
Johnathan Hankins,2540147,DL,LV,28,22,1.5,7,,,,,,,,,,1,6,,,44,84.20
Carl Nassib,2555270,DL,LV,24,10,6,8,,1,1,,,,,,,,11,,,45,82.80
Emmanuel Ogbah,2555278,DL,MIA,23,9,5.5,6,,1,,,,,,,,3,11,,,46,82.80
Vernon Butler,2555243,DL,BUF,22,10,6,7,,3,,,,,,,,,8,,,47,82.40
A'Shawn Robinson,2555265,DL,LA,32,8,1.5,3,,1,2,,,,,,,3,2,,3,48,82.40
Damon Harrison,2535718,DL,FA,29,20,2,3,,,,,,,,,,3,2,,,49,82.30
Linval Joseph,496802,DL,LAC,26,18,3,6,,1,,,,,,,,,6,,,50,80.10
Tanoh Kpassagnon,2558185,DL,NO,21,8,4,6,,1,1,,,,,,2,2,11,,,51,80.10
Leonard Williams,2552486,DL,NYG,21,25,0.5,2,,1,,,,,,,,3,16,,,52,78.70
Brian Burns,2562242,DL,CAR,19,6,7.5,5,,1,1,,1,,,,,,16,,56,53,77.97
Tyeler Davison,2552329,DL,ATL,26,29,1,4,,,1,,,,,,,,2,,,54,77.40
Adam Butler,2558924,DL,MIA,17,9,6,8,,,,,,,,,,5,9,,,55,77.10
Ifeadi Odenigbo,2558278,DL,CLE,18,5,7,7,,1,2,,1,,,,,,13,,56,56,76.97
Marcus Davenport,2561037,DL,NO,15,16,6,5,,3,,,,,,,,,16,,,57,76.30
Vita Vea,2560909,DL,TB,19,16,2.5,4,,,,,,,,,,3,11,,,58,75.70
Denico Autry,2550646,DL,TEN,20,12,3.5,4,,1,,,,,,,,4,11,,,59,75.60
Dexter Lawrence,2562301,DL,NYG,24,14,2.5,3,,1,,,,,,,1,1,9,,,60,75.00
Dean Lowry,2555274,DL,GB,23,24,,2,1,,1,,,,,,,3,2,7,,61,74.53
Sebastian Joseph-Day,2561079,DL,LA,25,19,2,5,,,,,,,,,,1,5,,,62,74.20
Rasheem Green,2560998,DL,SEA,15,12,4,3,,3,1,,,,,,2,2,5,,36,63,73.80
Steve McLendon,2507590,DL,TB,21,15,2.5,10,,,1,,,,,,,,7,,,64,72.20
William Gholston,2540176,DL,TB,26,12,1,5,,,,,,,,,,2,7,,,65,71.80
Derrick Nnadi,2560823,DL,KC,18,30,1,3,1,1,,,,,,,,1,1,,,66,71.10
Tyson Alualu,496760,DL,PIT,21,20,1,4,,1,,,,,,,,2,3,,,67,69.70
J.J. Watt,2495488,DL,ARI,15,9,4,4,,1,2,,,,,,,3,20,,,68,69.70
Ryan Kerrigan,2495190,DL,PHI,16,9,5.5,6,,1,,,,,,,,1,14,,,69,67.40
Al-Quadin Muhammad,2558131,DL,IND,21,7,3,8,,1,,,,,,,,,9,,,70,67.30
Taven Bryan,2560983,DL,JAX,18,15,2,5,,1,,,,,,,,1,9,,,71,64.60
Jabaal Sheard,2495228,DL,FA,20,5,4.5,5,,,,,,,,,,2,9,,,72,64.00
David Onyemata,2556274,DL,NO,22,10,3,3,,,,,,,,,,1,11,,,73,63.90
Carl Lawson,2557901,DL,NYJ,17,6,5,6,,,,,,,,,,,22,,,74,63.70
Vinny Curry,2532825,DL,NYJ,20,7,5,5,,,,,,,,,,,12,,,75,63.10
DaQuan Jones,2543504,DL,CAR,21,21,1,,,,,,,,,,,3,2,,,76,63.00
Jerry Hughes,496796,DL,BUF,14,9,4.5,6,,,1,,,,,,,3,9,,11,77,62.37
Chase Winovich,2562607,DL,NE,17,9,5.5,4,,,,,,1,,,,,10,,,78,62.10
Quinton Jefferson,2555358,DL,LV,14,12,3.5,4,,,1,,,,,,,3,10,,20,79,60.57
Malcom Brown,2552483,DL,JAX,18,15,1.5,6,,,1,,,,,,,1,4,,,80,60.10
Alex Okafor,2539319,DL,KC,15,7,5,5,,1,,,,,,,,1,9,,,81,59.10
Poona Ford,2561195,DL,SEA,21,11,0.5,5,,,1,,,,,,,1,3,,,82,58.00
Benson Mayowa,2542009,DL,SEA,10,5,7,5,,3,,,,,,,,,10,,,83,58.00
Maurice Hurst,2560748,DL,SF,11,7,3.5,4,1,,2,,,,,,,3,8,55,,84,56.13
Deatrich Wise,2558000,DL,NE,20,6,2,3,,1,,,,,,,,,10,,,85,55.80
Jeffery Simmons,2562733,DL,TEN,18,14,2,4,,,,,,,,,,1,2,,,86,55.30
Grover Stewart,2558766,DL,IND,14,16,3,5,,,,,,,,,,1,5,,,87,55.10
Chris Wormley,2557862,DL,PIT,17,15,1.5,2,,,,,,,,,,2,6,,,88,54.90
Jaleel Johnson,2557845,DL,HOU,15,14,3.5,5,,,,,,,,,,,5,,,89,53.70
Stephon Tuitt,2543483,DL,PIT,18,4,3.5,6,,,,,,,,,,,7,,,90,53.30
John Jenkins,2539231,DL,MIA,20,14,1,2,,,,,,,,,,1,1,,,91,53.20
Maliek Collins,2555400,DL,HOU,15,5,4,6,,,1,,,,,,,,10,,,92,52.50
Christian Covington,2552602,DL,LAC,20,8,1,4,,,,,,,,,,1,3,,,93,52.40
Tyler Lancaster,2561227,DL,GB,17,13,1.5,2,,1,1,,,,,,,,2,,,94,50.80
Foley Fatukasi,2560722,DL,NYJ,14,13,1,7,,,,,,,,,,1,3,,,95,50.70
Justin Jones,2560769,DL,LAC,18,12,,2,,1,,,,,,,,1,3,,,96,50.70
D.J. Jones,2558265,DL,SF,19,4,2,4,,1,,,,,,,,,2,,,97,50.00
Dawuane Smoot,2557839,DL,JAX,12,5,6,6,,,1,,,,,,,,7,,,98,49.90
DeMarcus Walker,2557894,DL,HOU,13,9,4,5,,,,,,,,,,1,5,,,99,49.80
Adrian Clayborn,2495140,DL,FA,12,6,4,4,,2,,,,,,,,,7,,,100,49.70
B.J. Hill,2560740,DL,CIN,15,21,1,2,,,,,,,,,,,2,,,101,48.30
Shamar Stephen,2543706,DL,DEN,15,6,1,2,,1,1,,,,,,,3,2,,,102,48.30
Brandon Williams,2541302,DL,BAL,14,20,1,2,,,1,,,,,,,,5,,,103,48.30
Trey Hendrickson,2557943,DL,CIN,11,8,4.5,4,,1,,,,,,,,,9,,,104,48.10
Shy Tuttle,2563242,DL,NO,8,11,2.5,3,1,,,,,,,,,4,4,19,,105,48.03
Romeo Okwara,2556641,DL,DET,14,14,1.5,1,,1,,,,,,,,,10,,,106,48.00
Dre'Mont Jones,2562412,DL,DEN,8,6,3.5,3,1,,,,,,,,1,2,6,7,,107,44.63
Jarran Reed,2555238,DL,KC,10,17,2,,,1,,,,,,,,1,8,,,108,44.60
Henry Anderson,2552272,DL,NE,14,11,1,3,,,,,,,,,,,9,,,109,43.60
Allen Bailey,2495116,DL,FA,14,12,1,4,,,,,,,,,,,2,,,110,42.40
Damion Square,2540003,DL,LV,15,12,,1,,,,,,,,,,2,1,,,111,42.10
Bilal Nichols,2560821,DL,CHI,15,12,,1,,,1,,,,,,,1,2,,,112,41.10
Charles Omenihu,2562324,DL,SF,8,5,3,2,,2,,,,,,,,2,5,,,113,41.10
Efe Obada,2553310,DL,BUF,14,10,,2,,,,,,,,,,1,4,,,114,39.30
Mike Pennel,2550242,DL,ATL,13,11,1,2,,,,,,,,,,,2,,,115,36.90
Charles Harris,2558001,DL,DET,11,12,0.5,3,,,,,,,,,,,6,,,116,36.80
Jack Crawford,2532992,DL,ARI,6,18,0.5,1,,,,,,,,,,3,4,,,117,36.60
Austin Johnson,2556368,DL,NYG,11,12,,1,,,,,,,,,1,1,2,,,118,36.30
Angelo Blackson,2552670,DL,CHI,11,9,,2,,,,,,,,,2,,1,,,119,35.40
Carlos Watkins,2557877,DL,DAL,10,13,1,1,,,1,,,,,,,1,2,,,120,35.40
Morgan Fox,2556529,DL,CAR,12,6,2,3,,,,,,,,,,,3,,,121,35.20
Khalen Saunders,2562723,DL,KC,13,9,1,,,,,,,,,,,1,2,,,122,34.80
Dorance Armstrong,2560959,DL,DAL,12,3,2,1,,1,,,,,,,,,4,,,123,33.80
Ben Banogu,2562229,DL,IND,7,4,2.5,3,,1,,,,,,,,1,5,,,124,33.10
Kerry Hyder,2550433,DL,SEA,10,7,1,3,,,1,,,,,,,,4,,,125,32.10
Zach Kerr,2550575,DL,ARI,13,6,,1,,,,,,,,,,1,2,,,126,31.90
Jerry Tillery,2562763,DL,LAC,9,8,2,3,,,,,,,,,,,3,,,127,31.70
Darryl Johnson,2562672,DL,CAR,10,5,1,2,,,,,,,,,1,,2,,,128,30.00
Adam Gotsis,2555502,DL,JAX,11,5,,1,,,,,,,,,,2,,,,129,29.20
Tim Settle,2560871,DL,WAS,9,5,2,2,,,,,,,,,,,5,,,130,28.80
Brent Urban,2543765,DL,DAL,10,6,,1,,,,,,,,,,2,1,,,131,28.80
Nathan Shepherd,2560873,DL,NYJ,6,5,2,5,,,,,,,,,,,6,,,132,28.70
Akeem Spence,2540201,DL,FA,14,4,,,,,,,,,,,,,1,,,133,27.50
Margus Hunt,2539310,DL,CHI,14,3,,,,,,,,,,,,,,,,134,26.20
Armon Watts,2562773,DL,MIN,7,6,1.5,,,1,,,,,,,,1,1,,,135,26.20
Mario Edwards,2553433,DL,CHI,6,2,3,2,,1,,,,,,,,,3,,,136,25.80
Akiem Hicks,2533433,DL,CHI,10,,1,1,,,1,,,,,,,,5,,,137,24.00
Jacob Tuioti-Mariner,2561282,DL,PIT,8,6,,1,,1,,,,,,,,,1,,,138,23.90
Sheldon Rankins,2555242,DL,NYJ,7,3,2,2,,,,,,,,,,,5,,,139,23.80
R.J. McIntosh,2560806,DL,GB,5,8,2,2,,,,,,,,,,,2,,,140,22.90
Zach Sieler,2561129,DL,MIA,5,6,1,1,,,,,,,,,,2,2,,,141,22.80
Porter Gustin,2562276,DL,CLE,7,6,1,1,,,1,,,,,,,,2,,,142,22.20
Carl Granderson,2562273,DL,NO,8,3,1,2,,,,,,,,,,,2,,,143,22.00
Andrew Brown,2560979,DL,LAC,10,4,,,,,,,,,,,,,2,,,144,21.20
Marquis Haynes,2561009,DL,CAR,5,7,1,1,,,1,,,,,,,,2,,15,145,20.10
Jihad Ward,2555248,DL,JAX,3,4,1,1,,,2,,,,,,,1,5,,2,146,18.87
Isaac Rochell,2557860,DL,IND,3,9,1,1,,,,,,,,,,1,1,,,147,18.80
John Cominsky,2562249,DL,ATL,3,8,0.5,,,,,,,,,,,2,2,,,148,18.50
Greg Gaines,2562391,DL,LA,6,7,0.5,,,,,,,,,,,,2,,,149,17.80
Dion Jordan,2539288,DL,FA,5,,2,1,,,,,,,,,,1,2,,,150,17.50
Domata Peko Sr.,2506925,DL,FA,7,7,,,,,,,,,,,,,,,,151,17.50
Xavier Williams,2553764,DL,FA,7,1,,,,1,,,,,,,,,,,,152,16.20
Arden Key,2560779,DL,SF,3,1,2,2,,,,,,,,,,,4,,,153,14.90
Zach Allen,2562219,DL,ARI,6,2,,1,,,,,,,,,,,3,,,154,14.80
Kemoko Turay,2560905,DL,IND,2,3,1.5,,,1,,,,,,,,,5,,,155,14.80
Rakeem Nunez-Roches,2552674,DL,TB,5,4,,1,,,1,,,,,,,,,,,156,14.20
Vincent Taylor,2558017,DL,HOU,6,,,1,,,,,,,,,,1,,,,157,14.20
Eli Ankou,2559132,DL,BUF,5,2,,1,,,,,,,,,,,,,,158,11.60
Dan McCullers,2550154,DL,FA,3,5,,,,,,,,,,,,1,,,,159,11.60
Kingsley Keke,2562300,DL,GB,3,7,,,,,,,,,,,,,1,,,160,11.20
Taylor Stallworth,2560882,DL,IND,5,3,,,,,,,,,,,,,,,,161,10.90
Damontre Moore,2540138,DL,CAR,2,3,,,,1,,,,,,,,,1,,,162,9.80
Harrison Phillips,2560840,DL,BUF,1,2,0.5,,,,,,,,,,,2,1,,,163,9.80
Kevin Strong,2563197,DL,FA,3,2,,,,,,,,,,,,1,,,,164,9.20
Genard Avery,2560964,DL,PHI,3,3,0.5,,,,,,,,,,,,1,,,165,9.00
Pat O'Connor,2558863,DL,TB,4,2,,,,,,,,,,,,,1,,,166,8.90
Austin Bryant,2562240,DL,DET,2,6,,,,,,,,,,,,,1,,,167,8.70
Tyquan Lewis,2560791,DL,IND,3,2,,1,,,,,,,,,,,1,,,168,8.70
Kentavius Street,2560885,DL,SF,4,,,1,,,,,,,,,,,,,,169,8.30
Sylvester Williams,2539270,DL,FA,2,3,,,,,,,,,,,,1,,,,170,8.30
Joe Jackson,2562432,DL,CLE,2,2,,,,,,,,,,,,1,1,,,171,8.00
Tyrone Crawford,2532821,DL,FA,1,2,1,1,,,,,,,,,,,2,,,172,7.80
Cortez Broughton,2562823,DL,KC,4,1,,,,,,,,,,,,,,,,173,7.60
Trevon Coley,2556504,DL,TEN,3,3,,,,,,,,,,,,,,,,174,7.50
Daniel Ekuale,2561458,DL,NE,3,1,,1,,,,,,,,,,,,,,175,7.40
Tanzel Smart,2558199,DL,NYJ,2,5,,,,,,,,,,,,,,,,176,7.40
Justin Zimmer,2556716,DL,BUF,2,3,,1,,,,,,,,,,,,,,177,7.30
Hercules Mata'afa,2560799,DL,FA,1,,,1,,,1,,,,,,,1,,,,178,6.70
Justin Ellis,2543812,DL,BAL,2,4,,,,,,,,,,,,,,,,179,6.60
Jalyn Holmes,2560744,DL,NO,2,2,,1,,,,,,,,,,,,,,180,6.50
Caraun Reid,2543748,DL,LAC,1,3,,1,,,,,,,,,,,1,,,181,6.10
Matt Dickerson,2561044,DL,FA,1,1,,1,,,,,,,,,,,1,,,182,4.50
Isaiah Buggs,2562241,DL,PIT,2,1,,,,,,,,,,,,,,,,183,4.20
L.J. Collier,2562248,DL,SEA,2,1,,,,,,,,,,,,,,,,184,4.20
Chris Smith,2543692,DL,HOU,,1,,,,,,,,,,,,1,1,,,185,3.80
Bryan Mone,2562914,DL,SEA,,4,,,,,,,,,,,,,1,,,186,3.70
