PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Ka'imi Fairbairn,2556521,K,HOU,@TEN,1,,,2,,,2,,,,7.42,1,17.00,9.58
Matt Prater,2506677,K,ARI,SF,2,,,1,,1,1,,,,6.98,2,14.00,7.02
Matt Gay,2562271,K,IND,PIT,3,,,1,1,1,,,,,8.17,3,13.00,4.83
Jason Sanders,2561153,K,MIA,NYJ,3,,,1,2,,,,,,7.88,4,12.00,4.12
Justin Tucker,2536340,K,BAL,@JAX,2,,,1,1,1,,,,,7.35,5,12.00,4.65
Chase McLaughlin,2563203,K,TB,@GB,4,,,,1,1,,,,,6.66,6,11.00,4.34
Harrison Butker,2558245,K,KC,@NE,3,,,1,,,1,,,1,7.51,7,10.00,2.49
Jake Moody,2570308,K,SF,@ARI,6,,,,,1,,,,,7.36,8,10.00,2.64
Daniel Carlson,2560993,K,LV,LAC,9,,,,,,,,,,6.80,9,9.00,2.2
Evan McPherson,2565953,K,CIN,MIN,3,,,1,1,,,,,,7.11,10,9.00,1.89
Jason Myers,2553112,K,SEA,PHI,2,,,1,,1,,,,,7.51,11,9.00,1.49
Eddy Pineiro,2560842,K,CAR,ATL,,,,2,1,,,,,,6.39,12,9.00,2.61
Anders Carlson,2569750,K,GB,TB,2,,,,2,,,,,,6.78,13,8.00,1.22
Blake Grupe,2571234,K,NO,NYG,3,,,,,,1,,,,7.45,14,8.00,0.55
Lucas Havrisik,2569534,K,FA,Bye,2,,,2,,,,,,,,15,8.00,
Dustin Hopkins,2539227,K,CLE,CHI,2,,,,2,,,,,,6.81,16,8.00,1.19
Tyler Bass,2563596,K,BUF,DAL,4,,,1,,,,,,,6.70,17,7.00,0.3
Mike Badgley,2560965,K,DET,DEN,6,,,,,,,,,,7.37,18,6.00,-1.37
Greg Joseph,2561534,K,MIN,@CIN,3,,,,1,,,,,,6.91,19,6.00,-0.91
Cairo Santos,2550636,K,CHI,@CLE,2,,,,,1,,,,,7.58,20,6.00,-1.58
Randy Bullock,2533444,K,NYG,@NO,,,,,,,1,,,,7.55,21,5.00,-2.55
Jake Elliott,2558172,K,PHI,@SEA,2,,,1,,,,,,,8.68,22,5.00,-3.68
Wil Lutz,2556601,K,DEN,@DET,2,,,1,,,,,,,7.71,23,5.00,-2.71
Chad Ryland,2570125,K,NE,KC,2,,,1,,,,,,,6.28,24,5.00,-1.28
Brandon Aubrey,2571750,K,DAL,@BUF,1,,,,1,,,,,,8.09,25,4.00,-4.09
Cameron Dicker,2568435,K,LAC,@LV,3,,,,,,,,,,8.07,26,3.00,-5.07
Nick Folk,2507225,K,TEN,HOU,1,1,,,,1,,,,,6.95,27,2.00,-4.95
Younghoe Koo,2559205,K,ATL,@CAR,1,,,,,,,,,,7.99,28,1.00,-6.99
Brandon McManus,2541556,K,JAX,BAL,1,,,,,,,,,,7.21,29,1.00,-6.21
Matt Ammendola,2565555,K,FA,Bye,,,,,,,,,,,,30,0.00,
Rodrigo Blankenship,2564106,K,FA,Bye,,,,,,,,,,,,31,0.00,
Tanner Brown,2569984,K,FA,Bye,,,,,,,,,,,,32,0.00,
Mason Crosby,2507232,K,NYG,@NO,,,,,,,,,,,0.00,33,0.00,0.0
Christopher Dunn,2571521,K,FA,Bye,,,,,,,,,,,,34,0.00,
Elliott Fry,2562897,K,FA,Bye,,,,,,,,,,,,35,0.00,
Graham Gano,71309,K,NYG,@NO,,,,,,,,,,,0.00,36,0.00,0.0
Zane Gonzalez,2558178,K,FA,Bye,,,,,,,,,,,,37,0.00,
Robbie Gould,2506264,K,FA,Bye,,,,,,,,,,,,38,0.00,
Stephen Hauschka,2507374,K,FA,Bye,,,,,,,,,,,,39,0.00,
Josh Lambo,2553833,K,FA,Bye,,,,,,,,,,,,40,0.00,
Brett Maher,2540243,K,LA,WAS,,,,,,,,,,,0.00,41,0.00,0.0
James McCourt,2569215,K,FA,Bye,,,,,,,,,,,,42,0.00,
Riley Patterson,2567013,K,CLE,CHI,,,,,,,,,,,0.00,43,0.00,0.0
Jack Podlesny,2571174,K,FA,Bye,,,,,,,,,,,,44,0.00,
B.T. Potter,2571279,K,FA,Bye,,,,,,,,,,,,45,0.00,
Alex Quevedo,2570143,K,FA,Bye,,,,,,,,,,,,46,0.00,
John Parker Romo,2569101,K,FA,Bye,,,,,,,,,,,,47,0.00,
Austin Seibert,2562729,K,NYJ,@MIA,,,,,,,,,,,0.00,48,0.00,0.0
Caleb Shudak,2568843,K,FA,Bye,,,,,,,,,,,,49,0.00,
Ryan Succop,89802,K,FA,Bye,,,,,,,,,,,,50,0.00,
Andre Szmyt,2570470,K,FA,Bye,,,,,,,,,,,,51,0.00,
Giorgio Tavecchio,2535686,K,FA,Bye,,,,,,,,,,,,52,0.00,
Matthew Trickett,2571749,K,FA,Bye,,,,,,,,,,,,53,0.00,
Jake Verity,2566731,K,FA,Bye,,,,,,,,,,,,54,0.00,
Tristan Vizcaino,2562807,K,FA,Bye,,,,,,,,,,,,55,0.00,
Parker White,2569756,K,FA,Bye,,,,,,,,,,,,56,0.00,
Trey Wolff,2571488,K,FA,Bye,,,,,,,,,,,,57,0.00,
Matthew Wright,2562968,K,CAR,ATL,,,,,,,,,,,0.00,58,0.00,0.0
Cade York,2567487,K,NYG,@NO,,,,,,,,,,,0.00,59,0.00,0.0
Greg Zuerlein,2534797,K,NYJ,@MIA,,,,,,,,,,,6.28,60,0.00,-6.28
Joey Slye,2563132,K,WAS,@LA,2,1,,,,,,,,,6.25,61,-1.00,-7.25
Chris Boswell,2550545,K,PIT,@IND,1,1,,,,,,,,,7.16,62,-2.00,-9.16
