PlayerName,PlayerId,Pos,Team,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Devin Asiasi,2564586,TE,NE,,,,,,,,,,,,10.90,,,,,,,,,,59,0.00
Antony Auclair,2559044,TE,HOU,,,,,,,,,,,,8.70,,,,,,,,,,60,0.00
John Bates,2566580,TE,WAS,,,,,,,,,,,,11.50,,,,,,,,,,61,0.00
Marcus Baugh,2560971,TE,FA,,,,,,,,,,,,,,,,,,,,,,62,0.00
Evan Baylis,2559299,TE,FA,,,,,,,,,,,,,,,,,,,,,,63,0.00
Andrew Beck,2562626,TE,DEN,,,,,,,,,,,,17.50,,,,,,,,,,64,0.00
Nate Becker,2563191,TE,FA,,,,,,,,,,,,,,,,,,,,,,65,0.00
Ryan Becker,2564886,TE,ATL,,,,,,,,,,,,9.90,,,,,,,,,,66,0.00
Kelvin Benjamin,2543471,TE,FA,,,,,,,,,,,,,,,,,,,,,,67,0.00
Kendall Blanton,2562234,TE,LA,,,,,,,,,,,,9.30,,,,,,,,,,68,0.00
Jibri Blount,2565672,TE,FA,,,,,,,,,,,,,,,,,,,,,,69,0.00
Nick Bowers,2564415,TE,LV,,,,,,,,,,,,21.50,,,,,,,,,,70,0.00
Nick Boyle,2552402,TE,BAL,,,,,,,,,,,,3.50,,,,,,,,,,71,0.00
Cameron Brate,2550656,TE,TB,,,,,,,,,,,,25.00,,,,,,,,,,72,0.00
Jacob Breeland,2565321,TE,FA,,,,,,,,,,,,,,,,,,,,,,73,0.00
Hunter Bryant,2563923,TE,DET,,,,,,,,,,,,22.40,,,,,,,,,,74,0.00
Ian Bunting,2563073,TE,FA,,,,,,,,,,,,,,,,,,,,,,75,0.00
Trey Burton,2550284,TE,FA,,,,,,,,,,,,,,,,,,,,,,76,0.00
Matt Bushman,2565639,TE,FA,,,,,,,,,,,,,,,,,,,,,,77,0.00
Jake Butt,2557859,TE,FA,,,,,,,,,,,,,,,,,,,,,,78,0.00
Stephen Carlson,2563044,TE,CLE,,,,,,,,,,,,17.20,,,,,,,,,,79,0.00
Derek Carrier,2534241,TE,LV,,,,,,,,,,,,21.50,,,,,,,,,,80,0.00
Cethan Carter,2558929,TE,MIA,,,,,,,,,,,,3.90,,,,,,,,,,81,0.00
Darion Clark,2563434,TE,FA,,,,,,,,,,,,,,,,,,,,,,82,0.00
Jason Croom,2559159,TE,PHI,,,,,,,,,,,,16.60,,,,,,,,,,83,0.00
