PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Oren Burks,2560984,LB,SF,@PHI,3,2,,,,,,,,,,,,,,,,2.04,57,5.70,3.66
Willie Gay Jr.,2564280,LB,KC,@GB,3,2,,,,,,,,,,,,,,,,6.11,58,5.70,-0.41
Anthony Nelson,2562507,LB,TB,CAR,2,2,,1,,,,,,,,,,,,,,2.69,59,5.70,3.01
Khaleke Hudson,2565279,LB,WAS,MIA,3,1,,,,,,,,,,,,,1,,,1.91,60,5.60,3.69
Fred Warner,2560917,LB,SF,@PHI,3,1,,,,,,,,,,,,,1,,,12.50,61,5.60,-6.9
Jordyn Brooks,2565135,LB,SEA,@DAL,1,,1,1,,,,,,,,,,,1,,,10.45,62,5.50,-4.95
Justin Hollins,2562285,LB,LAC,@NE,1,,1,1,,,,,,,,,,,1,,,1.51,63,5.50,3.99
Dee Winters,2570296,LB,SF,@PHI,2,,,,,,,,,,,,,1,,,,0.00,64,5.50,5.5
Bradley Chubb,2561020,LB,MIA,@WAS,1,4,0.5,,,,,,,,,,,,1,,,6.36,65,5.40,-0.96
Josey Jewell,2560763,LB,DEN,@HOU,2,4,,,,,,,,,,,,,,,,8.80,66,5.40,-3.4
Jerome Baker,2560966,LB,MIA,@WAS,3,1,,,,,,,,,,,,,,,,8.42,67,5.10,-3.32
Demario Davis,2533008,LB,NO,DET,3,1,,,,,,,,,,,,,,,,9.90,68,5.10,-4.8
Haason Reddick,2557887,LB,PHI,SF,2,1,0.5,,,,,,,,,,,,1,,,6.21,69,5.10,-1.11
Damone Clark,2567493,LB,DAL,SEA,2,2,,,,,,,,,,,,,1,,,9.16,70,4.70,-4.46
Devin Bush,2562243,LB,SEA,@DAL,2,,,1,,,,,,,,,,,,,,0.59,71,4.50,3.91
Blake Cashman,2562496,LB,HOU,DEN,1,5,,,,,,,,,,,,,,,,12.26,72,4.50,-7.76
Zaire Franklin,2561155,LB,IND,@TEN,1,5,,,,,,,,,,,,,,,,13.78,73,4.50,-9.28
Jeremiah Owusu-Koramoah,2565983,LB,CLE,@LA,1,5,,,,,,,,,,,,,,,,10.78,74,4.50,-6.28
Krys Barnes,2563971,LB,ARI,@PIT,2,2,,,,,,,,,,,,,,,,2.69,75,4.20,1.51
Segun Olubi,2569263,LB,IND,@TEN,2,,,,,,1,,,,,,,,,,6,0.00,76,4.20,4.2
Sione Takitaki,2562753,LB,CLE,@LA,2,2,,,,,,,,,,,,,,,,7.64,77,4.20,-3.44
Zaven Collins,2566421,LB,ARI,@PIT,1,,,,,,,,,,,,,1,,,,4.66,78,4.00,-0.66
Jake Martin,2561092,LB,IND,@TEN,1,,1,,,,,,,,,,,,1,,,1.58,79,4.00,2.42
Andre Smith,2560875,LB,ATL,@NYJ,2,,,,,,1,,,,,,,,,,,0.50,80,4.00,3.5
Rashan Gary,2562376,LB,GB,KC,,4,0.5,,,,,,,,,,,,1,,,4.67,81,3.90,-0.77
C.J. Mosley,2543464,LB,NYJ,ATL,1,4,,,,,,,,,,,,,,,,11.89,82,3.90,-7.99
Travon Walker,2567778,LB,JAX,CIN,,4,0.5,,,,,,,,,,,,1,,,4.67,83,3.90,-0.77
Baron Browning,2566025,LB,DEN,@HOU,1,1,0.5,,,,,,,,,,,,1,,,3.82,84,3.60,-0.22
Jake Hansen,2568870,LB,HOU,DEN,2,1,,,,,,,,,,,,,,,,0.00,85,3.60,3.6
Anfernee Jennings,2564613,LB,NE,LAC,2,1,,,,,,,,,,,,,,,,4.90,86,3.60,-1.3
Tanoh Kpassagnon,2558185,LB,NO,DET,1,1,,1,,,,,,,,,,,,,,1.96,87,3.60,1.64
Micah Parsons,2566019,LB,DAL,SEA,1,1,,,,,,,,,,,,,3,,,6.30,88,3.60,-2.7
Preston Smith,2552276,LB,GB,KC,1,1,0.5,,,,,,,,,,,,1,,,5.26,89,3.60,-1.66
Channing Tindall,2567898,LB,MIA,@WAS,2,1,,,,,,,,,,,,,,,,0.00,90,3.60,3.6
De'Vondre Campbell,2555255,LB,GB,KC,1,3,,,,,,,,,,,,,,,,9.30,91,3.30,-6.0
Malcolm Rodriguez,2567562,LB,DET,@NO,1,3,,,,,,,,,,,,,,,,0.75,92,3.30,2.55
Joe Tryon-Shoyinka,2566574,LB,TB,CAR,1,3,,,,,,,,,,,,,,,,3.45,93,3.30,-0.15
Nick Herbig,2570248,LB,PIT,ARI,1,,,1,,,,,,,,,,,,,,1.54,94,3.00,1.46
Troy Reeder,2563313,LB,LA,CLE,2,,,,,,,,,,,,,,,,,5.06,95,3.00,-2.06
Christian Rozeboom,2564394,LB,LA,CLE,2,,,,,,,,,,,,,,,,,3.73,96,3.00,-0.73
Chazz Surratt,2566322,LB,NYJ,ATL,2,,,,,,,,,,,,,,,,,0.00,97,3.00,3.0
Drue Tranquill,2562765,LB,KC,@GB,2,,,,,,,,,,,,,,,,,11.49,98,3.00,-8.49
Kingsley Enagbare,2567589,LB,GB,KC,1,2,,,,,,,,,,,,,,,,2.51,99,2.70,0.19
Elandon Roberts,2556119,LB,PIT,ARI,1,2,,,,,,,,,,,,,,,,10.42,100,2.70,-7.72
Boye Mafe,2568258,LB,SEA,@DAL,1,1,,,,,,,,,,,,,1,,,6.05,101,2.60,-3.45
Monty Rice,2566121,LB,NO,DET,1,1,,,,,,,,,,,,,1,,,2.60,102,2.60,0.0
Leo Chenal,2567784,LB,KC,@GB,1,1,,,,,,,,,,,,,,,,5.29,103,2.10,-3.19
Deion Jones,2555162,LB,CAR,@TB,1,1,,,,,,,,,,,,,,,,2.77,104,2.10,-0.67
Arden Key,2560779,LB,TEN,IND,,1,0.5,,,,,,,,,,,,1,,,3.45,105,2.10,-1.35
Jamien Sherwood,2565762,LB,NYJ,ATL,1,1,,,,,,,,,,,,,,,,1.27,106,2.10,0.83
Nolan Smith,2570212,LB,PHI,SF,1,1,,,,,,,,,,,,,,,,1.12,107,2.10,0.98
Keir Thomas,2567856,LB,LA,CLE,1,1,,,,,,,,,,,,,,,,1.75,108,2.10,0.35
Nik Bonitto,2567517,LB,DEN,@HOU,1,,,,,,,,,,,,,,,,,3.69,109,1.50,-2.19
Frank Clark,2552629,LB,FA,Bye,1,,,,,,,,,,,,,,,,,,110,1.50,
Akeem Davis-Gaither,2563728,LB,CIN,@JAX,1,,,,,,,,,,,,,,,,,1.36,111,1.50,0.14
Demetrius Flannigan-Fowles,2563090,LB,SF,@PHI,1,,,,,,,,,,,,,,,,,0.52,112,1.50,0.98
Kamu Grugier-Hill,2556363,LB,CAR,@TB,1,,,,,,,,,,,,,,,,,5.42,113,1.50,-3.92
Patrick Johnson,2566403,LB,PHI,SF,1,,,,,,,,,,,,,,,,,0.00,114,1.50,1.5
Blake Lynch,2564562,LB,LAC,@NE,1,,,,,,,,,,,,,,,,,0.60,115,1.50,0.9
Marte Mapu,2570104,LB,NE,LAC,1,,,,,,,,,,,,,,,,,1.60,116,1.50,-0.1
Isaiah McDuffie,2566082,LB,GB,KC,1,,,,,,,,,,,,,,,,,2.73,117,1.50,-1.23
Drew Sanders,2569711,LB,DEN,@HOU,1,,,,,,,,,,,,,,,,,1.61,118,1.50,-0.11
Zeke Turner,2561283,LB,ARI,@PIT,1,,,,,,,,,,,,,,,,,0.00,119,1.50,1.5
Rashad Weaver,2566124,LB,TEN,IND,1,,,,,,,,,,,,,,,,,2.25,120,1.50,-0.75
Kristian Welch,2565348,LB,GB,KC,1,,,,,,,,,,,,,,,,,0.00,121,1.50,1.5
K.J. Britt,2566559,LB,TB,CAR,,2,,,,,,,,,,,,,,,,6.45,122,1.20,-5.25
Josh Uche,2564649,LB,NE,LAC,,2,,,,,,,,,,,,,,,,2.58,123,1.20,-1.38
Shaquil Barrett,2550541,LB,TB,CAR,,1,,,,,,,,,,,,,,,,5.05,124,0.60,-4.45
Andre Jones Jr.,2570383,LB,WAS,MIA,,1,,,,,,,,,,,,,,,,5.01,125,0.60,-4.41
Jesse Luketa,2568111,LB,ARI,@PIT,,1,,,,,,,,,,,,,,,,0.87,126,0.60,-0.27
Owen Pappoe,2570227,LB,ARI,@PIT,,1,,,,,,,,,,,,,,,,0.48,127,0.60,0.12
Anthony Pittman,2563195,LB,DET,@NO,,1,,,,,,,,,,,,,,,,0.00,128,0.60,0.6
Shaquille Quarterman,2564217,LB,JAX,CIN,,1,,,,,,,,,,,,,,,,0.55,129,0.60,0.05
Ty Summers,2562748,LB,NO,DET,,1,,,,,,,,,,,,,,,,0.00,130,0.60,0.6
Henry To'oTo'o,2569831,LB,HOU,DEN,,1,,,,,,,,,,,,,,,,2.43,131,0.60,-1.83
Yasir Abdullah,2569891,LB,JAX,CIN,,,,,,,,,,,,,,,,,,0.00,132,0.00,0.0
Matthew Adams,2561149,LB,CLE,@LA,,,,,,,,,,,,,,,,,,1.20,133,0.00,-1.2
Kwon Alexander,2552592,LB,PIT,ARI,,,,,,,,,,,,,,,,,,0.00,134,0.00,0.0
Christopher Allen,2568726,LB,FA,Bye,,,,,,,,,,,,,,,,,,,135,0.00,
Troy Andersen,2567235,LB,ATL,@NYJ,,,,,,,,,,,,,,,,,,0.00,136,0.00,0.0
Alex Anzalone,2558163,LB,DET,@NO,,,,,,,,,,,,,,,,,,0.00,137,0.00,0.0
Brian Asamoah,2567901,LB,MIN,Bye,,,,,,,,,,,,,,,,,,,138,0.00,
Joe Bachie,2564661,LB,CIN,@JAX,,,,,,,,,,,,,,,,,,0.00,139,0.00,0.0
Markus Bailey,2563719,LB,CIN,@JAX,,,,,,,,,,,,,,,,,,0.00,140,0.00,0.0
Zaire Barnes,2570185,LB,NYJ,ATL,,,,,,,,,,,,,,,,,,0.00,141,0.00,0.0
Tarell Basham,2558165,LB,FA,Bye,,,,,,,,,,,,,,,,,,,142,0.00,
Robert Beal Jr.,2570299,LB,SF,@PHI,,,,,,,,,,,,,,,,,,0.00,143,0.00,0.0
Darrian Beavers,2567982,LB,NYG,Bye,,,,,,,,,,,,,,,,,,,144,0.00,
Terrel Bernard,2567325,LB,BUF,Bye,,,,,,,,,,,,,,,,,,,145,0.00,
Rashod Berry,2564589,LB,FA,Bye,,,,,,,,,,,,,,,,,,,146,0.00,
Chris Board,2561301,LB,NE,LAC,,,,,,,,,,,,,,,,,,0.00,147,0.00,0.0
Curtis Bolton,2562913,LB,LV,Bye,,,,,,,,,,,,,,,,,,,148,0.00,
Nick Bolton,2566175,LB,KC,@GB,,,,,,,,,,,,,,,,,,0.00,149,0.00,0.0
Joey Bosa,2555249,LB,LAC,@NE,,,,,,,,,,,,,,,,,,0.00,150,0.00,0.0
Tyus Bowser,2558166,LB,BAL,Bye,,,,,,,,,,,,,,,,,,,151,0.00,
Shaun Bradley,2564820,LB,PHI,SF,,,,,,,,,,,,,,,,,,0.00,152,0.00,0.0
Cameron Brown,2564715,LB,NYG,Bye,,,,,,,,,,,,,,,,,,,153,0.00,
Amari Burney,2570041,LB,LV,Bye,,,,,,,,,,,,,,,,,,,154,0.00,
Darien Butler,2568963,LB,LV,Bye,,,,,,,,,,,,,,,,,,,155,0.00,
Chance Campbell,2567646,LB,TEN,IND,,,,,,,,,,,,,,,,,,0.00,156,0.00,0.0
Owen Carney,2569011,LB,FA,Bye,,,,,,,,,,,,,,,,,,,157,0.00,
Jermaine Carter,2561093,LB,FA,Bye,,,,,,,,,,,,,,,,,,,158,0.00,
Cole Christiansen,2565021,LB,KC,@GB,,,,,,,,,,,,,,,,,,0.00,159,0.00,0.0
Jadeveon Clowney,2543456,LB,BAL,Bye,,,,,,,,,,,,,,,,,,,160,0.00,
Dylan Cole,2559152,LB,CHI,Bye,,,,,,,,,,,,,,,,,,,161,0.00,
Ryan Connelly,2562638,LB,NO,DET,,,,,,,,,,,,,,,,,,0.00,162,0.00,0.0
Carter Coughlin,2564724,LB,NYG,Bye,,,,,,,,,,,,,,,,,,,163,0.00,
Jabril Cox,2565998,LB,WAS,MIA,,,,,,,,,,,,,,,,,,0.00,164,0.00,0.0
Tae Crowder,2564727,LB,TEN,IND,,,,,,,,,,,,,,,,,,0.00,165,0.00,0.0
Zach Cunningham,2558094,LB,PHI,SF,,,,,,,,,,,,,,,,,,0.00,166,0.00,0.0
Marcus Davenport,2561037,LB,MIN,Bye,,,,,,,,,,,,,,,,,,,167,0.00,
Lavonte David,2532828,LB,TB,CAR,,,,,,,,,,,,,,,,,,0.00,168,0.00,0.0
Jarrad Davis,2557855,LB,NYG,Bye,,,,,,,,,,,,,,,,,,,169,0.00,
Tae Davis,2561318,LB,CAR,@TB,,,,,,,,,,,,,,,,,,0.00,170,0.00,0.0
Divine Deablo,2566253,LB,LV,Bye,,,,,,,,,,,,,,,,,,,171,0.00,
Nakobe Dean,2568072,LB,PHI,SF,,,,,,,,,,,,,,,,,,0.00,172,0.00,0.0
Kuony Deng,2568504,LB,FA,Bye,,,,,,,,,,,,,,,,,,,173,0.00,
SirVocea Dennis,2570347,LB,TB,CAR,,,,,,,,,,,,,,,,,,0.00,174,0.00,0.0
Victor Dimukeje,2566424,LB,ARI,@PIT,,,,,,,,,,,,,,,,,,1.76,175,0.00,-1.76
De'Shaan Dixon,2567736,LB,JAX,CIN,,,,,,,,,,,,,,,,,,0.00,176,0.00,0.0
Tyrel Dodson,2562560,LB,BUF,Bye,,,,,,,,,,,,,,,,,,,177,0.00,
JoJo Domann,2568900,LB,TEN,IND,,,,,,,,,,,,,,,,,,0.00,178,0.00,0.0
Andrew Dowell,2563218,LB,NO,DET,,,,,,,,,,,,,,,,,,0.00,179,0.00,0.0
Troy Dye,2564535,LB,MIN,Bye,,,,,,,,,,,,,,,,,,,180,0.00,
Tremaine Edmunds,2560713,LB,CHI,Bye,,,,,,,,,,,,,,,,,,,181,0.00,
T.J. Edwards,2562648,LB,CHI,Bye,,,,,,,,,,,,,,,,,,,182,0.00,
Emeke Egbule,2562578,LB,FA,Bye,,,,,,,,,,,,,,,,,,,183,0.00,
Dorian Etheridge,2566680,LB,FA,Bye,,,,,,,,,,,,,,,,,,,184,0.00,
Rashaan Evans,2560718,LB,FA,Bye,,,,,,,,,,,,,,,,,,,185,0.00,
Olakunle Fatukasi,2569293,LB,LA,CLE,,,,,,,,,,,,,,,,,,0.00,186,0.00,0.0
Tony Fields II,2565971,LB,CLE,@LA,,,,,,,,,,,,,,,,,,1.38,187,0.00,-1.38
Tomon Fox,2569137,LB,NYG,Bye,,,,,,,,,,,,,,,,,,,188,0.00,
Chris Garrett,2566211,LB,FA,Bye,,,,,,,,,,,,,,,,,,,189,0.00,
Jonathan Garvin,2563992,LB,FA,Bye,,,,,,,,,,,,,,,,,,,190,0.00,
DeMarquis Gates,2561615,LB,FA,Bye,,,,,,,,,,,,,,,,,,,191,0.00,
Nate Gerry,2558175,LB,FA,Bye,,,,,,,,,,,,,,,,,,,192,0.00,
Luke Gifford,2562942,LB,TEN,IND,,,,,,,,,,,,,,,,,,0.46,193,0.00,-0.46
Ulysees Gilbert,2562811,LB,FA,Bye,,,,,,,,,,,,,,,,,,,194,0.00,
Cam Gill,2565216,LB,TB,CAR,,,,,,,,,,,,,,,,,,0.69,195,0.00,-0.69
Trevis Gipson,2563695,LB,TEN,IND,,,,,,,,,,,,,,,,,,0.00,196,0.00,0.0
Cameron Goode,2567892,LB,MIA,@WAS,,,,,,,,,,,,,,,,,,0.84,197,0.00,-0.84
Jalen Graham,2570311,LB,SF,@PHI,,,,,,,,,,,,,,,,,,0.00,198,0.00,0.0
Jonas Griffith,2565102,LB,DEN,@HOU,,,,,,,,,,,,,,,,,,0.00,199,0.00,0.0
Derick Hall,2570329,LB,SEA,@DAL,,,,,,,,,,,,,,,,,,2.10,200,0.00,-2.1
Terez Hall,2562277,LB,NE,LAC,,,,,,,,,,,,,,,,,,0.00,201,0.00,0.0
Nick Hampton,2570008,LB,LA,CLE,,,,,,,,,,,,,,,,,,0.00,202,0.00,0.0
Daniel Hardy,2567832,LB,CHI,Bye,,,,,,,,,,,,,,,,,,,203,0.00,
Devin Harper,2567499,LB,CIN,@JAX,,,,,,,,,,,,,,,,,,0.00,204,0.00,0.0
Darius Harris,2563108,LB,KC,@GB,,,,,,,,,,,,,,,,,,0.61,205,0.00,-0.61
De'Jon Harris,2564604,LB,WAS,MIA,,,,,,,,,,,,,,,,,,0.00,206,0.00,0.0
Malik Harrison,2563554,LB,BAL,Bye,,,,,,,,,,,,,,,,,,,207,0.00,
Daelin Hayes,2565842,LB,FA,Bye,,,,,,,,,,,,,,,,,,,208,0.00,
Daiyan Henley,2570281,LB,LAC,@NE,,,,,,,,,,,,,,,,,,0.57,209,0.00,-0.57
Jordan Hicks,2552315,LB,MIN,Bye,,,,,,,,,,,,,,,,,,,210,0.00,
Cole Holcomb,2562872,LB,PIT,ARI,,,,,,,,,,,,,,,,,,0.00,211,0.00,0.0
James Houston,2567544,LB,DET,@NO,,,,,,,,,,,,,,,,,,0.00,212,0.00,0.0
Justin Houston,2495493,LB,MIA,@WAS,,,,,,,,,,,,,,,,,,0.00,213,0.00,0.0
Travin Howard,2561154,LB,FA,Bye,,,,,,,,,,,,,,,,,,,214,0.00,
Jacob Hummel,2569390,LB,LA,CLE,,,,,,,,,,,,,,,,,,0.95,215,0.00,-0.95
Danielle Hunter,2552603,LB,MIN,Bye,,,,,,,,,,,,,,,,,,,216,0.00,
Joel Iyiegbuniwe,2560750,LB,FA,Bye,,,,,,,,,,,,,,,,,,,217,0.00,
Myles Jack,2555329,LB,PIT,ARI,,,,,,,,,,,,,,,,,,0.00,218,0.00,0.0
D'Marco Jackson,2567967,LB,NO,DET,,,,,,,,,,,,,,,,,,0.00,219,0.00,0.0
Storey Jackson,2568696,LB,FA,Bye,,,,,,,,,,,,,,,,,,,220,0.00,
Malik Jefferson,2560762,LB,DAL,SEA,,,,,,,,,,,,,,,,,,0.00,221,0.00,0.0
Matthew Jester,2569993,LB,FA,Bye,,,,,,,,,,,,,,,,,,,222,0.00,
Caleb Johnson,2566743,LB,JAX,CIN,,,,,,,,,,,,,,,,,,0.00,223,0.00,0.0
DJ Johnson,2569603,LB,CAR,@TB,,,,,,,,,,,,,,,,,,0.00,224,0.00,0.0
Kyron Johnson,2568090,LB,PIT,ARI,,,,,,,,,,,,,,,,,,0.00,225,0.00,0.0
Clay Johnston,2564361,LB,CIN,@JAX,,,,,,,,,,,,,,,,,,0.00,226,0.00,0.0
Keandre Jones,2565402,LB,FA,Bye,,,,,,,,,,,,,,,,,,,227,0.00,
Kobe Jones,2566698,LB,FA,Bye,,,,,,,,,,,,,,,,,,,228,0.00,
Vi Jones,2568249,LB,TB,CAR,,,,,,,,,,,,,,,,,,0.00,229,0.00,0.0
Matt Judon,2555505,LB,NE,LAC,,,,,,,,,,,,,,,,,,0.00,230,0.00,0.0
Sam Kamara,2566746,LB,CLE,@LA,,,,,,,,,,,,,,,,,,0.00,231,0.00,0.0
Christian Kirksey,2543720,LB,FA,Bye,,,,,,,,,,,,,,,,,,,232,0.00,
Jordan Kunaszyk,2563127,LB,CLE,@LA,,,,,,,,,,,,,,,,,,1.05,233,0.00,-1.05
William Kwenkeu,2569414,LB,MIN,Bye,,,,,,,,,,,,,,,,,,,234,0.00,
Harvey Langi,2558963,LB,FA,Bye,,,,,,,,,,,,,,,,,,,235,0.00,
Elijah Lee,2558121,LB,FA,Bye,,,,,,,,,,,,,,,,,,,236,0.00,
Shaquille Leonard,2560789,LB,PHI,SF,,,,,,,,,,,,,,,,,,0.00,237,0.00,0.0
Terrell Lewis,2564370,LB,FA,Bye,,,,,,,,,,,,,,,,,,,238,0.00,
Cory Littleton,2556593,LB,FA,Bye,,,,,,,,,,,,,,,,,,,239,0.00,
Damon Lloyd,2567178,LB,FA,Bye,,,,,,,,,,,,,,,,,,,240,0.00,
Tyreek Maddox-Williams,2569209,LB,ARI,@PIT,,,,,,,,,,,,,,,,,,0.00,241,0.00,0.0
DeAngelo Malone,2567253,LB,ATL,@NYJ,,,,,,,,,,,,,,,,,,0.00,242,0.00,0.0
Luke Masterson,2568981,LB,LV,Bye,,,,,,,,,,,,,,,,,,,243,0.00,
Tyler Matakevich,2555171,LB,BUF,Bye,,,,,,,,,,,,,,,,,,,244,0.00,
Kana'i Mauga,2568741,LB,LV,Bye,,,,,,,,,,,,,,,,,,,245,0.00,
