PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Hunter Henry,2555341,TE,NE,PIT,,,,,,8,90,2,,,,,28.80,,8,8,8,11,73,4,1,2,1,25.00
Mark Andrews,2560957,TE,BAL,DET,,,,,,6,91,2,,,,,27.30,,6,6,6,6,100,1,,1,2,24.10
Dalton Kincaid,2569594,TE,BUF,MIA,,,,,,5,66,1,,,,,22.10,,5,5,5,6,83,,,,3,15.10
Jake Ferguson,2567496,TE,DAL,@CHI,,,,,,13,82,,,,,,17.20,,13,13,13,14,93,,,,4,14.70
T.J. Hockenson,2562378,TE,MIN,CIN,,,,,,5,49,1,,,,,22.60,,5,5,5,6,83,3,2,1,5,13.40
Trey McBride,2568117,TE,ARI,@SF,,,,,,5,43,1,,,,,15.80,,5,5,5,8,63,2,,1,6,12.80
Jack Stoll,2567061,TE,NO,@SEA,,,,,,2,21,1,,,,,18.70,,2,2,2,3,67,1,,,7,10.60
Dallas Goedert,2560995,TE,PHI,LAR,,,,,,1,33,1,,,,,11.90,,1,1,1,2,50,,,,8,9.80
Chig Okonkwo,2567658,TE,TEN,IND,,,,,,5,66,,,,,,13.30,,5,5,5,6,83,,,,9,9.10
Brenton Strange,2569912,TE,JAX,HOU,,,,,,6,61,,,,,,12.50,,6,6,6,7,86,,,,10,9.10
Drew Sample,2562720,TE,CIN,@MIN,,,,,,2,20,1,,,,,13.80,,2,2,2,3,67,1,,1,11,9.00
Dalton Schultz,2560866,TE,HOU,@JAX,,,,,,5,39,,,,,,8.50,,5,5,5,6,83,,,,12,8.50
John FitzPatrick,2567241,TE,GB,@CLE,,,,,,2,12,1,,,,,12.60,,2,2,2,2,100,1,,1,13,8.20
Juwan Johnson,2564676,TE,NO,@SEA,,,,,,6,51,,,,,,18.70,,6,6,6,8,75,,,,14,8.10
Cole Kmet,2563704,TE,CHI,DAL,,,,,,1,10,1,,,,,11.70,,1,1,1,1,100,1,,1,15,8.10
Brock Bowers,2572219,TE,LV,@WAS,,,,,,4,38,,,,1,,10.80,,4,4,4,5,80,,,,16,7.80
Josh Oliver,2562693,TE,MIN,CIN,,,,,,1,12,1,,,,,22.60,,1,1,1,1,100,1,,,17,7.70
Oronde Gadsden II,2574511,TE,LAC,DEN,,,,,,5,46,,,,,,7.10,,5,5,5,7,71,,,,18,7.10
Jackson Hawes,2573962,TE,BUF,MIA,,,,,,1,5,1,,,,,22.10,,1,1,1,1,100,1,,1,19,7.00
David Njoku,2557986,TE,CLE,GB,,,,,,5,40,,,,,,11.10,,5,5,5,7,71,,,,20,6.50
Kyle Pitts,2565830,TE,ATL,@CAR,,,,,,4,39,,,,,,5.90,,4,4,4,6,67,,,,21,5.90
Zach Ertz,2540158,TE,WAS,LV,,,,,,3,38,,,,,,6.80,,3,3,3,3,100,,,,22,5.30
Sam LaPorta,2569726,TE,DET,@BAL,,,,,,4,33,,,,,,5.30,,4,4,4,4,100,,,,23,5.30
Tyler Warren,2574204,TE,IND,@TEN,,,,,,3,38,,,,,,5.30,,3,3,3,5,60,,,,24,5.30
Travis Kelce,2540258,TE,KC,@NYG,,,,,,4,26,,,,,,7.80,,4,4,4,7,57,,,,25,4.60
Tucker Kraft,2569768,TE,GB,@CLE,,,,,,3,29,,,,,,12.60,,3,3,3,4,75,,,,26,4.40
Gunnar Helm,2574152,TE,TEN,IND,,,,,,3,27,,,,,,13.30,,3,3,3,3,100,,,,27,4.20
Harold Fannin Jr.,2574043,TE,CLE,GB,,,,,,3,25,,,,,,11.10,,3,3,3,4,75,,,,28,4.00
Austin Hooper,2555415,TE,NE,PIT,,,,,,2,28,,,,,,28.80,,2,2,2,3,67,,,,29,3.80
Eric Saubert,2558023,TE,SEA,NO,,,,,,1,12,,,,,,6.60,,1,1,1,1,100,,,,30,3.80
Mason Taylor,2574451,TE,NYJ,@TB,,,,,,4,18,,,,,,3.80,,4,4,4,6,67,,,,31,3.80
Colston Loveland,2574014,TE,CHI,DAL,,,,,,1,31,,,,,,11.70,,1,1,1,3,33,,,,32,3.60
Noah Gray,2566178,TE,KC,@NYG,,,,,,3,17,,,,,,7.80,,3,3,3,6,50,,,,33,3.20
Charlie Kolar,2567280,TE,BAL,DET,,,,,,2,22,,,,,,27.30,,2,2,2,3,67,,,,34,3.20
Noah Fant,2562383,TE,CIN,@MIN,,,,,,5,26,,,,,1,13.80,,5,5,5,5,100,,,,35,3.10
Jake Tonges,2567439,TE,SF,ARI,,,,,,2,21,,,,,,3.70,,2,2,2,3,67,,,,36,3.10
Michael Mayer,2570032,TE,LV,@WAS,,,,,,,,,,,,,10.80,,,,,1,,,,,37,3.00
