PlayerName,PlayerId,Pos,Team,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Albert Wilson,2550272,WR,MIA,,,,,2,14,,,,,,39.60,,2,2,2,2,100,,,,87,2.40
Alex Erickson,2556519,WR,CAR,,,,,1,17,,,,,,30.00,,1,1,1,1,100,,,,88,2.20
Jalen Guyton,2562844,WR,LAC,,,,,1,15,,,,,,14.50,,1,1,1,5,20,,,,89,2.00
Tom Kennedy,2563319,WR,DET,,,,,1,15,,,,,,17.70,,1,1,1,1,100,,,,90,2.00
KhaDarel Hodge,2561653,WR,DET,,,,,2,9,,,,,,17.70,,2,2,2,4,50,1,,,91,1.90
Amari Rodgers,2566091,WR,GB,,,,,1,14,,,,,,28.10,,1,1,1,1,100,,,,92,1.90
Anthony Schwartz,2565986,WR,CLE,,,,-3,2,11,,,,,,36.30,1,2,3,2,3,67,,,,93,1.80
Tyrie Cleveland,2563881,WR,DEN,,,,,,,,,,,,39.00,,,,,,,,,,94,1.70
Marquise Goodwin,2539964,WR,CHI,,,,,1,12,,,,,,22.00,,1,1,1,1,100,,,,95,1.70
Penny Hart,2562804,WR,SEA,,,,,1,12,,,,,,17.10,,1,1,1,1,100,,,,96,1.70
Stanley Morgan,2562504,WR,CIN,,,,,,,,,,,,29.40,,,,,,,,,,97,1.70
Freddie Swain,2565195,WR,SEA,,,,,2,-4,,,,,,17.10,,2,2,2,3,67,,,,98,1.60
Tylan Wallace,2565857,WR,BAL,,,,,,,,,,,,14.70,,,,,,,,,,99,1.60
Chris Conley,2552652,WR,HOU,,,,,1,10,,,,,,26.40,,1,1,1,2,50,,,,100,1.50
Terrace Marshall Jr.,2565902,WR,CAR,,,,,1,9,,,,,,30.00,,1,1,1,2,50,,,,101,1.40
James Washington,2560920,WR,PIT,,,,,1,9,,,,,,21.00,,1,1,1,1,100,,,,102,1.40
Isaiah McKenzie,2558129,WR,BUF,,,,5,1,3,,,,,,59.20,1,1,2,1,1,100,1,1,1,103,1.30
Josh Palmer,2566502,WR,LAC,,,,,1,8,,,,,,14.50,,1,1,1,4,25,,,,104,1.30
Tyler Boyd,2555466,WR,CIN,,,,,1,7,,,,,,29.40,,1,1,1,3,33,,,,105,1.20
Chester Rogers,2556396,WR,TEN,,,,,1,7,,,,,,27.10,,1,1,1,1,100,,,,106,1.20
Miles Boykin,2562631,WR,BAL,,,,,1,6,,,,,,14.70,,1,1,1,1,100,,,,107,1.10
DeSean Jackson,1581,WR,FA,,,,,1,6,,,,,,,,1,1,1,1,100,,,,108,1.10
Phillip Dorsett,2552424,WR,FA,,,,,1,3,,,,,,,,1,1,1,1,100,1,1,,109,0.80
Gunner Olszewski,2563329,WR,NE,,,,,,,,,,,,27.00,,,,,,,,,,110,0.80
Dede Westbrook,2557895,WR,MIN,,,,,2,13,,,,,1,52.40,,2,2,2,3,67,,,,111,0.30
Adam Humphries,2553895,WR,WAS,,,,,1,-4,,,,,,9.40,,1,1,1,2,50,1,1,,112,0.10
Rodney Adams,2558047,WR,FA,,,,,,,,,,,,,,,,,,,,,,113,0.00
Quincy Adeboyejo,2558906,WR,FA,,,,,,,,,,,,,,,,,,,,,,114,0.00
Brandon Aiyuk,2565093,WR,SF,,,,,,,,,,,,,,,,,,,,,,115,0.00
Landen Akers,2566193,WR,FA,,,,,,,,,,,,,,,,,,,,,,116,0.00
Geronimo Allison,2556460,WR,DET,,,,,,,,,,,,17.70,,,,,,,,,,117,0.00
Danny Amendola,2649,WR,HOU,,,,,,,,,,,,26.40,,,,,,,,,,118,0.00
J.J. Arcega-Whiteside,2562466,WR,PHI,,,,,,,,,,,,13.70,,,,,,,,,,119,0.00
Marcell Ateman,2560961,WR,FA,,,,,,,,,,,,,,,,,,,,,,120,0.00
Tutu Atwell,2566196,WR,LA,,,,,,,,,,,,50.90,,,,,,,,,,121,0.00
Tavon Austin,2539336,WR,JAX,,,,,,,,,,,,38.20,,,,,1,,,,,122,0.00
Andre Baccellia,2564250,WR,FA,,,,,,,,,,,,,,,,,,,,,,123,0.00
Alex Bachman,2563301,WR,FA,,,,,,,,,,,,,,,,,,,,,,124,0.00
Manasseh Bailey,2564817,WR,FA,,,,,,,,,,,,,,,,,,,,,,125,0.00
Kawaan Baker,2566349,WR,FA,,,,,,,,,,,,,,,,,,,,,,126,0.00
Cameron Batson,2561521,WR,TEN,,,,,,,,,,,,27.10,,,,,,,,,,127,0.00
Omar Bayless,2563623,WR,FA,,,,,,,,,,,,,,,,,,,,,,128,0.00
