PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Justin Fields,2565920,QB,PIT,@IND,312,1,,55,2,,,,,,,2,30.58,10,,10,,,,,1,1,1,30.58
Jordan Love,2564007,QB,GB,MIN,389,4,3,6,,,,,,,1,,28.16,1,,1,,,,,,,2,28.16
Baker Mayfield,2560800,QB,TB,PHI,347,2,,10,1,,,,,,,1,27.88,4,,4,,,,,2,1,3,27.88
Jared Goff,2555334,QB,DET,SEA,292,2,,-2,,1,7,1,,,,,26.68,2,1,3,1,1,100,1,,1,4,26.68
Jayden Daniels,2572564,QB,WAS,@ARI,233,1,1,47,1,,,,,,1,,24.02,8,,8,,,,,1,,5,24.02
Lamar Jackson,2560757,QB,BAL,BUF,156,2,,54,1,,,,,,,1,23.68,6,,6,,,,,,,6,23.64
C.J. Stroud,2569819,QB,HOU,JAX,345,2,,17,,,,,,,,,23.50,3,,3,,,,,1,1,7,23.50
Geno Smith,2539335,QB,SEA,@DET,395,1,1,38,,,,,,,,,21.60,5,,5,,,,,1,,8,21.60
Sam Darnold,2561036,QB,MIN,@GB,275,3,1,15,,,,,,,,1,20.50,7,,7,,,,,1,,9,20.50
Dak Prescott,2555260,QB,DAL,@NYG,221,2,,-1,,,,,,,,,16.74,2,,2,,,,,,,10,16.74
Joe Burrow,2563722,QB,CIN,@CAR,232,2,1,10,,,,,,,,,16.28,1,,1,,,,,,,11,16.28
Andy Dalton,2495143,QB,CAR,CIN,220,2,1,9,,,,,,,,,15.70,3,,3,,,,,,,12,15.70
Joe Flacco,382,QB,IND,PIT,168,2,,3,,,,,,,,,18.26,2,,2,,,,,,,13,15.02
Jalen Hurts,2564832,QB,PHI,@TB,158,1,,20,1,,,,,,,2,14.32,8,,8,,,,,1,,14,14.32
Patrick Mahomes,2558125,QB,KC,@LAC,245,1,1,12,,,,,,,,,13.00,5,,5,,,,,,,15,13.00
Trevor Lawrence,2566163,QB,JAX,@HOU,169,2,,5,,,-5,,,,,1,12.76,3,,3,,,,,1,1,16,12.76
