PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Demetric Felton,2565968,RB,FA,Bye,,,,,,,,,,,,,,129,62,0.00,
Jerome Ford,2567469,RB,CLE,BAL,,,,14.81,0.1,1.85,9.63,0.08,,,,0.08,4.29,51,63,0.00,-4.29
D'Onta Foreman,2557994,RB,FA,Bye,,,,,,,,,,,,,,130,64,0.00,
Royce Freeman,2560733,RB,FA,Bye,,,,,,,,,,,,,,131,65,0.00,
Kenneth Gainwell,2566397,RB,PIT,CIN,,,,36.57,0.34,2.51,16.82,0.18,,,,0.15,9.41,27,66,0.00,-9.41
Myles Gaskin,2562270,RB,SEA,@LAR,,,,,,,,,,,,,0.00,132,67,0.00,0.0
Jahmyr Gibbs,2569747,RB,DET,@PHI,,,,73.88,0.85,3.4,25.31,0.26,,,,0.19,17.90,4,68,0.00,-17.9
Antonio Gibson,2565276,RB,NE,NYJ,,,,,,,,,,,,,0.00,133,69,0.00,0.0
DJ Giddens,2574188,RB,IND,Bye,,,,,,,,,,,,,,134,70,0.00,
Tyler Goodson,2567595,RB,IND,Bye,,,,,,,,,,,,,,135,71,0.00,
Ollie Gordon II,2574322,RB,MIA,WAS,,,,24.28,0.17,0.66,6.02,0.07,,,,0.07,4.66,49,72,0.00,-4.66
Frank Gore Jr.,2572908,RB,BUF,TB,,,,,,,,,,,,,0.00,136,73,0.00,0.0
Eric Gray,2570158,RB,NYG,GB,,,,,,,,,0.13,,,,0.78,76,74,0.00,-0.78
Isaac Guerendo,2572498,RB,SF,@ARI,,,,1.93,0.02,0.03,0.22,,,,,,0.35,88,75,0.00,-0.35
Troy Hairston,2568867,RB,FA,Bye,,,,,,,,,,,,,,137,76,0.00,
Breece Hall,2568030,RB,NYJ,@NE,,,,61.55,0.25,3.16,24.48,0.19,,,,0.19,12.44,16,77,0.00,-12.44
C.J. Ham,2556803,RB,MIN,CHI,,,,,,,,,,,,,0.00,138,78,0.00,0.0
Omarion Hampton,2574514,RB,LAC,@JAX,,,,,,,,,,,,,0.00,139,79,0.00,0.0
Deion Hankins,2574010,RB,CHI,@MIN,,,,,,,,,,,,,0.00,140,80,0.00,0.0
Kevin Harris,2567934,RB,FA,Bye,,,,,,,,,,,,,,141,81,0.00,
Najee Harris,2566448,RB,LAC,@JAX,,,,,,,,,,,,,0.00,142,82,0.00,0.0
RJ Harvey,2574090,RB,DEN,KC,,,,24.41,0.13,1.63,10.76,0.14,,,,0.09,5.77,44,83,0.00,-5.77
Hassan Haskins,2567649,RB,LAC,@JAX,,,,,,,,,,,,,0.00,143,84,0.00,0.0
JaMycal Hasty,2565108,RB,MIA,WAS,,,,,,,,,,,,,0.00,144,85,0.00,0.0
TreVeyon Henderson,2574374,RB,NE,NYJ,,,,27.78,0.14,1.94,15.02,0.12,,,,0.07,6.67,40,86,0.00,-6.67
Derrick Henry,2556075,RB,BAL,@CLE,,,,81.14,0.93,1,9.17,0.09,,,,0.18,15.29,10,87,0.00,-15.29
Khalil Herbert,2565926,RB,NYJ,@NE,,,,,,,,,,,,,0.00,145,88,0.00,0.0
Justice Hill,2562407,RB,BAL,@CLE,,,,7.75,0.06,1.7,14.15,0.16,,,,0.1,4.16,52,89,0.00,-4.16
Nyheim Hines,2560742,RB,FA,Bye,,,,,,,,,,,,,,146,90,0.00,
George Holani,2572768,RB,SEA,@LAR,,,,4.28,,0.05,0.43,,,,,0.01,0.48,85,91,0.00,-0.48
Travis Homer,2562665,RB,CHI,@MIN,,,,,,,,,,,,,0.00,147,92,0.00,0.0
