PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Nate Adkins,2570930,TE,DEN,@WAS,,,,,,,,,,,,,0.00,88,1,0.00,0.0
Mo Alie-Cox,2558832,TE,IND,HOU,,,,,,0.27,2.73,,,,,,0.41,80,2,0.00,-0.41
Erick All,2571916,TE,CIN,@BAL,,,,,,,,,,,,,0.00,89,3,0.00,0.0
Davis Allen,2570017,TE,LAR,@CAR,,,,,,0.94,9.87,0.08,,,,0.01,1.92,47,4,0.00,-1.92
Mark Andrews,2560957,TE,BAL,CIN,,,,0.37,,2.87,36.47,0.44,,,,0.05,7.66,10,5,0.00,-7.66
Elijah Arroyo,2574554,TE,SEA,MIN,,,,,,1.37,14.43,0.09,,,,0.02,2.63,41,6,0.00,-2.63
AJ Barner,2572513,TE,SEA,MIN,,,,,,2.9,27.23,0.3,,,,0.03,5.91,25,7,0.00,-5.91
Gavin Bartholomew,2574337,TE,MIN,@SEA,,,,,,,,,,,,,0.00,90,8,0.00,0.0
Brenden Bates,2572953,TE,HOU,@IND,,,,,,,,,,,,,0.00,91,9,0.00,0.0
John Bates,2566580,TE,WAS,DEN,,,,,,0.44,4.04,0.05,,,,,0.92,64,10,0.00,-0.92
Jaheim Bell,2572288,TE,FA,Bye,,,,,,,,,,,,,,92,11,0.00,
Daniel Bellinger,2567985,TE,NYG,@NE,,,,,,0.86,8.24,0.04,,,,0.01,1.47,55,12,0.00,-1.47
Brock Bowers,2572219,TE,LV,@LAC,,,,1.19,0.01,5.07,53.26,0.22,,,,0.05,9.26,5,13,0.00,-9.26
Shawn Bowman,2573689,TE,FA,Bye,,,,,,,,,,,,,,93,14,0.00,
Jake Briningstool,2574240,TE,KC,@DAL,,,,,,,,,,,,,0.00,94,15,0.00,0.0
Pharaoh Brown,2559018,TE,FA,Bye,,,,,,,,,,,,,,95,16,0.00,
Harrison Bryant,2563767,TE,HOU,@IND,,,,,,,,,,,,,0.00,96,17,0.00,0.0
Lawrence Cager,2565492,TE,WAS,DEN,,,,,,,,,,,,,0.00,97,18,0.00,0.0
Grant Calcaterra,2568063,TE,PHI,CHI,,,,,,0.66,6.6,0.06,,,,,1.35,56,19,0.00,-1.35
Sal Cannella,2567197,TE,CLE,SF,,,,,,,,,,,,,0.00,98,20,0.00,0.0
Oscar Cardenas,2574479,TE,FA,Bye,,,,,,,,,,,,,,99,21,0.00,
Stephen Carlson,2563044,TE,CHI,@PHI,,,,,,,,,,,,,0.00,100,22,0.00,0.0
McCallan Castles,2572732,TE,FA,Bye,,,,,,,,,,,,,,101,23,0.00,
Tyler Conklin,2561027,TE,LAC,LV,,,,,,0.51,5.05,0.03,,,,0.01,0.92,65,24,0.00,-0.92
Tanner Conner,2569017,TE,MIA,NO,,,,,,,,,,,,,0.00,102,25,0.00,0.0
Pat Conroy,2574289,TE,FA,Bye,,,,,,,,,,,,,,103,26,0.00,
Jalin Conyers,2574320,TE,MIA,NO,,,,,,,,,,,,,0.00,104,27,0.00,0.0
John Copenhaver,2574212,TE,FA,Bye,,,,,,,,,,,,,,105,28,0.00,
