PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Brandon Aubrey,2571750,K,DAL,KC,2.35,0.06,,0.43,0.49,0.56,0.56,,,0.06,9.85,1,1,0.00,-9.85
Mike Badgley,2560965,K,IND,HOU,2.43,0.17,,0.35,0.52,0.61,0.17,,,0.09,7.64,18,2,0.00,-7.64
Tyler Bass,2563596,K,BUF,@PIT,,,,,,,,,,,0.00,32,3,0.00,0.0
Jake Bates,2571759,K,DET,GB,3.09,0.13,,0.33,0.53,0.53,0.39,,,0.07,9.15,4,4,0.00,-9.15
Andy Borregales,2574365,K,NE,NYG,2.12,0.12,,0.36,0.48,0.48,0.18,,,0.06,6.92,27,5,0.00,-6.92
Chris Boswell,2550545,K,PIT,BUF,2.23,0.07,,0.46,0.59,0.53,0.39,,,,9.11,5,6,0.00,-9.11
Harrison Butker,2558245,K,KC,@DAL,2.92,0.14,0.07,0.41,0.54,0.48,0.41,,,,9.39,3,7,0.00,-9.39
Anders Carlson,2569750,K,FA,Bye,,,,,,,,,,,,33,8,0.00,
Daniel Carlson,2560993,K,LV,@LAC,2.01,0.06,,0.41,0.41,0.47,0.41,,,,8.10,14,9,0.00,-8.1
Ryan Coe,2574584,K,FA,Bye,,,,,,,,,,,,34,10,0.00,
Caden Davis,2574436,K,FA,Bye,,,,,,,,,,,,35,11,0.00,
Cameron Dicker,2568435,K,LAC,LV,2.56,0.13,0.07,0.39,0.59,0.59,0.39,,,,9.56,2,12,0.00,-9.56
Jake Elliott,2558172,K,PHI,CHI,2.91,0.13,,0.46,0.53,0.53,0.26,,,0.07,8.71,9,13,0.00,-8.71
Ka'imi Fairbairn,2556521,K,HOU,@IND,2.24,0.12,,0.42,0.55,0.48,0.36,,,0.06,8.33,11,14,0.00,-8.33
Ryan Fitzgerald,2573979,K,CAR,LAR,1.83,0.06,,0.34,0.52,0.46,0.17,,,0.06,6.75,28,15,0.00,-6.75
Nick Folk,2507225,K,NYJ,ATL,1.82,0.06,,0.33,0.5,0.44,0.17,,,0.06,6.57,29,16,0.00,-6.57
Graham Gano,71309,K,NYG,@NE,,,,,,,,,,,0.00,36,17,0.00,0.0
Matt Gay,2562271,K,SF,@CLE,2.57,0.12,,0.41,0.47,0.41,0.29,,,0.06,7.76,17,18,0.00,-7.76
