PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Jahmyr Gibbs,2569747,RB,DET,@LAC,,,,77,2,3,35,,,,,,42.30,14,3,17,3,5,60,1,4,5,1,24.70
Brian Robinson,2568348,RB,WAS,@SEA,,,,38,,6,119,1,,,,,39.50,8,6,14,6,6,100,,,,2,24.70
Devin Singletary,2562734,RB,HOU,@CIN,,,,150,1,1,11,,,,,,27.20,30,1,31,1,2,50,1,4,2,3,22.60
Austin Ekeler,2559169,RB,LAC,DET,,,,67,1,4,48,,,,,,21.10,19,4,23,4,7,57,,6,4,4,19.50
Kenneth Walker III,2568282,RB,SEA,WAS,,,,63,,1,64,1,,,,,29.20,19,1,20,1,2,50,,4,1,5,19.20
Javonte Williams,2566049,RB,DEN,@BUF,,,,79,,4,31,1,,,,,27.60,21,4,25,4,4,100,1,5,2,6,19.00
Jaylen Warren,2568493,RB,PIT,GB,,,,101,1,2,9,,,,,,35.10,15,2,17,2,4,50,1,2,,7,18.00
David Montgomery,2562502,RB,DET,@LAC,,,,116,1,,,,,,,,42.30,12,,12,,,,,4,2,8,17.60
Christian McCaffrey,2557997,RB,SF,@JAX,,,,95,,6,47,,,,,,31.20,16,6,22,6,10,60,3,4,5,9,17.20
Najee Harris,2566448,RB,PIT,GB,,,,82,1,3,14,,,,,,35.10,16,3,19,3,4,75,,2,1,10,17.10
Bijan Robinson,2569558,RB,ATL,@ARI,,,,95,1,1,11,,,,,,26.50,22,1,23,1,2,50,,4,2,11,17.10
Rachaad White,2568315,RB,TB,TEN,,,,51,,2,47,1,,,,,18.60,20,2,22,2,3,67,1,1,2,12,16.80
D'Onta Foreman,2557994,RB,CHI,CAR,,,,80,1,2,12,,,,,,21.90,21,2,23,2,2,100,,2,1,13,16.20
Alvin Kamara,2558019,RB,NO,@MIN,,,,42,,7,33,,,,2,,16.50,9,7,16,7,7,100,,,,14,15.00
Rico Dowdle,2565295,RB,DAL,NYG,,,,79,1,,,,,,,,21.40,12,,12,,,,,2,1,15,14.50
Antonio Gibson,2565276,RB,WAS,@SEA,,,,13,,5,42,1,,,,,39.50,4,5,9,5,6,83,1,1,,16,14.00
Jonathan Taylor,2564148,RB,IND,@NE,,,,69,1,1,6,,,,,,14.20,23,1,24,1,1,100,,4,2,17,14.00
Latavius Murray,2541161,RB,BUF,DEN,,,,68,1,2,1,,,,,,25.60,9,2,11,2,3,67,,2,1,18,13.90
Keaton Mitchell,2570428,RB,BAL,CLE,,,,34,1,1,32,,,,,,23.10,3,1,4,1,2,50,1,,,19,13.10
Rhamondre Stevenson,2566343,RB,NE,IND,,,,88,,3,14,,,,,,23.00,20,3,23,3,5,60,1,3,,20,11.70
James Cook,2567328,RB,BUF,DEN,,,,109,,2,11,,,,,2,25.60,12,2,14,2,2,100,,2,1,21,11.50
Joe Mixon,2557976,RB,CIN,HOU,,,,46,1,2,-1,,,,,,13.70,11,2,13,2,3,67,,1,1,22,11.50
Jerome Ford,2567469,RB,CLE,@BAL,,,,107,,1,2,,,,,,20.60,17,1,18,1,1,100,,1,1,23,11.40
Ty Chandler,2567907,RB,MIN,NO,,,,45,1,,,,,,,,15.20,15,,15,,,,,1,1,24,10.50
Ezekiel Elliott,2555224,RB,NE,IND,,,,54,,2,34,,,,,,23.00,13,2,15,2,2,100,,4,2,25,9.80
Josh Jacobs,2562377,RB,LV,NYJ,,,,116,,2,11,,,,,2,14.10,27,2,29,2,2,100,,2,,26,9.70
Kyle Juszczyk,2540230,RB,SF,@JAX,,,,,,2,26,1,,,,,31.20,,2,2,2,3,67,,,,27,9.60
Gus Edwards,2561324,RB,BAL,CLE,,,,24,1,1,4,,,,,,23.10,11,1,12,1,1,100,,3,2,28,9.30
Kareem Hunt,2557917,RB,CLE,@BAL,,,,32,1,,,,,,,,20.60,10,,10,,,,,2,,29,9.20
Breece Hall,2568030,RB,NYJ,@LV,,,,28,,3,47,,,,,,11.60,13,3,16,3,3,100,,2,2,30,9.00
AJ Dillon,2563986,RB,GB,@PIT,,,,70,,1,11,,,,,,16.97,9,1,10,1,3,33,,2,,31,8.60
Aaron Jones,2558116,RB,GB,@PIT,,,,35,,4,19,,,,,,16.97,13,4,17,4,6,67,1,4,,32,8.37
Zach Charbonnet,2570335,RB,SEA,WAS,,,,44,,4,18,,,,,,29.20,6,4,10,4,5,80,,,,33,8.20
Tyjae Spears,2569795,RB,TEN,@TB,,,,18,,4,42,,,,,,10.50,5,4,9,4,5,80,,,,34,8.00
James Conner,2557978,RB,ARI,ATL,,,,73,,,,,,,,,8.80,16,,16,,,,,2,2,35,7.30
Travis Etienne,2566157,RB,JAX,SF,,,,35,,2,9,,,,,,12.40,9,2,11,2,4,50,,1,,36,6.90
Saquon Barkley,2560968,RB,NYG,@DAL,,,,66,,1,-5,,,,,,9.70,13,1,14,1,3,33,1,4,,37,6.60
