PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Cameron Jordan,2495184,DL,NO,CAR,6,2,3.5,3,,,,,,,,,,,3,,,6.09,1,24.80,18.71
Jadeveon Clowney,2543456,DL,CLE,@PIT,4,2,2,1,,1,,,,,,,,,2,,,4.50,2,18.40,13.9
Josh Sweat,2560889,DL,PHI,@WAS,3,2,1.5,1,,,,,,,,,,2,2,,,3.79,3,17.20,13.41
Cameron Heyward,2508109,DL,PIT,CLE,4,,1,1,,,,,,,,,,2,2,,,7.48,4,16.30,8.82
Chris Jones,2556369,DL,KC,@CIN,4,,2,2,,,,,,,,,,,3,,,3.88,5,15.30,11.42
Christian Wilkins,2562782,DL,MIA,@TEN,6,4,,1,,,,,,,,,,,,,,6.35,6,14.90,8.55
Angelo Blackson,2552670,DL,CHI,NYG,3,,1,2,,,,,,,1,,,,1,,,3.26,7,14.60,11.34
Darius Philon,2552676,DL,LV,@IND,6,2,,,,,,,,,,,,1,,,,,8,14.30,
Dorance Armstrong,2560959,DL,DAL,ARI,3,2,1,1,,,,,,,,,,1,2,,,3.64,9,13.70,10.06
DeForest Buckner,2555275,DL,IND,LV,4,4,0.5,1,,,,,,,,,,,2,,,5.87,10,13.50,7.63
Aaron Donald,2543485,DL,LA,@BAL,3,2,0.5,1,,1,,,,,,,,,1,,,7.33,11,13.20,5.87
Greg Rousseau,2565875,DL,BUF,ATL,3,,1,1,,1,,,,,,,,,1,,,4.48,12,12.60,8.12
A'Shawn Robinson,2555265,DL,LA,@BAL,4,2,1,1,,,,,,,,,,,1,,,4.37,13,12.40,8.03
Jonathan Harris,2562945,DL,DEN,@LAC,5,3,,,,,,,,,,,,,1,,,4.16,14,11.40,7.24
Arik Armstead,2552493,DL,SF,HOU,3,5,0.5,,,,,,,,,,,,1,,,5.25,15,10.60,5.35
Derrick Brown,2563629,DL,CAR,@NO,3,,1,2,,,,,,,,,,,1,,,5.35,16,10.60,5.25
