PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Chuck Clark,2558248,DB,BAL,LA,4,3,,,2,,,1,,,,,,3,,17,,8.33,1,28.27,19.94
D.J. Reed,2560850,DB,SEA,DET,7,1,,,2,,,,,,,,,3,,9,,8.47,2,27.50,19.03
A.J. Terrell,2563527,DB,ATL,@BUF,6,1,1,1,1,,,,,,,,,1,1,7,,9.30,3,21.23,11.93
Desmond King,2557927,DB,HOU,@SF,6,2,,,1,,,,,,,,,2,,,,9.80,4,20.30,10.5
Marcell Harris,2561006,DB,SF,HOU,6,4,,,1,,,,,,,,,1,,2,,6.63,5,19.47,12.84
Bryce Hall,2564796,DB,NYJ,TB,7,2,,,,,,,,,,,,2,,,,9.03,6,18.50,9.47
Divine Deablo,2566253,DB,LV,@IND,8,1,,1,,,,,,,,,,1,,,,1.49,7,18.40,16.91
Greg Newsome II,2565980,DB,CLE,@PIT,7,1,,,,,,,,,,,,2,,,,7.37,8,17.70,10.33
Tracy Walker III,2560913,DB,DET,@SEA,9,3,,,,,,,,,,,,,,,,10.40,9,17.70,7.3
Chris Claybrooks,2564169,DB,JAX,@NE,6,3,,,,,,,,,,,,2,,,,1.06,10,17.60,16.54
Chidobe Awuzie,2557840,DB,CIN,KC,10,,,,,,,,,,,,,,,,,8.84,11,17.00,8.16
Carlton Davis,2561039,DB,TB,@NYJ,7,1,,1,,,,,,,,,,1,,,,9.10,12,16.70,7.6
Jevon Holland,2566283,DB,MIA,@TEN,7,1,,1,,,,,,,,,,1,,,,3.89,13,16.70,12.81
Grant Delpit,2563773,DB,CLE,@PIT,7,4,,1,,,,,,,,,,,,,,10.08,14,16.60,6.52
Michael Carter II,2565717,DB,NYJ,TB,6,2,1,1,,,,,,,,,,,1,,,8.02,15,15.80,7.78
Duron Harmon,2541243,DB,ATL,@BUF,3,2,,,1,,,,,,,,,2,,,,7.46,16,15.20,7.74
Jordan Fuller,2564340,DB,LA,@BAL,3,3,,,1,,,,,,,,,1,,34,,,17,14.63,
Rashad Fenton,2562649,DB,KC,@CIN,7,,,,,,,,,,,,,1,,,,4.45,18,14.40,9.95
Byron Murphy,2562318,DB,ARI,@DAL,7,,,,,,,,,,,,,1,,,,8.21,19,14.40,6.19
J.C. Jackson,2560754,DB,NE,JAX,4,,,1,1,,,,,,,,,1,,,,8.21,20,14.30,6.09
Eric Murray,2555173,DB,HOU,@SF,6,2,,,,,,,,,,,,1,,,,9.96,21,14.30,4.34
Charvarius Ward,2561417,DB,KC,@CIN,6,2,,,,,,,,,,,,1,,,,9.90,22,14.30,4.4
M.J. Stewart,2560884,DB,CLE,@PIT,4,3,,,,,,,,,,,,2,,,,10.74,23,14.20,3.46
Budda Baker,2558009,DB,ARI,@DAL,3,,1,1,,,,,,,,,,2,1,,,9.91,24,14.10,4.19
Terrance Mitchell,2543637,DB,HOU,@SF,5,2,,1,,,,,,,,,,1,,,,0.93,25,14.10,13.17
Brandin Echols,2565726,DB,NYJ,TB,4,,,,1,,,,,,,,,1,,30,,10.08,26,13.80,3.72
Tavon Young,2555378,DB,BAL,LA,7,2,,,,,,,,,,,,,,,,5.56,27,13.50,7.94
Kamren Curl,2565270,DB,WAS,PHI,6,4,,,,,,,,,,,,,,,,10.27,28,13.40,3.13
Pat Surtain II,2566043,DB,DEN,@LAC,4,2,,,,,,,,,,,,2,,,,,29,13.40,
Chauncey Gardner-Johnson,2562588,DB,NO,CAR,1,,1,1,1,,,,,,,,,1,2,18,,8.95,30,12.80,3.85
Kareem Jackson,496735,DB,DEN,@LAC,7,1,,,,,,,,,,,,,,,,,31,12.70,
Rodney McLeod,2534832,DB,PHI,@WAS,3,2,,,1,,,,,,,,,1,,,,6.45,32,12.70,6.25
Roderic Teamer,2562981,DB,LV,@IND,7,1,,,,,,,,,,,,,,,,2.38,33,12.70,10.32
Antoine Winfield Jr.,2565261,DB,TB,@NYJ,7,1,,,,,,,,,,,,,,,,10.19,34,12.70,2.51
Xavier Woods,2558159,DB,MIN,@GB,7,1,,,,,,,,,,,,,,,,9.60,35,12.70,3.1
Paulson Adebo,2566346,DB,NO,CAR,5,,,1,,,,,,,,,,1,,,,6.37,36,12.50,6.13
Kendall Fuller,2555349,DB,WAS,PHI,5,,,1,,,,,,,,,,1,,,,9.40,37,12.50,3.1
Eddie Jackson,2558176,DB,CHI,NYG,5,3,,1,,,,,,,,,,,,,,9.81,38,12.40,2.59
Justin Reid,2560851,DB,HOU,@SF,5,1,,2,,,,,,,,,,,,,,8.41,39,12.30,3.89
Isaiah Rodgers,2564142,DB,IND,LV,3,1,,,1,,,,,,,,,1,,12,,6.01,40,12.30,6.29
Myles Bryant,2564592,DB,NE,JAX,3,,,,1,,,,,,,,,1,,33,,3.61,41,12.20,8.59
Darious Williams,2561469,DB,LA,@BAL,4,2,,,,,1,,,,,,,1,,,,9.95,42,11.90,1.95
Andre Cisco,2566154,DB,JAX,@NE,5,1,,,,,,,,,,,,1,,,,6.99,43,11.80,4.81
Myles Hartsfield,2563644,DB,CAR,@NO,5,1,,,,,,,,,,,,1,,,,3.15,44,11.80,8.65
Jayron Kearse,2555156,DB,DAL,ARI,5,1,,,,,,,,,,,,1,,,,9.80,45,11.80,2.0
Rock Ya-Sin,2562614,DB,IND,LV,4,,,,,,,,,,,,,2,,,,5.31,46,11.80,6.49
Shawn Williams,2539233,DB,ATL,@BUF,5,4,,,,,,,,,,,,,,,,8.12,47,11.70,3.58
