PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Noah Fant,2562383,TE,DEN,@LAC,,,,,,6,92,1,,,,,7.79,1,18.20,10.41
Rob Gronkowski,497240,TE,TB,@NYJ,,,,,,7,115,,,,,,7.80,2,15.00,7.2
Mark Andrews,2560957,TE,BAL,LA,,,,,,6,89,,,,,,12.29,3,11.90,-0.39
Travis Kelce,2540258,TE,KC,@CIN,,,,-1,,5,25,1,,,,,11.53,4,10.90,-0.63
David Njoku,2557986,TE,CLE,@PIT,,,,,,4,28,1,,,,,2.80,5,10.80,8.0
Dallas Goedert,2560995,TE,PHI,@WAS,,,,,,6,71,,,,,,10.06,6,10.10,0.04
Anthony Firkser,2558942,TE,TEN,MIA,,,,,,3,24,1,,,,,2.57,7,9.90,7.33
Tyler Higbee,2555364,TE,LA,@BAL,,,,,,6,69,,,,,,6.25,8,9.90,3.65
Mike Gesicki,2560994,TE,MIA,@TEN,,,,,,4,51,,,,,,6.72,9,8.80,2.08
Dalton Schultz,2560866,TE,DAL,ARI,,,,,,6,54,,,,,,7.42,10,8.40,0.98
Geoff Swaim,2553454,TE,TEN,MIA,,,,,,3,9,1,,,,,3.22,11,8.40,5.18
Kyle Pitts,2565830,TE,ATL,@BUF,,,,,,2,69,,,,,,11.14,12,7.90,-3.24
Zach Ertz,2540158,TE,ARI,@DAL,,,,,,7,41,,,,,,9.18,13,7.60,-1.58
Cameron Brate,2550656,TE,TB,@NYJ,,,,,,2,5,1,,,,,2.89,14,7.50,4.61
Tyler Conklin,2561027,TE,MIN,@GB,,,,,,5,47,,,,,,5.16,15,7.20,2.04
Harrison Bryant,2563767,TE,CLE,@PIT,,,,,,1,1,1,,,,,1.79,16,6.60,4.81
Pat Freiermuth,2566442,TE,PIT,CLE,,,,,,5,22,,,,,,6.98,17,6.40,-0.58
Austin Hooper,2555415,TE,CLE,@PIT,,,,,,2,28,,,,,,5.45,18,5.50,0.05
Blake Bell,2552478,TE,KC,@CIN,,,,2,,3,35,,,,,,1.07,19,5.20,4.13
