PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Elijah Moore,2566385,WR,NYJ,@IND,,,,,,7,84,2,,,,,50.50,,7,7,7,8,88,2,2,,1,23.90
DeVonta Smith,2566409,WR,PHI,LAC,,,,,,5,116,1,,,,,19.90,,5,5,5,6,83,1,,1,2,20.10
Olamide Zaccheaus,2562808,WR,ATL,@NO,,,,,,3,58,2,,,,,34.30,,3,3,3,3,100,2,2,2,3,19.30
Darnell Mooney,2563707,WR,CHI,@PIT,,,,15,1,3,41,1,,,,,31.40,1,3,4,3,6,50,1,2,,4,19.10
Malik Turner,2561671,WR,DAL,DEN,,,,,,5,33,2,,,,,27.60,,5,5,5,7,71,4,3,3,5,17.80
Tim Patrick,2558985,WR,DEN,@DAL,,,,,,4,85,1,,,,,34.30,,4,4,4,5,80,,,,6,16.50
Keenan Allen,2540154,WR,LAC,@PHI,,,,,,12,104,,,,,,29.70,,12,12,12,13,92,2,2,1,7,16.40
Marquise Brown,2562379,WR,BAL,MIN,,,,,,9,116,,,,,,31.60,,9,9,9,12,75,1,1,1,8,16.10
Brandon Aiyuk,2565093,WR,SF,ARI,,,,-2,,6,89,1,,,,1,27.20,1,6,7,6,8,75,1,1,1,9,15.70
Donovan Peoples-Jones,2563803,WR,CLE,@CIN,,,,,,2,86,1,,,,,18.00,,2,2,2,3,67,,,,10,15.60
Justin Jefferson,2564556,WR,MIN,@BAL,,,,11,,3,69,1,,,,,25.60,1,3,4,3,5,60,3,2,,11,15.50
Cooper Kupp,2557898,WR,LA,TEN,,,,,,11,95,,,,,,34.50,,11,11,11,13,85,2,1,,12,15.00
Jaylen Waddle,2566292,WR,MIA,HOU,,,,,,8,83,,,,,,27.10,,8,8,8,10,80,,,,13,14.00
Robert Woods,2540169,WR,LA,TEN,,,,6,,7,98,,,,,,34.50,1,7,8,7,10,70,2,1,,14,13.90
