PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Spencer Shrader,2573175,K,IND,MIA,2.07,0.12,,0.31,0.57,0.57,0.19,,,,7.39,23,1,16.00,8.61
Ka'imi Fairbairn,2556521,K,HOU,@LAR,2.1,0.11,,0.4,0.51,0.45,0.34,,,0.06,7.83,19,2,15.50,7.67
Cam Little,2572147,K,JAX,CAR,2.51,0.13,,0.48,0.54,0.48,0.34,,,0.07,8.59,10,3,15.00,6.41
Joey Slye,2563132,K,TEN,@DEN,1.63,0.11,,0.33,0.39,0.39,0.28,,,0.06,6.25,30,4,15.00,8.75
Chris Boswell,2550545,K,PIT,@NYJ,2.14,0.06,,0.44,0.57,0.5,0.38,,,,8.76,7,5,14.00,5.24
Matt Prater,2506677,K,BUF,BAL,1.96,0.24,,0.24,0.73,0.49,0.24,,,,7.31,24,6,12.00,4.69
Tyler Loop,2573940,K,BAL,@BUF,2.83,0.19,,0.31,0.5,0.57,0.25,,,0.06,8.03,17,7,11.50,3.47
Brandon Aubrey,2571750,K,DAL,@PHI,2.24,0.07,,0.41,0.48,0.53,0.53,,,0.06,9.35,1,8,11.00,1.65
Daniel Carlson,2560993,K,LV,@NE,2.1,0.07,,0.43,0.43,0.49,0.43,,,,8.46,12,9,11.00,2.54
Nick Folk,2507225,K,NYJ,PIT,1.78,0.05,,0.32,0.49,0.43,0.16,,,0.05,6.09,31,10,10.00,3.91
Chad Ryland,2570125,K,ARI,@NO,2.18,0.13,,0.39,0.51,0.51,0.32,,,0.06,7.94,18,11,10.00,2.06
Younghoe Koo,2559205,K,ATL,TB,2.09,0.13,,0.38,0.51,0.51,0.38,,,0.06,8.12,15,12,9.50,1.38
Cameron Dicker,2568435,K,LAC,KC,2.39,0.12,0.07,0.36,0.56,0.56,0.37,,,,9.03,2,13,9.00,-0.03
Brandon McManus,2541556,K,GB,DET,2.37,0.13,,0.46,0.52,0.52,0.33,,,,8.52,11,14,9.00,0.48
Jake Bates,2571759,K,DET,@GB,2.99,0.13,,0.32,0.51,0.51,0.38,,,0.06,8.84,5,15,8.50,-0.34
Harrison Butker,2558245,K,KC,@LAC,2.74,0.13,0.07,0.37,0.51,0.44,0.38,,,,8.73,8,16,8.00,-0.73
Jake Elliott,2558172,K,PHI,DAL,2.94,0.14,,0.47,0.53,0.53,0.27,,,0.07,8.79,6,17,8.00,-0.79
Graham Gano,71309,K,NYG,@WAS,1.71,0.12,,0.36,0.47,0.41,0.23,,,0.06,6.45,29,18,8.00,1.55
Wil Lutz,2556601,K,DEN,TEN,2.32,0.13,,0.46,0.51,0.46,0.39,,,0.06,8.44,13,19,8.00,-0.44
Jason Myers,2553112,K,SEA,SF,2.1,0.13,,0.45,0.51,0.51,0.25,,,0.06,7.40,21,20,8.00,0.6
Andy Borregales,2574365,K,NE,LV,1.99,0.11,,0.34,0.45,0.45,0.17,,,0.06,6.51,28,21,7.00,0.49
Blake Grupe,2571234,K,NO,ARI,1.79,0.11,,0.34,0.46,0.4,0.29,,,,6.79,27,22,6.00,-0.79
Ryan Fitzgerald,2573979,K,CAR,@JAX,1.96,0.06,,0.37,0.55,0.49,0.18,,,0.06,7.22,25,23,5.00,-2.22
Evan McPherson,2565953,K,CIN,@CLE,2.79,0.13,,0.39,0.52,0.52,0.32,,,0.06,8.62,9,24,5.00,-3.62
Matt Gay,2562271,K,WAS,NYG,2.91,0.13,,0.47,0.53,0.47,0.33,,,0.07,8.85,4,25,3.00,-5.85
Joshua Karty,2572201,K,LAR,HOU,2.18,0.13,,0.44,0.51,0.51,0.32,,,0.06,8.09,16,26,2.00,-6.09
Chase McLaughlin,2563203,K,TB,@ATL,2.63,0.13,,0.38,0.5,0.5,0.38,,,,8.97,3,27,2.00,-6.97
Jake Moody,2570308,K,SF,@SEA,2.46,0.11,,0.28,0.5,0.45,0.22,,,0.06,7.20,26,28,2.00,-5.2
Andre Szmyt,2570470,K,CLE,CIN,,,,,,,,,,,0.00,51,29,1.00,1.0
Tyler Bass,2563596,K,BUF,BAL,,,,,,,,,,,0.00,32,30,0.00,0.0
Anders Carlson,2569750,K,FA,Bye,,,,,,,,,,,,33,31,0.00,
Ryan Coe,2574584,K,FA,Bye,,,,,,,,,,,,34,32,0.00,
Caden Davis,2574436,K,FA,Bye,,,,,,,,,,,,35,33,0.00,
