PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Jake Bates,2571759,K,DET,@DAL,2.84,0.18,,0.36,0.48,0.48,0.18,,,0.06,7.58,10,1,20.50,12.92
Chris Boswell,2550545,K,PIT,@LV,1.96,0.11,,0.39,0.5,0.45,0.22,,,,7.20,18,2,17.00,9.8
Austin Seibert,2562729,K,WAS,@BAL,1.87,0.06,,0.19,0.56,0.5,0.12,,,0.06,6.48,26,3,15.00,8.52
Matthew Wright,2562968,K,SF,@SEA,2.53,0.19,0.01,0.3,0.31,0.57,0.28,,,,7.50,11,4,14.50,7.0
Justin Tucker,2536340,K,BAL,WAS,3.16,0.07,,0.53,0.59,0.59,0.33,,,,10.32,2,5,13.00,2.68
Brandon Aubrey,2571750,K,DAL,DET,2.91,0.12,,0.55,0.55,0.42,0.3,,,0.06,8.97,5,6,12.00,3.03
Cameron Dicker,2568435,K,LAC,@DEN,2.2,0.11,,0.38,0.49,0.49,0.22,,,0.05,7.49,12,7,12.00,4.51
Ka'imi Fairbairn,2556521,K,HOU,@NE,2.84,0.12,,0.42,0.54,0.42,0.24,,,0.06,8.18,7,8,12.00,3.82
Dustin Hopkins,2539227,K,CLE,@PHI,2.24,0.11,,0.38,0.49,0.44,0.22,,,0.05,7.33,15,9,12.00,4.67
Younghoe Koo,2559205,K,ATL,@CAR,2.46,0.06,,0.5,0.57,0.44,0.38,,,,9.15,3,10,12.00,2.85
Brayden Narveson,2573470,K,FA,Bye,2.72,0.12,,0.43,0.5,0.43,0.25,,,0.06,,8,11,11.00,
Jake Elliott,2558172,K,PHI,CLE,2.58,0.13,,0.44,0.5,0.5,0.25,,,0.06,8.20,6,12,10.00,1.8
Blake Grupe,2571234,K,NO,TB,2.13,0.11,,0.39,0.5,0.39,0.22,,,0.06,7.07,20,13,10.00,2.93
Chase McLaughlin,2563203,K,TB,@NO,1.99,0.11,,0.4,0.51,0.4,0.28,,,0.06,7.33,16,14,9.00,1.67
Eddy Pineiro,2560842,K,CAR,ATL,1.91,0.11,,0.34,0.45,0.34,0.22,,,,6.41,28,15,9.00,2.59
Matt Gay,2562271,K,IND,@TEN,1.98,0.11,,0.4,0.51,0.4,0.28,,,0.06,7.32,17,16,8.00,0.68
Chad Ryland,2570125,K,ARI,@GB,1.8,-1.8,,0.36,0.47,0.41,0.21,,,,12.38,1,17,8.00,-4.38
Greg Zuerlein,2534797,K,NYJ,BUF,2.12,0.25,,0.38,0.48,0.42,0.26,,,0.06,6.87,22,18,7.00,0.13
Nick Folk,2507225,K,TEN,IND,1.85,0.11,,0.45,0.5,0.45,0.17,,,0.06,6.96,21,19,6.00,-0.96
Jason Myers,2553112,K,SEA,SF,2.16,0.11,,0.4,0.51,0.45,0.17,,,0.06,7.15,19,20,6.00,-1.15
