PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Josh Allen,2560955,QB,BUF,PIT,424,4,1,42,,,,,,,,,24.32,1,35.16,10.84
Patrick Mahomes,2558125,QB,KC,LV,292,4,,28,,,,,,,,,24.07,2,30.48,6.41
Jalen Hurts,2564832,QB,PHI,@ARI,239,,,61,2,,,,,,,,21.04,3,27.66,6.62
Geno Smith,2539335,QB,SEA,@NO,268,3,,13,,,,,,,,,14.51,4,24.02,9.51
Kirk Cousins,2532820,QB,MIN,CHI,296,1,1,4,1,,,,,,1,,17.07,5,22.24,5.17
Tom Brady,2504211,QB,TB,ATL,351,1,,-3,,,,,,,1,,20.74,6,19.74,-1.0
Carson Wentz,2555259,QB,WAS,TEN,359,2,1,15,,,,,,,,3,17.13,7,18.79,1.66
Derek Carr,2543499,QB,LV,@KC,241,2,,3,,,,,,,,,18.77,8,17.94,-0.83
Joe Burrow,2563722,QB,CIN,@BAL,217,1,1,6,1,,,,,,,,20.41,9,17.28,-3.13
Marcus Mariota,2552466,QB,ATL,@TB,147,1,,61,,,,,,,1,1,17.24,10,16.98,-0.26
Kyler Murray,2562382,QB,ARI,PHI,250,1,1,42,,,,,,,,,18.77,11,16.20,-2.57
Jimmy Garoppolo,2543801,QB,SF,@CAR,253,2,,-1,,,,,,,,1,15.68,12,16.02,0.34
Jacoby Brissett,2555261,QB,CLE,LAC,230,1,1,32,,,,,,,,,15.98,13,15.20,-0.78
Aaron Rodgers,2506363,QB,GB,NYG,222,2,,,,,,,,,,1,18.82,14,14.88,-3.94
Lamar Jackson,2560757,QB,BAL,CIN,174,1,1,58,,,,,,,,,22.79,15,14.76,-8.03
Zach Wilson,2566391,QB,NYJ,MIA,210,,,2,1,,,,,,,,14.21,16,14.60,0.39
Justin Herbert,2565045,QB,LAC,@CLE,228,1,,13,,,,,,,,,19.75,17,14.42,-5.33
Justin Fields,2565920,QB,CHI,@MIN,208,1,,47,,,,,,,,2,14.99,18,13.99,-1.0
Daniel Jones,2562299,QB,NYG,@GB,217,,,37,,,,,,,,,15.46,19,12.38,-3.08
Kenny Pickett,2568162,QB,PIT,@BUF,327,,1,10,,,,,,,,,15.65,20,12.08,-3.57
Trevor Lawrence,2566163,QB,JAX,HOU,286,,2,29,,,,,,,,,16.31,21,12.04,-4.27
Ryan Tannehill,2532956,QB,TEN,@WAS,181,1,,3,,,,,,,,,16.57,22,11.54,-5.03
Matthew Stafford,79860,QB,LA,DAL,308,1,1,,,,,,,,,2,16.87,23,10.32,-6.55
Andy Dalton,2495143,QB,NO,SEA,187,1,1,4,,,,,,,,,16.77,24,9.88,-6.89
Russell Wilson,2532975,QB,DEN,IND,274,,2,22,,,,,,,,1,16.58,25,8.16,-8.42
Bailey Zappe,2567961,QB,NE,DET,188,1,1,5,,,,,,,,1,13.78,26,7.89,-5.89
Baker Mayfield,2560800,QB,LA,DAL,215,,1,,,,,,,,,,13.16,27,6.60,-6.56
Jared Goff,2555334,QB,DET,@NE,229,,1,7,,,,,,,,1,16.77,28,5.86,-10.91
Davis Mills,2566136,QB,HOU,@JAX,140,,,2,,,,,,,,,12.96,29,5.80,-7.16
Matt Ryan,310,QB,IND,@DEN,251,,2,1,,,,,,,,2,14.63,30,3.14,-11.49
Skylar Thompson,2567895,QB,MIA,@NYJ,166,,1,,,,,,,,,1,2.28,31,2.64,0.36
PJ Walker,2558904,QB,CAR,SF,60,,,,,,,,,,,,0.90,32,2.40,1.5
Cooper Rush,2559242,QB,DAL,@LA,102,,,-1,,,,,,,,2,15.36,33,0.98,-14.38
Case Keenum,2532888,QB,BUF,PIT,8,,,-2,,,,,,,,,0.67,34,0.12,-0.55
Brandon Allen,2555365,QB,CIN,@BAL,,,,,,,,,,,,,0.61,35,0.00,-0.61
Kyle Allen,2561177,QB,HOU,@JAX,,,,,,,,,,,,,0.54,36,0.00,-0.54
Matt Barkley,2539308,QB,BUF,PIT,,,,,,,,,,,,,0.00,37,0.00,0.0
C.J. Beathard,2557922,QB,JAX,HOU,,,,,,,,,,,,,0.70,38,0.00,-0.7
Kurt Benkert,2560974,QB,FA,Bye,,,,,,,,,,,,,,39,0.00,
David Blough,2563043,QB,ARI,PHI,,,,,,,,,,,,,0.00,40,0.00,0.0
Ian Book,2566352,QB,PHI,@ARI,,,,,,,,,,,,,0.00,41,0.00,0.0
Tim Boyle,2561187,QB,CHI,@MIN,,,,,,,,,,,,,0.00,42,0.00,0.0
Teddy Bridgewater,2543465,QB,MIA,@NYJ,,,,,,,,,,,,,15.64,43,0.00,-15.64
Jake Browning,2562634,QB,CIN,@BAL,,,,,,,,,,,,,0.00,44,0.00,0.0
Shane Buechele,2566983,QB,KC,LV,,,,,,,,,,,,,0.00,45,0.00,0.0
Matt Corral,2567349,QB,CAR,SF,,,,,,,,,,,,,0.00,46,0.00,0.0
Chase Daniel,81284,QB,LAC,@CLE,,,,,,,,,,,,,0.41,47,0.00,-0.41
Sam Darnold,2561036,QB,CAR,SF,,,,,,,,,,,,,0.00,48,0.00,0.0
Ben DiNucci,2563839,QB,FA,Bye,,,,,,,,,,,,,,49,0.00,
Joshua Dobbs,2558167,QB,DET,@NE,,,,,,,,,,,,,0.68,50,0.00,-0.68
Jeff Driskel,2555262,QB,HOU,@JAX,,,,,,,,,,,,,0.00,51,0.00,0.0
Jacob Eason,2564115,QB,SF,@CAR,,,,,,,,,,,,,0.00,52,0.00,0.0
Sam Ehlinger,2566142,QB,IND,@DEN,,,,,,,,,,,,,0.00,53,0.00,0.0
Danny Etling,2560717,QB,GB,NYG,,,,,,,,,,,,,0.00,54,0.00,0.0
Joe Flacco,382,QB,NYJ,MIA,,,,,,,,,,,,,0.49,55,0.00,-0.49
Nick Foles,2532842,QB,IND,@DEN,,,,,,,,,,,,,0.39,56,0.00,-0.39
Feleipe Franks,2566683,QB,ATL,@TB,,,,,,,,,,,,,0.89,57,0.00,-0.89
Jake Fromm,2563608,QB,WAS,TEN,,,,,,,,,,,,,0.00,58,0.00,0.0
Blaine Gabbert,2495441,QB,TB,ATL,,,,,,,,,,,,,0.91,59,0.00,-0.91
Garrett Gilbert,2549982,QB,NE,DET,,,,,,,,,,,,,1.08,60,0.00,-1.08
Anthony Gordon,2565153,QB,FA,Bye,,,,,,,,,,,,,,61,0.00,
Will Grier,2562404,QB,DAL,@LA,,,,,,,,,,,,,0.51,62,0.00,-0.51
Ryan Griffin,2541185,QB,TB,ATL,,,,,,,,,,,,,0.00,63,0.00,0.0
Taylor Heinicke,2553656,QB,WAS,TEN,,,,,,,,,,,,,0.80,64,0.00,-0.8
Chad Henne,252,QB,KC,LV,,,,,,,,,,,,,0.50,65,0.00,-0.5
Kevin Hogan,2555263,QB,TEN,@WAS,,,,,,,,,,,,,0.00,66,0.00,0.0
Sam Howell,2568333,QB,WAS,TEN,,,,,,,,,,,,,0.00,67,0.00,0.0
Brian Hoyer,81294,QB,NE,DET,,,,,,,,,,,,,0.00,68,0.00,0.0
Tyler Huntley,2563560,QB,BAL,CIN,,,,,,,,,,,,,0.50,69,0.00,-0.5
Josh Johnson,264,QB,SF,@CAR,,,,,,,,,,,,,0.00,70,0.00,0.0
Mac Jones,2566334,QB,NE,DET,,,,,,,,,,,,,0.00,71,0.00,0.0
Colin Kaepernick,2495186,QB,FA,Bye,,,,,,,,,,,,,,72,0.00,
Cole Kelley,2568336,QB,FA,Bye,,,,,,,,,,,,,,73,0.00,
Trey Lance,2566532,QB,SF,@CAR,,,,,,,,,,,,,0.00,74,0.00,0.0
Brian Lewerke,2564619,QB,FA,Bye,,,,,,,,,,,,,,75,0.00,
Levi Lewis,2568252,QB,FA,Bye,,,,,,,,,,,,,,76,0.00,
Drew Lock,2562305,QB,SEA,@NO,,,,,,,,,,,,,0.44,77,0.00,-0.44
Jordan Love,2564007,QB,GB,NYG,,,,,,,,,,,,,0.77,78,0.00,-0.77
