PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
DeShon Elliott,2560715,DB,DET,@NE,10,2,,3,1,,,,,,,,,1,,,,3.61,1,29.10,25.49
C.J. Gardner-Johnson,2562588,DB,PHI,@ARI,10,,,1,1,,,,,,,,,1,,,,9.14,2,24.50,15.36
Antoine Winfield Jr.,2565261,DB,TB,ATL,7,1,1,2,,1,,,,,,,,1,1,,,11.23,3,24.20,12.97
Jaylon Jones,2567406,DB,CHI,@MIN,10,4,,,,1,,,,,,,,,,,,3.07,4,23.70,20.63
Byron Murphy,2562318,DB,ARI,PHI,7,2,0.5,3,,,,,,,,,,1,1,,,8.29,5,22.00,13.71
Desmond King,2557927,DB,HOU,@JAX,4,2,,,1,,,,,,,,,3,,29,,8.87,6,20.37,11.5
Kaiir Elam,2567331,DB,BUF,PIT,7,3,,,1,,,,,,,,,1,,,,9.35,7,20.30,10.95
Derek Stingley Jr.,2567694,DB,HOU,@JAX,6,1,,,1,,,,,,,,,2,,9,,9.24,8,19.80,10.56
Denzel Ward,2560916,DB,CLE,LAC,9,2,,,,,,,,,,,,1,,,,7.74,9,19.40,11.66
Derwin James,2560760,DB,LAC,@CLE,9,5,,,,,,,,,,,,,,,,11.50,10,19.30,7.8
Caden Sterns,2566040,DB,DEN,IND,1,2,,,2,,,,,,,,,3,,25,,9.21,11,18.63,9.42
Emmanuel Moseley,2561072,DB,SF,@CAR,2,1,,,1,,,1,,,,,,2,,41,,10.35,12,18.07,7.72
Cameron Dantzler,2564526,DB,MIN,CHI,7,,,,,1,1,,,,,,,,,,16,10.13,13,16.93,6.8
Vonn Bell,2555530,DB,CIN,@BAL,5,2,,,1,,,,,,,,,1,,,,10.46,14,16.10,5.64
Stephon Gilmore,2533062,DB,IND,@DEN,4,1,,,1,,,,,,,,,2,,,,7.23,15,16.10,8.87
Jaylinn Hawkins,2563500,DB,ATL,@TB,8,3,,,,,,,,,,,,,,,,6.92,16,16.00,9.08
Julian Love,2562414,DB,NYG,@GB,6,1,,1,,1,,,,,,,,,,,,10.85,17,16.00,5.15
Rayshawn Jenkins,2558182,DB,JAX,HOU,7,5,,,,,,,,,,,,,,,,9.02,18,15.90,6.88
Charvarius Ward,2561417,DB,SF,@CAR,3,1,,,,,,,,,,,,4,,,,10.29,19,15.90,5.61
Alohi Gilman,2565042,DB,LAC,@CLE,4,3,,,1,,,,,,,,,1,,18,,7.59,20,15.80,8.21
Brandon Jones,2564469,DB,MIA,@NYJ,5,4,1,1,,,,,,,,,,,1,,,8.75,21,15.70,6.95
Rodney Thomas,2567721,DB,IND,@DEN,2,3,,,1,,,,,,,,,2,,35,,8.62,22,15.47,6.85
Kyler Gordon,2567391,DB,CHI,@MIN,8,2,,,,,,,,,,,,,,,,9.57,23,15.20,5.63
Marcus Peters,2552488,DB,BAL,CIN,5,,1,1,,,,,,,,,,1,1,,,9.20,24,15.00,5.8
Paulson Adebo,2566346,DB,NO,SEA,6,2,,,,,,,,,,,,1,,,,9.68,25,14.30,4.62
Juston Burris,2555313,DB,CAR,SF,6,2,,,,,,,,,,,,1,,,,6.93,26,14.30,7.37
Dee Alford,2567244,DB,ATL,@TB,4,3,,,,,,,,,,,,2,,,,3.33,27,14.20,10.87
Kenny Moore II,2558976,DB,IND,@DEN,6,,,1,,,,,,,,,,1,,,,11.15,28,14.20,3.05
Marco Wilson,2566439,DB,ARI,PHI,7,1,,1,,,,,,,,,,,,,,8.00,29,14.20,6.2
Kindle Vildor,2563713,DB,CHI,@MIN,3,3,,,1,,,,,,,,,1,,18,,8.37,30,14.10,5.73
Jack Jones,2567940,DB,NE,DET,3,,,,1,,,,,,,,,2,,,,9.24,31,13.60,4.36
L'Jarius Sneed,2564304,DB,KC,LV,5,2,,,,1,,,,,,,,,,,,11.69,32,13.60,1.91
Taron Johnson,2560766,DB,BUF,PIT,5,,,1,,,1,,,,,,,1,,,,9.64,33,13.50,3.86
Darius Slay,2540288,DB,PHI,@ARI,7,2,,,,,,,,,,,,,,,,7.82,34,13.50,5.68
Marcus Epps,2562946,DB,PHI,@ARI,5,1,,1,,,,,,,,,,1,,,,9.97,35,13.30,3.33
Sauce Gardner,2568027,DB,NYJ,MIA,3,2,,,1,,,,,,,,,1,1,3,,0.00,36,13.30,13.3
Siran Neal,2560818,DB,BUF,PIT,1,1,,,,,,,,,,,,4,1,,,7.72,37,13.00,5.28
Dane Jackson,2563614,DB,BUF,PIT,6,,,,,,,,,,,,,1,,,,9.76,38,12.70,2.94
Eddie Jackson,2558176,DB,CHI,@MIN,7,1,,,,,,,,,,,,,,,,11.45,39,12.70,1.25
Pat Surtain II,2566043,DB,DEN,IND,4,3,,,,1,,,,,,,,,,,,9.21,40,12.70,3.49
Levi Wallace,2560914,DB,PIT,@BUF,2,1,,,1,,,,,,,,,2,,,,3.70,41,12.70,9.0
Terrell Burgess,2564331,DB,NYG,@GB,6,3,,,,,,,,,,,,,,,,1.02,42,12.60,11.58
Grant Delpit,2563773,DB,CLE,LAC,6,3,,,,,,,,,,,,,,,,10.61,43,12.60,1.99
Nate Hobbs,2566259,DB,LV,@KC,6,3,,,,,,,,,,,,,,,,10.58,44,12.60,2.02
Jalen Thompson,2563339,DB,ARI,PHI,4,1,,,,,,,,,,,,2,,,,12.33,45,12.60,0.27
Damar Hamlin,2565872,DB,BUF,PIT,6,1,,1,,,,,,,,,,,,,,9.11,46,12.50,3.39
Jordan Whitehead,2560930,DB,NYJ,MIA,6,1,,1,,,,,,,,,,,,,,10.59,47,12.50,1.91
Talanoa Hufanga,2566529,DB,SF,@CAR,2,3,1,1,,,,,,,,,,1,1,,,10.36,48,12.30,1.94
Kyle Dugger,2564601,DB,NE,DET,1,4,,,,,1,,1,,,,,,,,59,8.29,49,11.87,3.58
Kevin Byard,2555158,DB,TEN,@WAS,6,2,,,,,,,,,,,,,,,,10.42,50,11.80,1.38
Jalen Pitre,2567688,DB,HOU,@JAX,6,2,,,,,,,,,,,,,,,,9.71,51,11.80,2.09
Shaquill Griffin,2558259,DB,JAX,HOU,6,,,1,,,,,,,,,,,,,,7.79,52,11.70,3.91
Adoree' Jackson,2558065,DB,NYG,@GB,5,2,,1,,,,,,,,,,,,,,9.45,53,11.60,2.15
Tariq Woolen,2568288,DB,SEA,@NO,3,1,,,1,,1,,,,,,,1,,,7,9.55,54,11.13,1.58
Richie Grant,2565818,DB,ATL,@TB,6,1,,,,,,,,,,,,,,,,10.54,55,11.00,0.46
J.C. Jackson,2560754,DB,LAC,@CLE,4,2,,,,,,,,,,,,1,,,,9.43,56,10.90,1.47
Trevon Diggs,2563836,DB,DAL,@LA,6,,,,,,,,,,,,,,,,,8.19,57,10.20,2.01
Damarri Mathis,2567529,DB,DEN,IND,6,,,,,,,,,,,,,,,,,1.95,58,10.20,8.25
Quandre Diggs,2552262,DB,SEA,@NO,4,4,,,,,,,,,,,,,,,,9.27,59,10.00,0.73
Deommodore Lenoir,2566535,DB,SF,@CAR,4,4,,,,,,,,,,,,,,,,3.24,60,10.00,6.76
Demetrius Flannigan-Fowles,2563090,DB,SF,@CAR,3,1,1,1,,,,,,,,,,,1,,,0.66,61,9.90,9.24
Ryan Neal,2561381,DB,SEA,@NO,2,5,,,,,,,,,,,,1,,,,8.06,62,9.90,1.84
Jalen Ramsey,2555280,DB,LA,DAL,2,,1,,,1,,,,,,,,,1,,,9.49,63,9.40,-0.09
