PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Cole Holcomb,2562872,LB,WAS,TEN,11,5,,1,,,,,,,,,,,,,,12.56,1,24.20,11.64
Damien Wilson,2552686,LB,CAR,SF,7,2,1,3,,1,,,,,,,,,1,,,5.77,2,24.00,18.23
David Long,2562799,LB,TEN,@WAS,6,6,,,1,,,,,,,,,1,,,,11.33,3,21.00,9.67
Bradley Chubb,2561020,LB,MIA,@NYJ,4,3,2.5,1,,1,,,,,,,,,3,,,6.29,4,20.70,14.41
Darius Harris,2563108,LB,KC,LV,8,2,1,1,,,,,,,,,,,1,,,6.99,5,19.20,12.21
Tyrel Dodson,2562560,LB,BUF,PIT,7,4,1,1,,,,,,,,,,,1,,,0.74,6,19.10,18.36
Jordyn Brooks,2565135,LB,SEA,@NO,7,4,,,,,,,,,,,,1,1,,,15.12,7,18.10,2.98
Foye Oluokun,2561132,LB,JAX,HOU,6,2,1,2,,,,,,,,,,,2,,,14.79,8,17.80,3.01
Jacob Phillips,2563806,LB,CLE,LAC,7,3,1,1,,,,,,,,,,,,,,11.75,9,17.80,6.05
Fred Warner,2560917,LB,SF,@CAR,5,4,0.5,1,,,,,,,,,,1,2,,,11.92,10,17.70,5.78
Isaiah Simmons,2564940,LB,ARI,PHI,8,5,,,,,,,,,,,,,,,,8.77,11,17.60,8.83
Micah Parsons,2566019,LB,DAL,@LA,3,2,2,1,,1,,,,,,,,,3,,,9.12,12,17.20,8.08
Germaine Pratt,2562702,LB,CIN,@BAL,2,6,1,1,,,,,,,,,,2,1,,,9.95,13,17.20,7.25
Patrick Queen,2563575,LB,BAL,CIN,5,2,,,1,,,,,,,,,1,,11,,10.59,14,16.47,5.88
Cody Barton,2562472,LB,SEA,@NO,7,5,,,,,,,,,,,,,,,,12.00,15,15.90,3.9
Denzel Perryman,2552310,LB,LV,@KC,6,2,1,1,,,,,,,,,,,1,,,9.57,16,15.80,6.23
Matt Judon,2555505,LB,NE,DET,2,1,2,1,,1,,,,,,,,,4,,,6.44,17,15.20,8.76
Kwon Alexander,2552592,LB,NYJ,MIA,6,4,,1,,,,,,,,,,,,,,9.56,18,14.90,5.34
Baron Browning,2566025,LB,DEN,IND,2,3,1.5,2,,,,,,,,,,,6,,,3.20,19,14.80,11.6
Alex Singleton,2553739,LB,DEN,IND,5,4,,2,,,,,,,,,,,,,,2.76,20,14.70,11.94
Nicholas Morrow,2559054,LB,CHI,@MIN,7,3,,,,,,,,,,,,,,,,12.10,21,14.30,2.2
