PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Tee Higgins,2563731,WR,CIN,BAL,,,,,,12,194,2,,,,,12.64,1,37.40,24.76
Davante Adams,2543495,WR,GB,CLE,,,,,,10,114,2,,,,,15.31,2,28.40,13.09
A.J. Brown,2562238,WR,TEN,SF,,,,,,11,145,1,,,,,12.69,3,26.00,13.31
Isaiah McKenzie,2558129,WR,BUF,@NE,,,,-1,,11,125,1,,,,,2.13,4,23.90,21.77
Byron Pringle,2560844,WR,KC,PIT,,,,,,6,75,2,,,,,5.39,5,22.50,17.11
Deebo Samuel,2562721,WR,SF,@TEN,,,,32,,9,159,,,,,2,14.42,6,22.30,7.88
Amon-Ra St. Brown,2566073,WR,DET,@ATL,,,,19,,9,91,1,,,,,11.94,7,21.50,9.56
Jaylen Waddle,2566292,WR,MIA,@NO,,,,,,10,92,1,,,,,12.20,8,20.20,8.0
Amari Cooper,2552487,WR,DAL,WAS,,,,,,7,85,1,,,,,9.45,9,18.80,9.35
Stefon Diggs,2552608,WR,BUF,@NE,,,,,,7,85,1,,,,,11.61,10,18.00,6.39
K.J. Osborn,2564574,WR,MIN,LA,,,,,,5,68,1,,,,,6.35,11,17.00,10.65
DeVonta Smith,2566409,WR,PHI,NYG,,,,,,5,80,1,,,,,9.04,12,16.50,7.46
Cooper Kupp,2557898,WR,LA,@MIN,,,,4,,10,109,,,,,,17.00,13,16.30,-0.7
Tyler Boyd,2555466,WR,CIN,BAL,,,,,,3,85,1,,,,,9.47,14,16.00,6.53
Ja'Marr Chase,2565941,WR,CIN,BAL,,,,,,7,125,,,,,,10.48,15,16.00,5.52
Malik Turner,2561671,WR,DAL,WAS,,,,,,3,82,1,,,,,1.91,16,15.70,13.79
Justin Jefferson,2564556,WR,MIN,LA,,,,,,8,116,,,,,,15.99,17,15.60,-0.39
Antonio Brown,2508061,WR,FA,Bye,,,,,,10,101,,,,,,,18,15.10,
