PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Justin Jackson,2560756,RB,LAC,@HOU,,,,64,2,8,98,,,,,1,10.06,1,30.20,20.14
Damien Harris,2562281,RB,NE,BUF,,,,103,3,,,,,,,,11.38,2,29.30,17.92
Joe Mixon,2557976,RB,CIN,BAL,,,,65,1,6,70,1,,,,,12.69,3,28.50,15.81
Rex Burkhead,2539265,RB,HOU,LAC,,,,149,2,2,,,,,,,11.21,4,27.90,16.69
Nick Chubb,2561021,RB,CLE,@GB,,,,126,1,3,58,,,,,,15.35,5,25.90,10.55
Chase Edmonds,2560711,RB,ARI,IND,,,,56,1,8,71,,,,,,12.33,6,22.70,10.37
Sony Michel,2560809,RB,LA,@MIN,,,,131,1,1,4,,,,,,10.99,7,21.70,10.71
David Montgomery,2562502,RB,CHI,@SEA,,,,45,1,7,61,,,,,,13.48,8,20.10,6.62
Rashaad Penny,2560835,RB,SEA,CHI,,,,135,1,,,,,,,,11.52,9,19.50,7.98
Ezekiel Elliott,2555224,RB,DAL,WAS,,,,37,1,1,5,1,,,,,12.04,10,17.70,5.66
Devin Singletary,2562734,RB,BUF,@NE,,,,39,1,5,39,,,,,,9.65,11,16.30,6.65
Alexander Mattison,2562682,RB,MIN,LA,,,,41,1,3,29,,,,,,13.64,12,15.50,1.86
Ronald Jones,2560770,RB,TB,@CAR,,,,65,1,2,16,,,,,,11.46,13,15.10,3.64
Dare Ogunbowale,2559362,RB,JAX,@NYJ,,,,57,1,2,15,,,,,,2.49,14,14.20,11.71
Najee Harris,2566448,RB,PIT,@KC,,,,93,,5,17,,,,,,14.57,15,13.50,-1.07
Michael Carter,2566382,RB,NYJ,JAX,,,,118,,2,6,,,,,,12.96,16,13.40,0.44
Jeff Wilson,2560938,RB,SF,@TEN,,,,45,1,3,12,,,,,,11.00,17,13.20,2.2
Ke'Shawn Vaughn,2565258,RB,TB,@CAR,,,,70,1,,,,,,,,0.00,18,13.00,13.0
Antonio Gibson,2565276,RB,WAS,@DAL,,,,29,,2,29,1,,,,,13.65,19,12.80,-0.85
Josh Jacobs,2562377,RB,LV,DEN,,,,129,,1,-5,,,,,1,13.70,20,12.60,-1.1
Derrick Gore,2563347,RB,KC,PIT,,,,43,,3,61,,,,,,3.71,21,11.90,8.19
Boston Scott,2561146,RB,PHI,NYG,,,,41,1,,,,,,,,2.25,22,11.80,9.55
Darrel Williams,2560935,RB,KC,PIT,,,,55,,3,30,,,,,,6.76,23,11.70,4.94
Aaron Jones,2558116,RB,GB,CLE,,,,66,,5,21,,,,,,13.37,24,11.20,-2.17
Jonathan Taylor,2564148,RB,IND,@ARI,,,,108,,,,,,,,,17.29,25,10.80,-6.49
Clyde Edwards-Helaire,2564271,RB,KC,PIT,,,,27,1,1,4,,,,,,12.10,26,9.60,-2.5
Khalil Herbert,2565926,RB,CHI,@SEA,,,,21,1,1,7,,,,,,3.11,27,9.30,6.19
Devonta Freeman,2543583,RB,BAL,@CIN,,,,17,1,2,3,,,,,,11.59,28,9.00,-2.59
Javonte Williams,2566049,RB,DEN,@LV,,,,12,1,2,8,,,,,,13.86,29,9.00,-4.86
