PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Rank,TotalPoints
Jacob Hollister,2558956,TE,JAX,,,,,,,,,,,,2.83,,,,,105,0.00
J.P. Holtz,2556852,TE,CHI,,,,,,,,,,,,1.13,,,,,106,0.00
Austin Hooper,2555415,TE,CLE,,,,,,,,,,,,3.14,,,,,107,0.00
Brycen Hopkins,2564349,TE,LA,,,,,,,,,,,,3.33,,,,,108,0.00
Jesper Horsted,2563270,TE,CHI,,,,,,,,,,,,1.13,,,,,109,0.00
O.J. Howard,2557856,TE,TB,,,,,,,,,,,,,,,,,110,0.00
Tanner Hudson,2561215,TE,FA,,,,,,,,,,,,,,,,,111,0.00
Tommy Hudson,2565450,TE,TEN,,,,,,,,,,,,2.95,,,,,112,0.00
Hayden Hurst,2560747,TE,ATL,,,,,,,,,,,,2.56,,,,,113,0.00
Ryan Izzo,2560751,TE,FA,,,,,,,,,,,,,,,,,114,0.00
Tyree Jackson,2562435,TE,PHI,,,,,,,,,,,,5.65,,,,,115,0.00
Blake Jarwin,2559193,TE,DAL,,,,,,,,,,,,1.74,,,,,116,0.00
Rysen John,2564742,TE,NYG,,,,,,,,,,,,2.23,,,,,117,0.00
Juwan Johnson,2564676,TE,NO,,,,,,,,,,,,4.24,,,,,118,0.00
Brevin Jordan,2566130,TE,HOU,,,,,,,,,,,,,,,,,119,0.00
Hunter Kampmoyer,2566481,TE,FA,,,,,,,,,,,,,,,,,120,0.00
Dalton Keene,2564616,TE,NE,,,,,,,,,,,,3.37,,,,,121,0.00
Nick Keizer,2561115,TE,FA,,,,,,,,,,,,,,,,,122,0.00
George Kittle,2558266,TE,SF,,,,,,,,,,,,3.19,,,,,123,0.00
Cole Kmet,2563704,TE,CHI,,,,,,,,,,,,1.13,,,,,124,0.00
Dawson Knox,2562681,TE,BUF,,,,,,,,,,,,3.00,,,,,125,0.00
Matt LaCosse,2553667,TE,FA,,,,,,,,,,,,,,,,,126,0.00
Hunter Long,2566286,TE,MIA,,,,,,,,,,,,2.22,,,,,127,0.00
Tyler Mabry,2565168,TE,SEA,,,,,,,,,,,,,,,,,128,0.00
Alize Mack,2562307,TE,FA,,,,,,,,,,,,,,,,,129,0.00
Chris Manhertz,2552622,TE,JAX,,,,,,,,,,,,2.83,,,,,130,0.00
Kyle Markway,2564763,TE,FA,,,,,,,,,,,,,,,,,131,0.00
Tyree Mayfield,2563145,TE,FA,,,,,,,,,,,,,,,,,132,0.00
Codey McElroy,2561239,TE,FA,,,,,,,,,,,,,,,,,133,0.00
Sean McKeon,2563854,TE,DAL,,,,,,,,,,,,1.74,,,,,134,0.00
Tre' McKitty,2566490,TE,LAC,,,,,,,,,,,,3.61,,,,,135,0.00
Briley Moore-McKinney,2566956,TE,TEN,,,,,,,,,,,,2.95,,,,,136,0.00
Foster Moreau,2562317,TE,LV,,,,,,,,,,,,1.90,,,,,137,0.00
Quintin Morris,2566641,TE,FA,,,,,,,,,,,,,,,,,138,0.00
Thaddeus Moss,2565288,TE,FA,,,,,,,,,,,,,,,,,139,0.00
Johnny Mundt,2558875,TE,LA,,,,,,,,,,,,3.33,,,,,140,0.00
Chris Myarick,2563210,TE,FA,,,,,,,,,,,,,,,,,141,0.00
Isaac Nauta,2562691,TE,FA,,,,,,,,,,,,,,,,,142,0.00
