PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
J.J. Watt,2495488,DL,ARI,57,19,17.5,29,,3,1,,,,,,,8,50,,,1,247.10
Fletcher Cox,2533051,DL,PHI,50,21,9.5,11,,3,2,,,,,,,2,20,,,2,164.80
Carlos Dunlap,496780,DL,SEA,36,15,13.5,15,,2,1,,,,,,2,1,30,,21,3,154.90
Ndamukong Suh,496861,DL,TB,39,22,6,17,,,,,,,,,,5,20,,,4,143.90
Cameron Jordan,2495184,DL,NO,32,13,10,15,,1,2,,,,,,1,5,20,,,5,138.30
Everson Griffen,496790,DL,MIN,34,10,10.5,14,,1,,,,,,,,4,30,,,6,136.30
Cameron Heyward,2508109,DL,PIT,39,15,7,15,,1,,,,,,,2,2,13,,,7,135.80
Brandon Graham,496788,DL,PHI,39,12,6.5,11,,3,,,,,,,,1,10,,,8,123.40
Demarcus Lawrence,2543490,DL,DAL,35,20,8,14,,1,,,,,,,,,12,,,9,122.00
Ryan Kerrigan,2495190,DL,PHI,33,9,9.5,12,,2,,,,,,,,3,13,,,10,121.30
Jerry Hughes,496796,DL,BUF,37,15,5,8,,2,1,,,,,,,4,12,,2,11,120.97
Malik Jackson,2532873,DL,CLE,34,11,5,8,,,2,,,,1,,,7,16,,-2,12,120.03
Calais Campbell,744,DL,BAL,36,14,4.5,13,,,1,,,,,,,3,17,,,13,117.90
Stephon Tuitt,2543483,DL,PIT,39,15,6.5,8,1,,,,,,,,,1,12,3,,14,115.40
William Gholston,2540176,DL,TB,40,16,3,7,,1,,,,,,,1,2,8,,,15,112.80
Justin Houston,2495493,DL,BAL,25,5,7.5,9,2,1,,1,,,,,,6,13,16,,16,111.53
Jabaal Sheard,2495228,DL,FA,28,9,8,9,,4,,,,,,,,2,12,,,17,109.30
Damon Harrison,2535718,DL,FA,39,33,0.5,5,,1,,,,,,,,,4,,,18,106.70
Derek Wolfe,2533026,DL,BAL,35,14,5.5,9,,,,,,,,,,1,13,,,19,104.20
Leonard Williams,2552486,DL,NYG,29,34,3,7,,,,,,,,,,,21,,,20,103.50
Linval Joseph,496802,DL,LAC,42,14,0.5,7,,1,,,,,,,,1,4,,,21,102.10
Brandon Williams,2541302,DL,BAL,35,18,2,9,,1,,,,,,,,2,4,,,22,101.90
John Simon,2539280,DL,FA,39,14,5,3,,,1,,,,,,,,11,,,23,98.50
Lawrence Guy,2495481,DL,NE,29,17,4.5,8,,,,,,,,,1,1,10,,,24,94.40
Mario Edwards,2553433,DL,CHI,33,9,2,3,,3,,,,,,,,2,6,,,25,90.30
Malcom Brown,2552483,DL,JAX,31,17,3,6,,,2,,,,,,,,5,,,26,85.80
Allen Bailey,2495116,DL,FA,26,12,4.5,7,,2,1,,,,,,,,8,,,27,85.30
Sheldon Richardson,2540142,DL,MIN,20,15,5,4,,2,,,,,,,,2,15,,,28,81.50
Tyrone Crawford,2532821,DL,FA,23,12,5,7,,,,,,,,,1,1,9,,,29,79.20
Denico Autry,2550646,DL,TEN,20,2,3,6,,,,,,,1,,3,3,7,,,30,74.60
John Jenkins,2539231,DL,MIA,23,26,0.5,1,,1,1,,,,,,,1,2,,,31,70.40
Vic Beasley,2552301,DL,FA,20,6,4,2,1,2,,,,,,,,3,5,,,32,70.30
Jason Pierre-Paul,496843,DL,TB,21,5,1,4,,,2,,,,,,,6,7,,,33,68.20
Aldon Smith,2495487,DL,FA,21,7,3.5,5,,,,,,,,,,3,8,,,34,67.30
Tyson Alualu,496760,DL,PIT,18,8,2,6,,,1,,,,,,1,2,10,,,35,66.90
Caraun Reid,2543748,DL,LAC,23,6,2,7,,,1,,1,,,,,,5,,27,36,66.80
DaQuan Jones,2543504,DL,CAR,25,20,,3,,,1,,,,,,,,3,,,37,65.50
Damontre Moore,2540138,DL,CAR,20,7,4,3,,1,1,,,,,,,1,10,,7,38,64.33
Domata Peko Sr.,2506925,DL,FA,15,17,5,6,,,,,,,,,,1,6,,,39,63.60
Alex Okafor,2539319,DL,KC,24,5,2,4,,,1,,,,,,,1,8,,,40,62.30
Trent Murphy,2543503,DL,FA,13,20,3.5,3,,1,2,,,,,,,,10,,,41,60.10
Mario Addison,2530474,DL,BUF,15,8,6,5,,,,,,,,,,,17,,,42,59.90
Henry Anderson,2552272,DL,NE,19,12,1,5,,,,,,,,,,2,4,,,43,58.40
Aaron Donald,2543485,DL,LA,15,9,2.5,7,,,,,,,,,,1,10,,,44,55.70
Sylvester Williams,2539270,DL,FA,18,7,3,4,,,,,,,,,1,,4,,,45,53.20
Danny Shelton,2552325,DL,NYG,19,17,,4,,,,,,,,,,,,,,46,51.90
Johnathan Hankins,2540147,DL,LV,21,9,,1,,1,,,,,,,,1,2,,,47,51.40
Jack Crawford,2532992,DL,ARI,14,7,4,7,,,,,,,,,,,4,,,48,49.90
Frank Clark,2552629,DL,KC,15,1,3,4,,1,,,,,,,,2,6,,,49,49.80
