PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Steven Sims,2563033,WR,PIT,,,,,,,,,,,,,6.49,,,,,,,,,,299,0.00
Ben Skowronek,2566247,WR,LA,,,,,,,,,,,,,6.89,,,,,,,,,,300,0.00
Darius Slayton,2562736,WR,NYG,,,,,,,,,,,,,8.34,,,,,,,,,,301,0.00
DeVonta Smith,2566409,WR,PHI,,,,,,,,,,,,,8.43,,,,,,,,,,302,0.00
Jeff Smith,2562845,WR,NYJ,,,,,,,,,,,,,4.86,,,,,,,,,,303,0.00
Shi Smith,2565908,WR,CAR,,,,,,,,,,,,,7.16,,,,,,,,,,304,0.00
Tre'Quan Smith,2560878,WR,NO,,,,,,,,,,,,,3.97,,,,,,,,,,305,0.00
Vyncint Smith,2561427,WR,NYJ,,,,,,,,,,,,,4.86,,,,,,,,,,306,0.00
Ihmir Smith-Marsette,2566319,WR,MIN,,,,,,,,,,,,,6.75,,,,,,,,,,307,0.00
JuJu Smith-Schuster,2558149,WR,PIT,,,,,,,,,,,,,6.49,,,,,,,,,,308,0.00
Diontae Spencer,2550734,WR,DEN,,,,,,,,,,,,,6.21,,,,,,,,,,309,0.00
Amon-Ra St. Brown,2566073,WR,DET,,,,,,,,,,,,,8.48,,,,,,,,,,310,0.00
Equanimeous St. Brown,2560883,WR,GB,,,,,,,,,,,,,6.13,,,,,,,,,,311,0.00
Marquez Stevenson,2565878,WR,BUF,,,,,,,,,,,,,5.96,,,,,,,,,,312,0.00
Kenny Stills,2540202,WR,NO,,,,,,,,,,,,,3.97,,,,,,,,,,313,0.00
Dillon Stoner,2565663,WR,LV,,,,,,,,,,,,,9.23,,,,,,,,,,314,0.00
Eli Stove,2566520,WR,FA,,,,,,,,,,,,,,,,,,,,,,,315,0.00
Mike Strachan,2565615,WR,IND,,,,,,,,,,,,,8.00,,,,,,,,,,316,0.00
Courtland Sutton,2560888,WR,DEN,,,,,,,,,,,,,6.21,,,,,,,,,,317,0.00
Freddie Swain,2565195,WR,SEA,,,,,,,,,,,,,8.18,,,,,,,,,,318,0.00
Ryan Switzer,2557960,WR,CLE,,,,,,,,,,,,,8.83,,,,,,,,,,319,0.00
Donte Sylencieux,2566626,WR,FA,,,,,,,,,,,,,,,,,,,,,,,320,0.00
Auden Tate,2560890,WR,CIN,,,,,,,,,,,,,7.89,,,,,,,,,,321,0.00
Khalil Tate,2564859,WR,FA,,,,,,,,,,,,,,,,,,,,,,,322,0.00
