PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Jordan Poyer,2539290,DB,BUF,MIA,10,,,1,1,,,,,,,,,1,,26,,10.62,1,25.37,10.62,14.75
Justin Simmons,2555550,DB,DEN,WAS,7,,,,2,,,,,,,,,2,,24,,10.01,2,24.70,10.01,14.69
Rasul Douglas,2558168,DB,GB,@ARI,9,,,,1,,,,,,,,,2,,,,8.30,3,23.80,8.3,15.5
Kenny Moore II,2558976,DB,IND,TEN,7,2,,,1,,,,,,,,,2,,32,,11.18,4,23.07,11.18,11.89
Josh Norman,2532920,DB,SF,@CHI,7,,,,1,1,,,,,,,,1,,40,,9.47,5,22.73,9.47,13.26
Xavier Woods,2558159,DB,MIN,DAL,4,4,1,,1,1,,,,,,,,1,1,12,,9.04,6,22.40,9.04,13.36
Derwin James,2560760,DB,LAC,NE,7,6,,1,,1,,,,,,,,,,,,10.68,7,21.70,10.68,11.02
Adrian Phillips,2550842,DB,NE,@LAC,1,2,,,2,,,1,,,,,,2,1,38,,9.39,8,21.07,9.39,11.68
Jessie Bates,2560970,DB,CIN,@NYJ,6,2,,,1,,,,,,,,,1,,65,,10.16,9,19.97,10.16,9.81
Harrison Smith,2532948,DB,MIN,DAL,7,2,,,,1,,,,,,,,1,,,,11.55,10,19.50,11.55,7.95
Adoree' Jackson,2558065,DB,NYG,@KC,8,4,,,,,,,,,,,,1,,,,9.54,11,19.30,9.54,9.76
Jordan Whitehead,2560930,DB,TB,@NO,9,,,1,,,,,,,,,,1,,,,8.07,12,19.30,8.07,11.23
Kevin Byard,2555158,DB,TEN,@IND,4,,,,1,,,,,,,,,3,,14,,10.21,13,18.27,10.21,8.06
Logan Ryan,2540162,DB,NYG,@KC,7,2,,,,1,,,,,,,,,,,,10.62,14,17.00,10.62,6.38
Ugo Amadi,2562464,DB,SEA,JAX,8,1,,,,,,,,,,,,1,,,,3.28,15,16.90,3.28,13.62
Cameron Dantzler,2564526,DB,MIN,DAL,7,,,,,,,,,,,,,2,,,,3.78,16,16.90,3.78,13.12
Landon Collins,2552454,DB,WAS,@DEN,5,3,1,2,,,,,,,,,,,1,,,9.46,17,16.40,9.46,6.94
Vonn Bell,2555530,DB,CIN,@NYJ,5,4,,,,1,1,,,,,,,,,,,10.08,18,16.20,10.08,6.12
Chauncey Gardner-Johnson,2562588,DB,NO,TB,5,1,,,1,,,,,,,,,1,,26,,8.49,19,16.17,8.49,7.68
Marcus Epps,2562946,DB,PHI,@DET,7,2,,,,,,,,,,,,1,,,,10.39,20,16.00,10.39,5.61
Elijah Molden,2566115,DB,TEN,@IND,2,,,,1,,,1,,,,,,2,,2,,2.89,21,15.97,2.89,13.08
Chidobe Awuzie,2557840,DB,CIN,@NYJ,7,,,1,,,,,,,,,,1,,,,9.07,22,15.90,9.07,6.83
Erik Harris,2555568,DB,ATL,CAR,5,2,,,,,,,,,,,,2,,,,8.58,23,15.10,8.58,6.52
Marcell Harris,2561006,DB,SF,@CHI,6,1,1,1,,,,,,,,,,,1,,,2.42,24,15.00,2.42,12.58
Andrew Sendejo,2525323,DB,IND,TEN,6,1,,,,1,,,,,,,,,,,,7.01,25,14.50,7.01,7.49
Pierre Desir,2543811,DB,TB,@NO,7,,,,,,,,,,,,,1,,,,2.81,26,14.40,2.81,11.59
Jalen Thompson,2563339,DB,ARI,GB,4,6,,,,,,,,,,,,1,,,,9.94,27,14.10,9.94,4.16
Nasir Adderley,2562617,DB,LAC,NE,5,2,,,,,1,,,,,,,1,,,,9.89,28,13.60,9.89,3.71
Donte' Deayon,2556512,DB,LA,@HOU,6,1,,,,,,,,,,,,1,,,,5.35,29,13.50,5.35,8.15
Quandre Diggs,2552262,DB,SEA,JAX,2,1,,,1,,,,,,,,,2,,9,,9.82,30,13.00,9.82,3.18
Anthony Brown,2555531,DB,DAL,@MIN,4,1,,,,,,,,,,,,2,,,,10.34,31,12.60,10.34,2.26
Jamal Adams,2557979,DB,SEA,JAX,5,5,,,,,,,,,,,,,,,,10.69,32,12.50,10.69,1.81
Justin Reid,2560851,DB,HOU,LA,5,5,,,,,,,,,,,,,,,,9.53,33,12.50,9.53,2.97
K'Waun Williams,2550654,DB,SF,@CHI,4,3,,2,,,,,,,,,,,,,,5.21,34,12.20,5.21,6.99
DeAndre Houston-Carson,2555381,DB,CHI,SF,5,1,,,,,,,,,,,,1,,,,4.10,35,11.80,4.1,7.7
Brandon Jones,2564469,DB,MIA,@BUF,5,1,,1,,,,,,,,,,,2,,,7.08,36,11.80,7.08,4.72
Nik Needham,2563220,DB,MIA,@BUF,6,2,,,,,,,,,,,,,,,,4.37,37,11.80,4.37,7.43
P.J. Williams,2552484,DB,NO,TB,,,,,1,,,1,,,,,,1,,40,,3.20,38,11.33,3.2,8.13
Ryan Neal,2561381,DB,SEA,JAX,4,,1,1,,,,,,,,,,,2,,,1.92,39,11.30,1.92,9.38
Budda Baker,2558009,DB,ARI,GB,6,1,,,,,,,,,,,,,,,,10.12,40,11.00,10.12,0.88
Vernon Hargreaves III,2555299,DB,CIN,@NYJ,6,1,,,,,,,,,,,,,,,,8.26,41,11.00,8.26,2.74
Kareem Jackson,496735,DB,DEN,WAS,6,1,,,,,,,,,,,,,,,,9.82,42,11.00,9.82,1.18
Levi Wallace,2560914,DB,BUF,MIA,5,,,,,,,,,,,,,1,,,,9.35,43,11.00,9.35,1.65
Byron Jones,2552568,DB,MIA,@BUF,4,2,,,,,,,,,,,,1,,,,7.83,44,10.90,7.83,3.07
Byron Murphy,2562318,DB,ARI,GB,4,2,,,,,,,,,,,,1,,,,9.23,45,10.90,9.23,1.67
Jalen Ramsey,2555280,DB,LA,@HOU,2,,,1,,1,,,,,,,,1,,,,8.99,46,10.90,8.99,1.91
Marcus Williams,2558847,DB,NO,TB,5,3,,,,,,,,,,,,,,,,8.14,47,10.90,8.14,2.76
Jayron Kearse,2555156,DB,DAL,@MIN,5,1,,1,,,,,,,,,,,,,,10.58,48,10.80,10.58,0.22
Henry Black,2563974,DB,GB,@ARI,2,1,,,1,,,,,,,,,1,,,,2.45,49,10.20,2.45,7.75
Chris Harris,2530510,DB,LAC,NE,6,,,,,,,,,,,,,,,,,7.52,50,10.20,7.52,2.68
Jimmie Ward,2543741,DB,SF,@CHI,6,,,,,,,,,,,,,,,,,9.17,51,10.20,9.17,1.03
Jeremy Chinn,2563632,DB,CAR,@ATL,4,1,,,,,,,,,,,,1,,,,10.38,52,10.10,10.38,-0.28
Kamren Curl,2565270,DB,WAS,@DEN,5,2,,,,,,,,,,,,,,,,11.03,53,10.10,11.03,-0.93
Ronald Darby,2552689,DB,DEN,WAS,5,2,,,,,,,,,,,,,,,,8.82,54,10.10,8.82,1.28
L'Jarius Sneed,2564304,DB,KC,NYG,5,2,,,,,,,,,,,,,,,,10.10,55,10.10,10.1,0.0
Greedy Williams,2562785,DB,CLE,PIT,4,1,,,,,,,,,,,,1,,,,8.72,56,10.10,8.72,1.38
Marcus Maye,2557995,DB,NYJ,CIN,5,,,1,,,,,,,,,,,,,,,57,10.00,,
Tavierre Thomas,2561278,DB,HOU,LA,2,5,,,,,,,,,,,,1,,,,4.27,58,9.90,4.27,5.63
James Bradberry,2555175,DB,NYG,@KC,3,1,,,,,1,,,,,,,1,,,13,8.27,59,9.83,8.27,1.56
Avonte Maddox,2560795,DB,PHI,@DET,3,1,,,,1,,,,,,,,,,,,5.99,60,9.40,5.99,3.41
Ronnie Harrison,2561008,DB,CLE,PIT,5,1,,,,,,,,,,,,,,,,7.06,61,9.30,7.06,2.24
Eric Stokes,2566097,DB,GB,@ARI,5,1,,,,,,,,,,,,,,,,9.83,62,9.30,9.83,-0.53
Bashaud Breeland,2543571,DB,MIN,DAL,4,3,,,,,,,,,,,,,,,,8.23,63,9.20,8.23,0.97
Kendall Fuller,2555349,DB,WAS,@DEN,2,1,,,,,,,,,,,,2,,,,9.37,64,9.20,9.37,-0.17
Terrance Mitchell,2543637,DB,HOU,LA,2,1,,,,,,,,,,,,2,,,,8.67,65,9.20,8.67,0.53
Talanoa Hufanga,2566529,DB,SF,@CHI,4,1,,1,,,,,,,,,,,,,,8.04,66,9.10,8.04,1.06
Malcolm Jenkins,79848,DB,NO,TB,1,3,,,,,,,,,,,,2,,,,11.62,67,9.10,11.62,-2.52
Michael Carter II,2565717,DB,NYJ,CIN,2,2,,1,,,,,,,,,,1,,,,6.52,68,9.00,6.52,2.48
