PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Zane Gonzalez,2558178,K,CAR,@ATL,1,,,2,,,2,,,,7.51,1,17.00,7.51,9.49
Jake Elliott,2558172,K,PHI,@DET,5,,,1,,2,,,,,5.70,2,16.00,5.7,10.3
Nick Folk,2507225,K,NE,@LAC,1,,,1,1,2,,,,,7.45,3,15.00,7.45,7.55
Joey Slye,2563132,K,FA,Bye,1,1,,1,1,1,1,,,,,4,13.00,,
Randy Bullock,2533444,K,TEN,@IND,4,,,,,2,,,,,7.60,5,12.00,7.6,4.4
Greg Joseph,2561534,K,MIN,DAL,1,,,1,,2,,,,,7.46,6,12.00,7.46,4.54
Tyler Bass,2563596,K,BUF,MIA,2,,,,1,,1,,,,6.98,7,10.00,6.98,3.02
Younghoe Koo,2559205,K,ATL,CAR,1,,,,,1,1,,,,8.13,8,10.00,8.13,1.87
Matt Gay,2562271,K,LA,@HOU,5,,,1,,,,,,,7.42,9,9.70,7.42,2.28
Brian Johnson,2566740,K,NO,TB,3,1,,2,1,,,,,,6.53,10,9.00,6.53,2.47
Matt Ammendola,2565555,K,NYJ,CIN,2,,,2,,,,,,,0.00,11,8.00,0.0,8.0
Harrison Butker,2558245,K,KC,NYG,2,,,,2,,,,,,7.24,12,8.00,7.24,0.76
Cairo Santos,2550636,K,CHI,SF,1,1,,1,1,1,,,,,6.96,13,8.00,6.96,1.04
Greg Zuerlein,2534797,K,DAL,@MIN,2,,,,2,,,,,,6.41,14,8.00,6.41,1.59
Mike Badgley,2560965,K,IND,TEN,4,,,,1,,,,,,6.71,15,7.00,6.71,0.29
Dustin Hopkins,2539227,K,LAC,NE,3,,,,,1,,,,,7.24,16,7.00,7.24,-0.24
Evan McPherson,2565953,K,CIN,@NYJ,4,,,1,,,,,,,6.47,17,7.00,6.47,0.53
Jason Myers,2553112,K,SEA,JAX,4,,,,1,,,,,,7.52,18,7.00,7.52,-0.52
Chris Blewitt,2562800,K,WAS,@DEN,1,,,,,,1,,,,6.30,19,6.00,6.3,-0.3
Mason Crosby,2507232,K,GB,@ARI,3,,,1,,,,,,,7.76,20,6.00,7.76,-1.76
Brandon McManus,2541556,K,DEN,WAS,2,,,,,1,,,,,7.08,21,6.00,7.08,-1.08
Graham Gano,71309,K,NYG,@KC,2,,,1,,,,,,,7.26,22,5.00,7.26,-2.26
Chase McLaughlin,2563203,K,CLE,PIT,1,,,,1,,,,,,6.98,23,4.00,6.98,-2.98
