PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Sterling Shepard,2555295,WR,NYG,@KC,,,,,4,25,,,,,,12.09,66,4.50,12.09,-7.59
Ben Skowronek,2566247,WR,LA,@HOU,,,,,3,30,,,,,,1.21,67,4.50,1.21,3.29
Marquise Goodwin,2539964,WR,CHI,SF,,,,,2,32,,,,,,3.14,68,4.20,3.14,1.06
Keelan Cole,2559153,WR,NYJ,CIN,,,,,3,25,,,,,,4.80,69,4.00,4.8,-0.8
N'Keal Harry,2562659,WR,NE,@LAC,,,,,2,30,,,,,,2.33,70,4.00,2.33,1.67
Denzel Mims,2564802,WR,NYJ,CIN,,,,,2,30,,,,,,2.43,71,4.00,2.43,1.57
Kendrick Bourne,2558914,WR,NE,@LAC,,,,,4,38,,,,,1,8.27,72,3.80,8.27,-4.47
Rashard Higgins,2555468,WR,CLE,PIT,,,,,2,27,,,,,,6.67,73,3.70,6.67,-2.97
Allen Robinson,2543509,WR,CHI,SF,,,,,3,21,,,,,,8.56,74,3.60,8.56,-4.96
Justin Jefferson,2564556,WR,MIN,DAL,,,,,2,21,,,,,,15.36,75,3.10,15.36,-12.26
Marcus Johnson,2556855,WR,TEN,@IND,,,,,1,8,,,,,,1.41,76,3.00,1.41,1.59
Juwann Winfree,2562956,WR,GB,@ARI,,,,,4,30,,,,,1,0.85,77,3.00,0.85,2.15
Chris Conley,2552652,WR,HOU,LA,,,,,1,24,,,,,,4.61,78,2.90,4.61,-1.71
Mike Williams,2558846,WR,LAC,NE,,,,,2,19,,,,,,12.38,79,2.90,12.38,-9.48
Quez Watkins,2564880,WR,PHI,@DET,,,,,2,18,,,,,,7.73,80,2.80,7.73,-4.93
Dax Milne,2566601,WR,WAS,@DEN,,,,,1,22,,,,,,1.50,81,2.70,1.5,1.2
Jaelon Darden,2566562,WR,TB,@NO,,,,,3,11,,,,,,1.69,82,2.60,1.69,0.91
T.Y. Hilton,2532865,WR,IND,TEN,,,,,2,16,,,,,,9.35,83,2.60,9.35,-6.75
Chris Moore,2555209,WR,HOU,LA,,,,,2,16,,,,,,2.89,84,2.60,2.89,-0.29
Jalen Reagor,2564850,WR,PHI,@DET,,,,21,1,,,,,,,6.60,85,2.60,6.6,-4.0
Cam Sims,2561067,WR,WAS,@DEN,,,,,1,20,,,,,,1.45,86,2.50,1.45,1.05
Jalen Guyton,2562844,WR,LAC,NE,,,,,1,18,,,,,,3.72,87,2.30,3.72,-1.42
Demarcus Robinson,2555478,WR,KC,NYG,,,,,1,18,,,,,,3.91,88,2.30,3.91,-1.61
