PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Nick Bosa,2562629,DL,SF,@CHI,3,,2,3,,,,,,,,,,,2,,,7.25,1,14.60,7.25,7.35
Leonard Williams,2552486,DL,NYG,@KC,2,4,1,1,,1,,,,,,,,,1,,,6.74,2,14.10,6.74,7.36
Sam Hubbard,2560745,DL,CIN,@NYJ,3,3,,1,,,,,,,,,,2,,,,6.64,3,14.00,6.64,7.36
Josh Sweat,2560889,DL,PHI,@DET,3,1,2,2,,,,,,,,,,,2,,,6.26,4,13.90,6.26,7.64
Christian Wilkins,2562782,DL,MIA,@BUF,4,1,,2,,,,,,,,,,1,,,,5.61,5,13.10,5.61,7.49
Tyeler Davison,2552329,DL,ATL,CAR,6,1,,1,,,,,,,,,,,,,,3.70,6,12.50,3.7,8.8
Milton Williams,2566418,DL,PHI,@DET,4,,1,2,,,,,,,,,,,1,,,1.80,7,12.30,1.8,10.5
Myles Garrett,2557965,DL,CLE,PIT,3,1,1,2,,,,,,,,,,,2,,,6.42,8,11.90,6.42,5.48
Dre'Mont Jones,2562412,DL,DEN,WAS,1,2,1.5,1,,,,,,,,,1,,2,,,4.42,9,11.80,4.42,7.38
Trey Hendrickson,2557943,DL,CIN,@NYJ,3,3,1,1,,,,,,,,,,,1,,,3.79,10,11.50,3.79,7.71
D.J. Jones,2558265,DL,SF,@CHI,5,,,2,,,,,,,,,,,,,,4.52,11,11.50,4.52,6.98
Larry Ogunjobi,2557836,DL,CIN,@NYJ,3,2,1,1,,,,,,,,,,,2,,,4.75,12,11.20,4.75,6.45
Shelby Harris,2549926,DL,DEN,WAS,2,3,0.5,,,,,,,,,,1,,2,,,4.71,13,10.80,4.71,6.09
Sheldon Rankins,2555242,DL,NYJ,CIN,2,2,1,2,,,,,,,,,,,1,,,3.34,14,10.50,3.34,7.16
Tyquan Lewis,2560791,DL,IND,TEN,1,,1,1,1,,,,,,,,,1,2,8,,,15,10.47,,
Jerry Tillery,2562763,DL,LAC,NE,3,1,1,1,,,,,,,,,,,1,,,5.52,16,9.90,5.52,4.38
Quinnen Williams,2562599,DL,NYJ,CIN,2,,1,1,,,,,,,,,,1,1,,,5.91,17,9.90,5.91,3.99
Dawuane Smoot,2557839,DL,JAX,@SEA,2,1,1,2,,,,,,,,,,,1,,,4.00,18,9.70,4.0,5.7
Aaron Donald,2543485,DL,LA,@HOU,1,3,1.5,1,,,,,,,,,,,2,,,6.22,19,9.60,6.22,3.38
Chase Young,2565294,DL,WAS,@DEN,3,1,,,,1,,,,,,,,,,,,6.04,20,9.40,6.04,3.36
