PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Boston Scott,2561146,RB,PHI,@ATL,,,,,,,,,,,,2.85,88,0.80,2.85,-2.05
Benny Snell,2562743,RB,PIT,@BUF,,,,,,,,,,,,3.21,89,0.80,3.21,-2.41
Brandon Bolden,2532797,RB,NE,MIA,,,,5,,,,,,,,2.00,90,0.50,2.0,-1.5
Matt Breida,2558918,RB,BUF,PIT,,,,4,,,,,,,,4.17,91,0.40,4.17,-3.77
Darrel Williams,2560935,RB,KC,CLE,,,,4,,,,,,,,5.56,92,0.40,5.56,-5.16
Michael Burton,2552636,RB,KC,CLE,,,,2,,,,,,,,0.77,93,0.20,0.77,-0.57
Sony Michel,2560809,RB,LA,CHI,,,,2,,,,,,,,7.85,94,0.20,7.85,-7.65
Gabe Nabers,2565066,RB,LAC,@WAS,,,,2,,,,,,,,0.37,95,0.20,0.37,-0.17
Mekhi Sargent,2566962,RB,LA,CHI,,,,2,,,,,,,,0.00,96,0.20,0.0,0.2
Josh Adams,2560949,RB,FA,Bye,,,,,,,,,,,,,97,0.00,,
Cam Akers,2564319,RB,LA,CHI,,,,,,,,,,,,0.00,98,0.00,0.0,0.0
Darius Anderson,2563824,RB,FA,Bye,,,,,,,,,,,,,99,0.00,,
Alex Armah,2558833,RB,NO,GB,,,,,,,,,,,,0.00,100,0.00,0.0,0.0
Ryquell Armstead,2562622,RB,GB,@NO,,,,,,,,,,,,0.00,101,0.00,0.0,0.0
Kalen Ballage,2560967,RB,PIT,@BUF,,,,,,,,,,,,4.17,102,0.00,4.17,-4.17
Peyton Barber,2556466,RB,LV,BAL,,,,,,,,,,,,1.13,103,0.00,1.13,-1.13
Jake Bargas,2564508,RB,MIN,@CIN,,,,,,,,,,,,0.00,104,0.00,0.0,0.0
Nick Bawden,2560972,RB,NYJ,@CAR,,,,,,,,,,,,0.00,105,0.00,0.0,0.0
Le'Veon Bell,2540175,RB,BAL,@LV,,,,,,,,,,,,0.00,106,0.00,0.0,0.0
Levante Bellamy,2563878,RB,DEN,@NYG,,,,,,,,,,,,,107,0.00,,
Eno Benjamin,2564889,RB,ARI,@TEN,,,,,,,,,,,,0.00,108,0.00,0.0,0.0
Reggie Bonnafon,2561184,RB,CAR,NYJ,,,,,,,,,,,,0.00,109,0.00,0.0,0.0
Mike Boone,2561099,RB,DEN,@NYG,,,,,,,,,,,,0.00,110,0.00,0.0,0.0
Darius Bradwell,2565015,RB,LAC,@WAS,,,,,,,,,,,,0.00,111,0.00,0.0,0.0
Tony Brooks-James,2563300,RB,FA,Bye,,,,,,,,,,,,,112,0.00,,
