PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Chandler Jones,2533538,LB,ARI,@TEN,6,,5,4,,2,,,,,,,,,6,,,6.85,1,36.20,6.85,29.35
Shaq Thompson,2552447,LB,CAR,NYJ,5,5,1,1,1,,,,,,,,,2,1,29,,10.73,2,25.97,10.73,15.24
Isaiah Simmons,2564940,LB,ARI,@TEN,7,2,,,1,,,,,,,,,2,,,,7.12,3,22.00,7.12,14.88
Justin Hollins,2562285,LB,LA,CHI,6,2,2,1,,1,,,,,,,,,1,,,,4,21.30,,
Christian Kirksey,2543720,LB,HOU,JAX,5,1,,2,1,,,,,,,,,2,,1,,,5,20.83,,
Nick Vigil,2555528,LB,MIN,@CIN,8,2,1,2,,,,,,,,,,,1,,,8.76,6,20.70,8.76,11.94
Bobby Wagner,2532966,LB,SEA,@IND,6,7,,1,,,,,,,,,,1,,,,13.05,7,19.80,13.05,6.75
Dre Greenlaw,2562428,LB,SF,@DET,4,2,,,1,,,1,,,,,,1,,39,,,8,19.70,,
Germaine Pratt,2562702,LB,CIN,MIN,6,2,,1,,1,1,,,,,,,,1,,,9.47,9,18.30,9.47,8.83
Jerome Baker,2560966,LB,MIA,@NE,9,3,,,,,,,,,,,,,,,,12.48,10,17.70,12.48,5.22
Eric Kendricks,2552312,LB,MIN,@CIN,6,9,,,,,,,,,,,,,,,,10.14,11,17.40,10.14,7.26
Azeez Al-Shaair,2562462,LB,SF,@DET,4,3,,2,,,,,,,,,,2,,,,9.10,12,17.20,9.1,8.1
Devin Bush,2562243,LB,PIT,@BUF,6,4,,,,1,,,,,,,,,,,,9.21,13,16.90,9.21,7.69
Patrick Queen,2563575,LB,BAL,@LV,6,3,1,1,,,,,,,,,,,1,,,9.45,14,16.60,9.45,7.15
T.J. Watt,2558064,LB,PIT,@BUF,3,,2,1,,1,,,,,,,,,5,,,8.17,15,16.60,8.17,8.43
Deion Jones,2555162,LB,ATL,PHI,4,7,,1,,,,,,,,,,1,,,,11.75,16,16.40,11.75,4.65
Lavonte David,2532828,LB,TB,DAL,5,6,,,,,,,,,,,,1,1,,,11.28,17,16.30,11.28,5.02
Kenny Young,2560947,LB,DEN,@NYG,5,5,,,,,1,,,,,,,1,,,,5.96,18,16.00,5.96,10.04
Cole Holcomb,2562872,LB,WAS,LAC,7,4,,,,,,,,,,,,,1,,,11.53,19,15.60,11.53,4.07
Anthony Walker,2558851,LB,CLE,@KC,8,2,,,,,,,,,,,,,,,,8.60,20,15.20,8.6,6.6
Devin White,2562781,LB,TB,DAL,8,2,,,,,,,,,,,,,,,,13.30,21,15.20,13.3,1.9
Jordyn Brooks,2565135,LB,SEA,@IND,7,4,,,,,,,,,,,,,,,,9.51,22,15.10,9.51,5.59
Von Miller,2495202,LB,LA,CHI,3,,2,3,,,,,,,,,,,3,,,6.21,23,15.10,6.21,8.89
Fred Warner,2560917,LB,SF,@DET,7,4,,,,,,,,,,,,,,,,12.57,24,15.10,12.57,2.53
Roquan Smith,2560877,LB,CHI,@LA,6,5,,,,,,,,,,,,,,,,11.55,25,14.20,11.55,2.65
Myles Jack,2555329,LB,JAX,@HOU,6,3,,1,,,,,,,,,,,,,,12.12,26,14.10,12.12,1.98
Blake Martinez,2555161,LB,NYG,DEN,6,3,,1,,,,,,,,,,,,,,,27,14.10,,
Kyzir White,2560928,LB,LAC,@WAS,3,2,,,,2,,,,,,,,,,,,8.65,28,13.70,8.65,5.05
Denzel Perryman,2552310,LB,LV,BAL,5,5,,,,,1,,,,,,,,,,1,5.07,29,13.53,5.07,8.46
Haason Reddick,2557887,LB,CAR,NYJ,3,1,1.5,,,1,,,,,,,,,2,,,9.00,30,13.40,9.0,4.4
