PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Robbie Gould,2506264,K,SF,@DET,5,,,,,1,1,,,,7.83,1,14.00,7.83,6.17
Joey Slye,2563132,K,FA,Bye,4,,,2,,1,,,,,,2,14.00,,
Chris Boswell,2550545,K,PIT,@BUF,2,,,2,,1,,,,,6.92,3,12.00,6.92,5.08
Matt Gay,2562271,K,LA,CHI,4,,,1,,,1,,,,6.97,4,12.00,6.97,5.03
Dustin Hopkins,2539227,K,LAC,@WAS,1,,,,1,2,,,,,6.51,5,12.00,6.51,5.49
Tyler Bass,2563596,K,BUF,PIT,1,,,1,1,1,,,,,7.12,6,11.00,7.12,3.88
Daniel Carlson,2560993,K,LV,BAL,3,,,,1,,1,,,,7.82,7,11.00,7.82,3.18
Nick Folk,2507225,K,NE,MIA,1,,,1,1,1,,,,,6.67,8,11.00,6.67,4.33
Evan McPherson,2565953,K,CIN,MIN,3,,,,1,,1,,,,6.30,9,11.00,6.3,4.7
Justin Tucker,2536340,K,BAL,@LV,3,,,,,2,,,,,8.06,10,11.00,8.06,2.94
Harrison Butker,2558245,K,KC,CLE,3,,,1,,1,,,,,7.49,11,10.00,7.49,2.51
Brandon McManus,2541556,K,DEN,@NYG,3,,,1,1,,,,,,7.00,12,9.00,7.0,2.0
Aldrick Rosas,2556771,K,FA,Bye,5,,,,,1,,,,,,13,9.00,,
Greg Joseph,2561534,K,MIN,@CIN,3,,,,,,1,,,,7.07,14,8.00,7.07,0.93
Matt Prater,2506677,K,ARI,@TEN,5,,,,1,,,,,,6.44,15,8.00,6.44,1.56
Tristan Vizcaino,2562807,K,LAC,@WAS,2,,,1,1,,,,,,6.32,16,8.00,6.32,1.68
Greg Zuerlein,2534797,K,DAL,@TB,2,1,,1,1,1,,,,1,6.76,17,8.00,6.76,1.24
Jake Elliott,2558172,K,PHI,@ATL,3,,,,,1,,,,,6.05,18,7.00,6.05,0.95
Ryan Succop,89802,K,TB,DAL,4,,,,1,,,,,,8.15,19,7.00,8.15,-1.15
Younghoe Koo,2559205,K,ATL,PHI,,,,2,,,,,,,7.81,20,6.00,7.81,-1.81
Jason Sanders,2561153,K,MIA,@NE,2,,,,,1,,,,,7.00,21,6.00,7.0,-1.0
Austin Seibert,2562729,K,DET,SF,2,,,,,1,,,,,8.17,22,6.00,8.17,-2.17
