PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Ladd McConkey,2572477,WR,LAC,@NE,,,,0.81,,5.22,64.39,0.4,,,,0.07,11.39,17,1,25.40,14.01
Xavier Worthy,2572186,WR,KC,@PIT,,,,6.1,0.05,3.59,44.16,0.33,,,,0.05,9.00,38,2,18.90,9.9
Justin Watson,2560051,WR,KC,@PIT,,,,,,0.99,12.91,0.09,,,,,2.33,107,3,13.00,10.67
Demario Douglas,2570119,WR,NE,LAC,,,,2.03,,3.54,38.58,0.2,,,,0.07,6.89,59,4,12.60,5.71
Derius Davis,2570272,WR,LAC,@NE,,,,2.79,,1.12,14.05,0.09,0.06,,,,3.14,98,5,9.60,6.46
DJ Moore,2560813,WR,CHI,SEA,,,,1.7,,5.9,74.52,0.4,,,,0.07,12.83,9,6,9.20,-3.63
Nico Collins,2566127,WR,HOU,BAL,,,,0.69,,5.57,82.94,0.48,,,,0.14,13.75,5,7,7.40,-6.35
Quentin Johnston,2570275,WR,LAC,@NE,,,,0.44,,3.23,43.22,0.31,,,,0.06,7.72,48,8,7.30,-0.42
Marquise Brown,2562379,WR,KC,@PIT,,,,0.93,,3.71,50.8,0.31,,,,,8.89,39,9,6.60,-2.29
George Pickens,2568159,WR,PIT,KC,,,,0.64,,4.7,69,0.39,,,,0.06,11.53,16,10,6.50,-5.03
Josh Palmer,2566502,WR,LAC,@NE,,,,0.35,,2.88,35.57,0.23,,,,0.06,6.29,66,11,6.10,-0.19
DK Metcalf,2562685,WR,SEA,@CHI,,,,0.28,,4.21,60.57,0.45,,,,0.06,10.77,25,12,5.70,-5.07
John Metchie III,2567682,WR,HOU,BAL,,,,1.23,,2.14,24.82,0.16,,,,,4.64,77,13,5.30,0.66
Calvin Austin III,2568132,WR,PIT,KC,,,,5.59,,3.05,32.65,0.2,,,,,6.55,62,14,5.10,-1.45
Keenan Allen,2540154,WR,CHI,SEA,,,,0.69,,5.27,55.5,0.42,,,,0.14,10.49,28,15,5.00,-5.49
Kayshon Boutte,2570092,WR,NE,LAC,,,,1.38,,3.05,40.25,0.27,,,,,7.31,52,16,4.80,-2.51
Jaxon Smith-Njigba,2570341,WR,SEA,@CHI,,,,0.98,,6.38,69.71,0.43,,,,0.08,12.68,11,17,4.70,-7.98
Xavier Hutchinson,2569825,WR,HOU,BAL,,,,0.98,,0.77,9.21,0.07,,,,0.07,1.68,116,18,4.60,2.92
Zay Flowers,2569573,WR,BAL,@HOU,,,,3.28,,5.16,59.48,0.4,,,,0.06,11.14,20,19,4.10,-7.04
Tyler Lockett,2552430,WR,SEA,@CHI,,,,0.16,,2.11,25.3,0.16,,,,0.03,4.50,83,20,3.50,-1.0
Kendrick Bourne,2558914,WR,NE,LAC,,,,0.63,,2.05,25.87,0.15,,,,0.08,4.42,84,21,3.20,-1.22
Robert Woods,2540169,WR,HOU,BAL,,,,0.7,,2.26,23.22,0.18,,,,,4.60,79,22,3.10,-1.5
JuJu Smith-Schuster,2558149,WR,KC,@PIT,,,,0.07,,0.8,8.47,0.07,,,,0.07,1.53,120,23,2.80,1.27
Anthony Miller,2560810,WR,BAL,@HOU,,,,,,,,,,,,,0.00,319,24,2.10,2.1
Rome Odunze,2571907,WR,CHI,SEA,,,,0.36,,3.58,49.57,0.36,,,,0.06,8.82,40,25,2.00,-6.82
Rashod Bateman,2565836,WR,BAL,@HOU,,,,0.34,,3.15,40.25,0.31,,,,0.07,7.35,50,26,1.70,-5.65
DeAndre Hopkins,2540165,WR,KC,@PIT,,,,0.43,,3.91,44.5,0.37,,,,0.07,8.53,42,27,1.70,-6.83
Tyler Scott,2569630,WR,CHI,SEA,,,,0.09,,0.07,0.75,0.01,,,,,0.18,156,28,1.50,1.32
Dareke Young,2568291,WR,SEA,@CHI,,,,,,,,,,,,,0.00,434,29,1.50,1.5
Tylan Wallace,2565857,WR,BAL,@HOU,,,,0.85,,1.06,13.52,,,,,,1.97,111,30,1.30,-0.67
Davante Adams,2543495,WR,NYJ,@BUF,,,,0.31,,5.28,68.63,0.55,,,,0.11,12.61,12,31,0.00,-12.61
Jordan Addison,2570074,WR,MIN,GB,,,,1.1,,4.2,57.88,0.37,,,,0.06,10.10,33,32,0.00,-10.1
Nelson Agholor,2552600,WR,BAL,@HOU,,,,,,,,,,,,,0.00,157,33,0.00,0.0
Brandon Aiyuk,2565093,WR,SF,DET,,,,,,,,,,,,,0.00,158,34,0.00,0.0
Maurice Alexander,2569528,WR,DET,@SF,,,,,,,,,,,,,0.00,159,35,0.00,0.0
Josh Ali,2569533,WR,FA,Bye,,,,,,,,,,,,,,160,36,0.00,
Kazmeir Allen,2571641,WR,WAS,ATL,,,,,,,,,,,,,0.00,161,37,0.00,0.0
Daniel Arias,2571074,WR,FA,Bye,,,,,,,,,,,,,,162,38,0.00,
Ayir Asante,2573488,WR,FA,Bye,,,,,,,,,,,,,,163,39,0.00,
Tutu Atwell,2566196,WR,LAR,ARI,,,,1.45,,1.6,20.19,0.15,,,,,3.86,91,40,0.00,-3.86
Kevin Austin Jr.,2568954,WR,NO,LV,,,,,,1.36,8.59,0.1,,,,,2.14,109,41,0.00,-2.14
Andre Baccellia,2564250,WR,ARI,@LAR,,,,,,,,,,,,,0.00,164,42,0.00,0.0
Alex Bachman,2563301,WR,LV,@NO,,,,,,,,,,,,,0.00,165,43,0.00,0.0
Javon Baker,2572285,WR,NE,LAC,,,,0.16,,0.28,3.45,0.02,,,,,0.62,142,44,0.00,-0.62
Jelani Baker,2572588,WR,FA,Bye,,,,,,,,,,,,,,166,45,0.00,
Kawaan Baker,2566349,WR,FA,Bye,,,,,,,,,,,,,,167,46,0.00,
Daylen Baldwin,2569519,WR,FA,Bye,,,,,,,,,,,,,,168,47,0.00,
Michael Bandy,2567175,WR,DEN,@CIN,,,,,,,,,,,,,0.00,169,48,0.00,0.0
Odell Beckham Jr.,2543496,WR,FA,Bye,,,,,,,,,,,,,,170,49,0.00,
David Bell,2567460,WR,CLE,MIA,,,,,,,,,,,,,0.00,171,50,0.00,0.0
Ronnie Bell,2570290,WR,SF,DET,,,,,,,,,,,,,0.00,172,51,0.00,0.0
Braxton Berrios,2560975,WR,MIA,@CLE,,,,,,,,,,,,,0.00,173,52,0.00,0.0
Tarik Black,2565594,WR,MIA,@CLE,,,,,,,,,,,,,0.00,174,53,0.00,0.0
Chris Blair,2565588,WR,ATL,@WAS,,,,,,,,,,,,,0.00,175,54,0.00,0.0
Jake Bobo,2571378,WR,SEA,@CHI,,,,0.18,,0.88,10.77,0.09,,,,,2.08,110,55,0.00,-2.08
Tyler Boyd,2555466,WR,TEN,@JAX,,,,0.21,,1.12,11.48,0.08,,,,0.03,2.15,108,56,0.00,-2.15
Miles Boykin,2562631,WR,SEA,@CHI,,,,,,,,,,,,,0.00,176,57,0.00,0.0
Jalen Brooks,2569696,WR,DAL,@PHI,,,,,,1.2,14.46,0.09,,,,,2.59,105,58,0.00,-2.59
Phillip Brooks,2572814,WR,FA,Bye,,,,,,,,,,,,,,177,59,0.00,
A.J. Brown,2562238,WR,PHI,DAL,,,,0.36,,5.22,78.5,0.47,,,,0.12,13.08,7,60,0.00,-13.08
Ahmarean Brown,2573019,WR,FA,Bye,,,,,,,,,,,,,,178,61,0.00,
Dyami Brown,2566586,WR,WAS,ATL,,,,,,,,,,,,,0.00,179,62,0.00,0.0
Noah Brown,2558091,WR,WAS,ATL,,,,,,,,,,,,,0.00,180,63,0.00,0.0
Reggie Brown,2572817,WR,FA,Bye,,,,,,,,,,,,,,181,64,0.00,
Jason Brownlee,2570608,WR,NYJ,@BUF,,,,,,,,,,,,,0.00,182,65,0.00,0.0
Martavis Bryant,2543572,WR,FA,Bye,,,,,,,,,,,,,,183,66,0.00,
Cole Burgess,2572983,WR,CIN,DEN,,,,,,,,,,,,,0.00,184,67,0.00,0.0
Treylon Burks,2567643,WR,TEN,@JAX,,,,,,,,,,,,,0.00,185,68,0.00,0.0
Deontay Burnett,2560985,WR,FA,Bye,,,,,,,,,,,,,,186,69,0.00,
