PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Chad Ryland,2570125,K,ARI,@MIN,,,,,,,,,,,0.00,47,1,17.00,17.0
Chris Boswell,2550545,K,PIT,@CIN,2.07,0.12,,0.41,0.53,0.47,0.24,,,,7.61,15,2,16.00,8.39
Chase McLaughlin,2563203,K,TB,@CAR,2.18,0.12,,0.44,0.56,0.5,0.25,,,0.06,8.01,10,3,16.00,7.99
John Parker Romo,2569101,K,MIN,ARI,2.25,0.32,,0.32,0.64,0.32,0.32,,,,7.05,26,4,14.00,6.95
Matthew Wright,2562968,K,KC,LV,2.8,0.01,,0.33,0.33,0.56,0.31,,,,8.54,4,5,14.00,5.46
Ka'imi Fairbairn,2556521,K,HOU,@JAX,2.78,0.12,,0.41,0.53,0.41,0.24,,,0.06,8.02,8,6,13.00,4.98
Brandon McManus,2541556,K,GB,MIA,2.37,0.26,,0.26,0.53,0.53,0.26,,,,7.38,19,7,13.00,5.62
Jake Bates,2571759,K,DET,CHI,2.98,0.19,,0.38,0.51,0.51,0.19,,,0.06,8.01,9,8,12.00,3.99
Cameron Dicker,2568435,K,LAC,@ATL,2.34,0.12,,0.41,0.53,0.47,0.29,,,0.06,8.07,7,9,12.00,3.93
Wil Lutz,2556601,K,DEN,CLE,2.1,0.12,,0.41,0.47,0.41,0.23,,,0.06,7.11,24,10,11.00,3.89
Eddy Pineiro,2560842,K,CAR,TB,1.92,0.11,,0.34,0.45,0.34,0.23,,,,6.47,31,11,11.00,4.53
Blake Grupe,2571234,K,NO,LAR,2.23,0.12,,0.41,0.53,0.41,0.23,,,0.06,7.42,18,12,10.50,3.08
Graham Gano,71309,K,NYG,@DAL,1.8,0.11,,0.44,0.49,0.44,0.16,,,0.05,6.77,27,13,10.00,3.23
Joey Slye,2563132,K,NE,IND,2.06,0.12,,0.42,0.48,0.42,0.24,,,0.06,7.22,21,14,10.00,2.78
Jason Myers,2553112,K,SEA,@NYJ,2.17,0.11,,0.4,0.51,0.46,0.17,,,0.06,7.20,23,15,9.50,2.3
Brandon Aubrey,2571750,K,DAL,NYG,2.72,0.11,,0.51,0.51,0.4,0.28,,,0.06,8.39,5,16,9.00,0.61
Nick Folk,2507225,K,TEN,@WAS,1.77,0.11,,0.43,0.48,0.43,0.16,,,0.05,6.64,29,17,9.00,2.36
Evan McPherson,2565953,K,CIN,PIT,2.92,0.12,,0.43,0.49,0.55,0.3,,,,9.02,2,18,8.00,-1.02
Dustin Hopkins,2539227,K,CLE,@DEN,2.24,0.11,,0.38,0.49,0.44,0.22,,,0.05,7.33,20,19,7.00,-0.33
Younghoe Koo,2559205,K,ATL,LAC,2.38,0.06,,0.49,0.55,0.43,0.37,,,,8.89,3,20,7.00,-1.89
Tyler Bass,2563596,K,BUF,SF,2.7,0.12,,0.43,0.55,0.43,0.25,,,0.06,8.19,6,21,6.50,-1.69
Jake Elliott,2558172,K,PHI,@BAL,2.48,0.12,,0.42,0.48,0.48,0.24,,,0.06,7.88,12,22,6.00,-1.88
Zane Gonzalez,2558178,K,WAS,TEN,2.08,0.26,,0.52,0.52,0.52,0.26,,,,7.80,13,23,6.00,-1.8
Cam Little,2572147,K,JAX,HOU,2.17,0.1,,0.36,0.52,0.36,0.16,,,,6.75,28,24,6.00,-0.75
Justin Tucker,2536340,K,BAL,PHI,3.05,0.06,,0.51,0.57,0.57,0.32,,,,9.99,1,25,6.00,-3.99
Daniel Carlson,2560993,K,LV,@KC,1.86,0.05,,0.41,0.46,0.36,0.26,,,,7.06,25,26,5.00,-2.06
Matt Gay,2562271,K,IND,@NE,2.07,0.12,,0.41,0.53,0.41,0.3,,,0.06,7.61,16,27,5.00,-2.61
Jason Sanders,2561153,K,MIA,@GB,2.66,0.12,,0.4,0.46,0.46,0.17,,,0.06,7.51,17,28,4.50,-3.01
Jake Moody,2570308,K,SF,@BUF,2.37,0.14,,0.34,0.44,0.34,0.19,,,0.05,6.55,30,29,4.00,-2.55
Joshua Karty,2572201,K,LAR,@NO,2.62,0.12,,0.42,0.48,0.48,0.18,,,0.06,7.72,14,30,3.00,-4.72
Cairo Santos,2550636,K,CHI,@DET,2.07,0.11,,0.38,0.49,0.44,0.22,,,,7.21,22,31,2.00,-5.21
Ramiz Ahmed,2563692,K,FA,Bye,,,,,,,,,,,,32,32,0.00,
Mike Badgley,2560965,K,DET,CHI,,,,,,,,,,,0.00,33,33,0.00,0.0
Tanner Brown,2569984,K,FA,Bye,,,,,,,,,,,,34,34,0.00,
Harrison Butker,2558245,K,KC,LV,,,,,,,,,,,0.00,35,35,0.00,0.0
Alex Hale,2573890,K,GB,MIA,,,,,,,,,,,0.00,36,36,0.00,0.0
Lucas Havrisik,2569534,K,FA,Bye,,,,,,,,,,,,37,37,0.00,
Greg Joseph,2561534,K,FA,Bye,,,,,,,,,,,,38,38,0.00,
Brett Maher,2540243,K,FA,Bye,,,,,,,,,,,,39,39,0.00,
