PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Nick Mullens,2558979,QB,MIN,TB,,,,,,,,,,,,,16.43,,,,,,,,,,89,0.00
Kyler Murray,2562382,QB,ARI,@WAS,,,,,,,,,,,,,-0.09,,,,,,,,,,90,0.00
Aidan O'Connell,2570044,QB,LV,@DEN,,,,,,,,,,,,,14.10,,,,,,,,,,91,0.00
Chris Oladokun,2568153,QB,KC,DET,,,,,,,,,,,,,19.54,,,,,,,,,,92,0.00
Bryce Perkins,2564382,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,93,0.00
E.J. Perry,2567769,QB,JAX,@IND,,,,,,,,,,,,,15.74,,,,,,,,,,94,0.00
Nathan Peterman,2558191,QB,CHI,GB,,,,,,,,,,,,,14.54,,,,,,,,,,95,0.00
Aaron Rodgers,2506363,QB,NYJ,BUF,,,,,,,,,,,,,9.70,,,,,,,,,,96,0.00
Nathan Rourke,2569885,QB,NE,PHI,,,,,,,,,,,,,24.14,,,,,,,,,,97,0.00
Mason Rudolph,2560860,QB,PIT,SF,,,,,,,,,,,,,9.68,,,,,,,,,,98,0.00
Cooper Rush,2559242,QB,DAL,@NYG,,,,,,,,,,,,,6.32,,,,,,,,,,99,0.00
Brett Rypien,2562718,QB,NYJ,BUF,,,,,,,,,,,,,9.70,,,,,,,,,,100,0.00
Trevor Siemian,2553457,QB,NYJ,BUF,,,,,,,,,,,,,9.70,,,,,,,,,,101,0.00
Easton Stick,2562745,QB,LAC,MIA,,,,,,,,,,,,,20.86,,,,,,,,,,102,0.00
Jarrett Stidham,2562746,QB,DEN,LV,,,,,,,,,,,,,15.18,,,,,,,,,,103,0.00
Chris Streveler,2563458,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,104,0.00
Nate Sudfeld,2555427,QB,DET,@KC,,,,,,,,,,,,,15.02,,,,,,,,,,105,0.00
Skylar Thompson,2567895,QB,MIA,@LAC,,,,,,,,,,,,,25.84,,,,,,,,,,106,0.00
Dorian Thompson-Robinson,2569672,QB,CLE,CIN,,,,,,,,,,,,,19.66,,,,,,,,,,107,0.00
Kyle Trask,2566571,QB,TB,@MIN,,,,,,,,,,,,,16.02,,,,,,,,,,108,0.00
Mitchell Trubisky,2558008,QB,PIT,SF,,,,,,,,,,,,,9.68,,,,,,,,,,109,0.00
Clayton Tune,2570236,QB,ARI,@WAS,,,,,,,,,,,,,-0.09,,,,,,,,,,110,0.00
PJ Walker,2558904,QB,CLE,CIN,,,,,,,,,,,,,19.66,,,,,,,,,,111,0.00
Carson Wentz,2555259,QB,LA,@SEA,,,,,,,,,,,,,14.46,,,,,,,,,,112,0.00
Mike White,2560929,QB,MIA,@LAC,,,,,,,,,,,,,25.84,,,,,,,,,,113,0.00
Malik Willis,2567667,QB,TEN,@NO,,,,,,,,,,,,,2.42,,,,,,,,,,114,0.00
Dresser Winn,2569990,QB,LA,@SEA,,,,,,,,,,,,,14.46,,,,,,,,,,115,0.00
Jameis Winston,2552033,QB,NO,TEN,,,,,,,,,,,,,14.60,,,,,,,,,,116,0.00
John Wolford,2561718,QB,TB,@MIN,,,,,,,,,,,,,16.02,,,,,,,,,,117,0.00
Logan Woodside,2560942,QB,ATL,CAR,,,,,,,,,,,,,7.40,,,,,,,,,,118,0.00
Bailey Zappe,2567961,QB,NE,PHI,,,,,,,,,,,,,24.14,,,,,,,,,,119,0.00
Joshua Dobbs,2558167,QB,MIN,TB,132,,,-3,,,,,,,,3,16.43,3,,3,,,,,1,,120,-0.09
Jake Browning,2562634,QB,CIN,@CLE,,,,-1,,,,,,,,,3.08,1,,1,,,,,,,121,-0.10
Sam Darnold,2561036,QB,SF,@PIT,,,,-2,,,,,,,,,15.60,2,,2,,,,,,,122,-0.20
Sean Clifford,2569762,QB,GB,@CHI,,,,,,,,,,,,1,20.97,1,,1,,,,,,,123,-1.03
