PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Myles Garrett,2557965,DL,CLE,TEN,4,1,3.5,3,,1,,,,,,,,,5,,,6.23,1,24.10,17.87
Aidan Hutchinson,2567547,DL,DET,ATL,3,1,2,1,,1,1,,,,,,,2,1,,,6.23,2,20.60,14.37
Jarran Reed,2555238,DL,SEA,CAR,5,3,2,2,,,,,,,,,,1,3,,,3.85,3,20.30,16.45
A.J. Epenesa,2563605,DL,BUF,@WAS,1,,1,1,1,,,1,,,,,,1,1,32,,2.80,4,16.57,13.77
Aaron Donald,2543485,DL,LA,@CIN,5,2,1,2,,,,,,,,,,,2,,,6.76,5,14.70,7.94
Brian Burns,2562242,DL,CAR,@SEA,3,1,1,3,,,,,,,,,,,3,,,5.74,6,13.10,7.36
Emmanuel Ogbah,2555278,DL,MIA,DEN,1,2,1,1,1,,,,,,,,,1,1,5,,1.74,7,12.87,11.13
Sam Hubbard,2560745,DL,CIN,LA,5,1,1,1,,,,,,,,,,,2,,,5.44,8,12.60,7.16
Demarcus Lawrence,2543490,DL,DAL,@ARI,4,1,1,2,,,,,,,,,,,2,,,4.30,9,12.60,8.3
Leonard Floyd,2555285,DL,BUF,@WAS,2,1,2,2,,,,,,,,,,,3,,,5.20,10,12.10,6.9
Ed Oliver,2562322,DL,BUF,@WAS,2,2,1.5,2,,,,,,,,,,,2,,,4.07,11,11.20,7.13
Denico Autry,2550646,DL,TEN,@CLE,2,,1,1,,1,,,,,,,,,2,,,4.94,12,11.00,6.06
Trey Hendrickson,2557943,DL,CIN,LA,2,,2,2,,,,,,,,,,,2,,,3.85,13,11.00,7.15
Jalen Carter,2570203,DL,PHI,@TB,1,1,0.5,,,2,,,,,,,,,1,,,2.58,14,10.60,8.02
Sebastian Joseph-Day,2561079,DL,SF,NYG,2,2,1,2,,,,,,,,,,,2,,,4.27,15,10.20,5.93
Charles Harris,2558001,DL,DET,ATL,3,,1,2,,,,,,,,,,,1,,,5.12,16,10.00,4.88
Zach Allen,2562219,DL,DEN,@MIA,3,4,,2,,,,,,,,,,,,,,5.65,17,9.90,4.25
Kwity Paye,2565612,DL,IND,@BAL,3,,1,1,,,1,,,,,,,,1,,,5.33,18,9.50,4.17
DaQuan Jones,2543504,DL,BUF,@WAS,1,4,1.5,1,,,,,,,,,,,2,,,2.88,19,9.40,6.52
Leonard Williams,2552486,DL,SEA,CAR,4,2,0.5,,,,,,,,,,,,2,,,5.44,20,9.20,3.76
Will Anderson Jr.,2569834,DL,HOU,@JAX,3,1,,,,,,,,,,,1,,2,,,4.54,21,9.10,4.56
Kenny Clark,2555282,DL,GB,NO,3,1,1,1,,,,,,,,,,,1,,,4.28,22,9.10,4.82
Alex Wright,2567484,DL,CLE,TEN,3,1,1,1,,,,,,,,,,,1,,,1.68,23,9.10,7.42
Christian Barmore,2566328,DL,NE,@NYJ,1,1,1,1,,,,,,,,,,1,1,,,3.21,24,8.60,5.39
Michael Danna,2564262,DL,KC,CHI,3,,1,1,,,,,,,,,,,1,,,4.82,25,8.50,3.68
Daron Payne,2560834,DL,WAS,BUF,3,,,1,,,,,,,,,,1,,,,6.07,26,8.50,2.43
Nick Bosa,2562629,DL,SF,NYG,2,1,1,1,,,,,,,,,,,2,,,5.67,27,8.10,2.43
Alim McNeill,2566061,DL,DET,ATL,2,1,1,1,,,,,,,,,,,2,,,4.26,28,8.10,3.84
Dexter Lawrence,2562301,DL,NYG,@SF,4,3,,,,,,,,,,,,,,,,5.75,29,7.80,2.05
