PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Will Reichard,2572273,K,MIN,PHI,2.2,0.12,,0.36,0.48,0.48,0.36,,,0.06,7.90,13,1,18.00,10.1
Brandon Aubrey,2571750,K,DAL,WAS,2.58,0.07,,0.48,0.54,0.61,0.61,,,0.07,10.78,1,2,17.00,6.22
Evan McPherson,2565953,K,CIN,PIT,2.52,0.12,,0.35,0.47,0.47,0.29,,,0.06,7.77,15,3,17.00,9.23
Jake Moody,2570308,K,CHI,NO,2.88,0.13,,0.33,0.59,0.52,0.26,,,0.07,8.43,7,4,14.00,5.57
Chad Ryland,2570125,K,ARI,GB,2.01,0.12,,0.36,0.47,0.47,0.3,,,0.06,7.34,23,5,12.00,4.66
Jason Myers,2553112,K,SEA,HOU,2.06,0.13,,0.44,0.5,0.5,0.25,,,0.06,7.55,19,6,11.50,3.95
Lucas Havrisik,2569534,K,GB,@ARI,,,,,,,,,,,0.00,36,7,11.00,11.0
Eddy Pineiro,2560842,K,SF,ATL,2.21,0.25,,0.25,0.74,0.49,0.25,,,,7.64,16,8,11.00,3.36
Joey Slye,2563132,K,TEN,NE,1.69,0.12,,0.35,0.41,0.41,0.29,,,0.06,6.52,27,9,10.00,3.48
Jake Bates,2571759,K,DET,TB,3.26,0.14,,0.35,0.55,0.55,0.42,,,0.07,9.63,2,10,8.00,-1.63
Chris Boswell,2550545,K,PIT,@CIN,2.22,0.07,,0.46,0.59,0.52,0.39,,,,9.06,4,11,8.00,-1.06
Ka'imi Fairbairn,2556521,K,HOU,@SEA,2.2,0.12,,0.42,0.54,0.48,0.36,,,0.06,8.26,10,12,8.00,-0.26
