PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Jonathan Allen,2557844,DL,WAS,@DAL,5,3,1,4,,,,,,,,,,1,1,,,5.62,1,21.90,16.28
Zach Allen,2562219,DL,ARI,@CAR,3,3,1,1,,,,,,,,,,3,2,,,6.29,2,19.50,13.21
Maxx Crosby,2562439,DL,LV,DEN,4,,2,4,,,,,,,,,,,2,,,8.30,3,17.80,9.5
Brian Burns,2562242,DL,CAR,ARI,4,3,1,3,,,,,,,,,,,,,,5.61,4,15.70,10.09
Nick Bosa,2562629,DL,SF,LA,3,,2,2,,,,,,,,,,,5,,,6.52,5,14.60,8.08
Jarran Reed,2555238,DL,GB,NE,4,4,1,1,,,,,,,,,,,1,,,5.13,6,14.00,8.87
Denico Autry,2550646,DL,TEN,@IND,2,,2,1,,1,,,,,,,,,3,,,4.00,7,13.90,9.9
Dexter Lawrence,2562301,DL,NYG,CHI,2,3,2,1,,,,,,,,,,,3,,,5.86,8,12.80,6.94
D.J. Jones,2558265,DL,DEN,@LV,2,1,1,2,,,,,,,,,,1,2,,,4.84,9,12.70,7.86
Quinnen Williams,2562599,DL,NYJ,@PIT,3,3,1,1,,,,,,,,,,,2,,,5.69,10,12.00,6.31
Teair Tart,2565474,DL,TEN,@IND,1,2,,,1,,,,,,,,,2,,,,2.27,11,11.80,9.53
Roy Robertson-Harris,2556665,DL,JAX,@PHI,3,6,,1,,,,,,,,,,,,,,4.44,12,11.40,6.96
Sam Hubbard,2560745,DL,CIN,MIA,3,2,,2,,,,,,,,,,,3,,,6.96,13,11.20,4.24
Grady Jarrett,2552327,DL,ATL,CLE,3,2,1,1,,,,,,,,,,,2,,,6.51,14,11.20,4.69
Aaron Donald,2543485,DL,LA,@SF,4,1,,2,,,,,,,,,,,1,,,7.58,15,11.10,3.52
Sebastian Joseph-Day,2561079,DL,LAC,@HOU,2,2,1,2,,,,,,,,,,,2,,,5.80,16,11.00,5.2
Dalvin Tomlinson,2557846,DL,MIN,@NO,1,3,1,,,1,,,,,,,,,2,,,4.75,17,10.60,5.85
Cameron Jordan,2495184,DL,NO,MIN,3,3,0.5,,,,,,,,,,,,3,,,7.10,18,10.00,2.9
Josh Sweat,2560889,DL,PHI,JAX,5,,,1,,,,,,,,,,,,,,4.84,19,10.00,5.16
Jermaine Johnson II,2568033,DL,NYJ,@PIT,3,1,1,1,,,,,,,,,,,1,,,2.42,20,9.90,7.48
D.J. Wonnum,2564583,DL,MIN,@NO,4,2,,1,,,,,,,,,,,,,,3.20,21,9.90,6.7
Dre'Mont Jones,2562412,DL,DEN,@LV,4,,,2,,,,,,,,,,,,,,6.35,22,9.80,3.45
Justin Madubuike,2563563,DL,BAL,BUF,1,2,,1,,,,,,,,,,2,,,,4.10,23,9.80,5.7
Daron Payne,2560834,DL,WAS,@DAL,2,3,,1,,,,,,,,,,1,,,,6.41,24,9.80,3.39
Justin Jones,2560769,DL,CHI,@NYG,2,4,,2,,,,,,,,,,,,,,5.03,25,9.60,4.57
Dante Fowler Jr.,2553431,DL,DAL,WAS,2,,1,2,,,,,,,,,,,2,,,3.30,26,9.40,6.1
Jordan Elliott,2563779,DL,CLE,@ATL,3,,1,1,,,,,,,,,,,1,,,3.72,27,9.10,5.38
Josh Tupou,2559003,DL,CIN,MIA,3,,1,1,,,,,,,,,,,1,,,1.68,28,9.10,7.42
Neville Gallimore,2563842,DL,DAL,WAS,2,,1,2,,,,,,,,,,,1,,,3.43,29,8.90,5.47
John Franklin-Myers,2560731,DL,NYJ,@PIT,3,4,,,,,,,,,,,,,,,,3.33,30,8.30,4.97
J.J. Watt,2495488,DL,ARI,@CAR,1,2,,,,,,,,,,,,2,,,,5.19,31,8.30,3.11
Travon Walker,2567778,DL,JAX,@PHI,3,2,,1,,,,,,,,,,,,,,6.03,32,8.20,2.17
Ta'Quon Graham,2565815,DL,ATL,CLE,4,1,,,,,,,,,,,,,1,,,2.88,33,8.10,5.22
Alex Highsmith,2564982,DL,PIT,NYJ,1,3,1,1,,,,,,,,,,,1,,,9.20,34,8.10,-1.1
Kwity Paye,2565612,DL,IND,TEN,1,2,1,1,,,,,,,,,,,2,,,5.10,35,7.80,2.7
Adam Gotsis,2555502,DL,JAX,@PHI,,4,0.5,,,,,,,,,,,1,2,,,2.51,36,7.70,5.19
Jerry Tillery,2562763,DL,LAC,@HOU,1,,1,,,1,,,,,,,,,1,,,2.90,37,7.70,4.8
Kevin Givens,2562655,DL,SF,LA,1,2,,1,,,,,,,,,,1,,,,4.37,38,7.30,2.93
Dean Lowry,2555274,DL,GB,NE,2,3,0.5,,,,,,,,,,,,1,,,4.61,39,7.30,2.69
Rasheem Green,2560998,DL,HOU,LAC,2,1,0.5,1,,,,,,,,,,,1,,,4.22,40,7.20,2.98
