PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Christian McCaffrey,2557997,RB,SF,,,,1459,14,67,564,7,,,,3,14.34,272,67,339,67,83,81,16,75,39,1,359.80
Travis Etienne,2566157,RB,JAX,,,,1008,11,58,476,1,,,2,,17.56,267,58,325,58,73,79,2,39,15,2,256.40
Breece Hall,2568030,RB,NYJ,,,,994,5,76,591,4,,,1,2,18.23,223,76,299,76,95,80,5,25,17,3,254.50
Raheem Mostert,2553728,RB,MIA,,,,1012,18,25,175,3,,,,4,18.86,209,25,234,25,32,78,5,50,32,4,250.17
Joe Mixon,2557976,RB,CIN,,,,1034,9,52,376,3,,,1,,17.35,257,52,309,52,64,81,13,67,42,5,241.00
Rachaad White,2568315,RB,TB,,,,990,6,64,549,3,,,,3,24.57,272,64,336,64,70,91,8,45,23,6,238.50
Kyren Williams,2567862,RB,LA,,,,1144,12,32,206,3,,,1,3,17.08,228,32,260,32,48,67,12,55,34,7,238.50
Derrick Henry,2556075,RB,TEN,14,2,,1167,12,28,214,,,,,,18.45,280,28,308,28,36,78,2,37,20,8,233.66
Bijan Robinson,2569558,RB,ATL,,,,976,4,58,487,4,,,,4,16.73,214,58,272,58,86,67,10,27,18,9,218.07
Jahmyr Gibbs,2569747,RB,DET,,,,945,10,52,316,1,,,,2,16.83,182,52,234,52,71,73,7,41,24,10,214.10
James Cook,2567328,RB,BUF,,,,1122,2,44,445,4,,,,4,17.84,237,44,281,44,54,81,6,35,17,11,209.20
Saquon Barkley,2560968,RB,NYG,,,,962,6,41,280,4,,,1,2,17.09,247,41,288,41,60,68,5,41,22,12,203.70
David Montgomery,2562502,RB,DET,,,,1015,13,16,117,,,,1,2,16.83,219,16,235,16,24,67,,50,24,13,199.70
Alvin Kamara,2558019,RB,NO,,,,694,5,75,466,1,,,3,,16.45,180,75,255,75,86,87,8,44,20,14,196.10
Isiah Pacheco,2567808,RB,KC,,,,935,7,44,244,2,,,,1,21.43,205,44,249,44,49,90,8,49,23,15,191.73
Jerome Ford,2567469,RB,CLE,,,,813,4,44,319,5,,,1,1,20.21,204,44,248,44,63,70,6,21,12,16,191.20
Tony Pollard,2562699,RB,DAL,,,,1005,6,55,311,,,,1,3,23.40,252,55,307,55,67,82,12,70,29,17,191.10
James Conner,2557978,RB,ARI,,,,1040,7,27,165,2,,,,,24.34,208,27,235,27,33,82,5,35,20,18,190.00
Kenneth Walker III,2568282,RB,SEA,,,,905,8,29,259,1,,,,1,26.10,219,29,248,29,37,78,3,39,21,19,185.17
Gus Edwards,2561324,RB,BAL,,,,810,13,12,180,,,,1,3,20.55,198,12,210,12,13,92,,39,26,20,181.50
Najee Harris,2566448,RB,PIT,,,,1035,8,29,170,,,,,2,17.64,255,29,284,29,38,76,3,45,23,21,179.00
Brian Robinson,2568348,RB,WAS,,,,733,5,36,368,4,,,1,4,17.27,178,36,214,36,43,84,4,31,13,22,177.60
De'Von Achane,2570062,RB,MIA,,,,800,8,27,197,3,,,,1,18.86,103,27,130,27,37,73,6,24,19,23,177.20
D'Andre Swift,2563965,RB,PHI,,,,1049,5,39,214,1,,,,3,21.73,229,39,268,39,49,80,4,39,24,24,176.80
Jaylen Warren,2568493,RB,PIT,,,,784,4,61,370,,,,,4,17.64,149,61,210,61,74,82,5,21,7,25,161.90
Josh Jacobs,2562377,RB,LV,,,,805,6,37,296,,,,,3,25.22,233,37,270,37,54,69,6,40,21,26,161.60
