PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
CeeDee Lamb,2563848,WR,DAL,,,,113,2,135,1749,12,,,1,3,36.23,14,135,149,135,181,75,31,20,22,1,336.20
Tyreek Hill,2556214,WR,MIA,,,,15,,119,1799,13,,,,1,25.33,6,119,125,119,171,70,23,14,14,2,324.40
Amon-Ra St. Brown,2566073,WR,DET,,,,24,,119,1515,10,,,,1,31.78,4,119,123,119,164,73,23,16,11,3,279.10
DJ Moore,2560813,WR,CHI,,,,21,1,96,1364,8,,,,1,27.42,4,96,100,96,136,71,11,8,7,4,246.50
Puka Nacua,2570026,WR,LA,,,,89,,105,1486,6,,,,1,29.51,12,105,117,105,160,66,16,11,11,5,246.50
Mike Evans,2543468,WR,TB,,,,,,79,1255,13,,,,,23.01,,79,79,79,136,58,14,5,12,6,245.50
A.J. Brown,2562238,WR,PHI,,,,,,106,1456,7,,,,2,32.28,,106,106,106,158,67,15,8,8,7,238.10
Nico Collins,2566127,WR,HOU,,,,7,,80,1297,8,,,1,1,26.23,1,80,81,80,109,73,15,9,8,8,224.40
Keenan Allen,2540154,WR,LAC,49,1,,6,,108,1243,7,,,,2,22.67,2,108,110,108,150,72,12,7,10,9,223.86
Stefon Diggs,2552608,WR,BUF,,,,5,,107,1183,8,,,1,2,28.97,1,107,108,107,160,67,14,10,4,10,222.80
Davante Adams,2543495,WR,LV,,,,,,103,1144,8,,,,,24.30,,103,103,103,175,59,29,16,20,11,215.40
Ja'Marr Chase,2565941,WR,CIN,-7,,,-6,,100,1216,7,,,,1,23.03,3,100,103,100,145,69,19,12,11,12,214.72
Brandon Aiyuk,2565093,WR,SF,,,,,,75,1342,7,,,,1,31.28,,75,75,75,105,71,8,5,4,13,213.20
Deebo Samuel,2562721,WR,SF,,,,225,5,60,892,7,,,,1,31.28,37,60,97,60,89,67,17,20,6,14,211.70
Michael Pittman,2564136,WR,IND,,,,,,109,1152,4,,,2,2,27.48,,109,109,109,156,70,19,13,6,15,197.20
DK Metcalf,2562685,WR,SEA,,,,,,66,1114,8,,,,,27.53,,66,66,66,119,55,23,9,11,16,195.40
Jordan Addison,2570074,WR,MIN,,,,2,,70,911,10,,,,,33.34,1,70,71,70,108,65,15,8,10,17,193.60
Amari Cooper,2552487,WR,CLE,,,,,,72,1250,5,,,1,2,30.62,,72,72,72,128,56,13,5,4,18,191.50
Calvin Ridley,2560854,WR,JAX,,,,23,,76,1016,8,,,1,1,30.92,9,76,85,76,136,56,26,8,15,19,191.40
DeAndre Hopkins,2540165,WR,TEN,,,,9,,75,1057,7,,,,,30.07,2,75,77,75,137,55,17,8,15,20,190.60
DeVonta Smith,2566409,WR,PHI,,,,,,81,1066,7,,,,1,32.28,,81,81,81,112,72,6,3,4,21,190.10
Chris Olave,2567973,WR,NO,,,,,,87,1123,5,,,1,,23.01,,87,87,87,138,63,11,7,9,22,189.30
Jakobi Meyers,2562492,WR,LV,12,1,,24,2,71,807,8,,,,,24.30,4,71,75,71,106,67,15,12,10,23,185.61
Jayden Reed,2569765,WR,GB,,,,119,2,64,793,8,,,1,2,26.99,11,64,75,64,94,68,14,11,9,24,183.70
Terry McLaurin,2562489,WR,WAS,,,,,,79,1002,4,,1,,,24.83,,79,79,79,132,60,8,5,3,25,178.20
Rashee Rice,2569921,WR,KC,,,,-3,,79,938,7,,,,2,34.09,1,79,80,79,102,77,22,15,10,26,176.50
Adam Thielen,2541785,WR,CAR,,,,6,,103,1014,4,,,1,2,31.16,1,103,104,103,137,75,14,9,15,27,175.50
George Pickens,2568159,WR,PIT,,,,18,,63,1140,5,,,,3,25.40,3,63,66,63,106,59,8,2,4,28,172.90
Justin Jefferson,2564556,WR,MIN,,,,-12,,68,1074,5,,,,1,33.34,1,68,69,68,100,68,11,4,6,29,172.20
Garrett Wilson,2568048,WR,NYJ,,,,,,95,1042,3,,,,2,27.94,4,95,99,95,168,57,16,9,13,30,171.70
Chris Godwin,2558105,WR,TB,,,,38,1,83,1024,2,,,1,,23.01,4,83,87,83,130,64,16,6,9,31,169.80
Zay Flowers,2569573,WR,BAL,,,,56,1,77,858,5,,,1,,27.33,8,77,85,77,108,71,13,9,12,32,169.40
Tyler Lockett,2552430,WR,SEA,,,,,,79,894,5,,,2,,27.53,,79,79,79,122,65,12,6,8,33,167.40
Jaylen Waddle,2566292,WR,MIA,,,,12,,72,1014,4,,,,,25.33,3,72,75,72,104,69,8,3,8,34,167.10
Courtland Sutton,2560888,WR,DEN,,,,,,59,772,10,,,,3,26.41,,59,59,59,90,66,17,11,7,35,160.70
Romeo Doubs,2567586,WR,GB,,,,,,59,674,8,,,,1,26.99,,59,59,59,96,61,18,7,7,36,145.90
Gabe Davis,2563602,WR,BUF,,,,-2,,45,746,7,,,1,1,28.97,1,45,46,45,81,56,11,6,8,37,144.90
Drake London,2567250,WR,ATL,22,,,,,69,905,2,,,1,,26.73,,69,69,69,110,63,16,10,11,38,144.38
Brandin Cooks,2543498,WR,DAL,,,,35,,54,657,8,,,1,1,36.23,5,54,59,54,81,67,12,10,12,39,144.20
Tank Dell,2569813,WR,HOU,,,,51,,47,709,7,,,,1,26.23,11,47,58,47,75,63,8,7,6,40,143.00
Cooper Kupp,2557898,WR,LA,,,,-3,,59,737,5,,,1,,29.51,1,59,60,59,95,62,18,12,14,41,138.00
Rashid Shaheed,2569110,WR,NO,,,,37,,46,719,5,1,,,1,23.01,7,46,53,46,75,61,7,2,2,42,132.60
Curtis Samuel,2558066,WR,WAS,,,,39,1,62,613,4,,,,,24.83,7,62,69,62,91,68,15,11,13,43,130.70
Darius Slayton,2562736,WR,NYG,,,,,,50,770,4,,,,,37.32,,50,50,50,79,63,4,2,,44,127.50
Diontae Johnson,2562674,WR,PIT,,,,,,51,717,5,,,,1,25.40,,51,51,51,87,59,10,5,7,45,126.70
Josh Downs,2569861,WR,IND,,,,,,68,771,2,,,,,27.48,,68,68,68,98,69,9,4,6,46,126.10
Christian Kirk,2560781,WR,JAX,-1,,,6,,57,787,3,,,,2,30.92,1,57,58,57,85,67,5,2,3,47,123.26
Jaxon Smith-Njigba,2570341,WR,SEA,,,,,,63,628,4,,,,,27.53,,63,63,63,93,68,10,4,6,48,121.30
Tee Higgins,2563731,WR,CIN,,,,,,42,656,5,,,,,23.03,,42,42,42,76,55,9,4,5,49,116.60
Jerry Jeudy,2563896,WR,DEN,,,,,,54,758,2,,,,1,26.41,,54,54,54,87,62,10,7,7,50,114.30
Tyler Boyd,2555466,WR,CIN,,,1,11,,67,667,2,,,,,23.03,2,67,69,67,98,68,7,3,4,51,112.80
Marquise Brown,2562379,WR,ARI,,,,23,,51,574,4,,,,,29.50,2,51,53,51,101,50,9,5,6,52,112.20
Josh Reynolds,2558194,WR,DET,,,,,,40,608,5,,,,1,31.78,,40,40,40,64,63,10,4,7,53,108.80
Elijah Moore,2566385,WR,CLE,,,,11,,59,640,2,,,,2,30.62,9,59,68,59,104,57,13,7,8,54,106.27
Wan'Dale Robinson,2568012,WR,NYG,,,,87,1,60,525,1,,,,,37.32,9,60,69,60,78,77,2,3,,55,104.20
K.J. Osborn,2564574,WR,MIN,,,,,,48,540,3,,,,1,33.34,,48,48,48,75,64,9,3,6,56,100.90
Jahan Dotson,2568321,WR,WAS,,,,,,49,518,4,,,,,24.83,,49,49,49,83,59,11,5,7,57,100.30
Dontayvion Wicks,2569759,WR,GB,14,,,1,,39,581,4,,,,3,26.99,1,39,40,39,58,67,8,4,,58,97.86
DJ Chark,2561018,WR,CAR,,,,,,35,525,5,,,,2,31.16,,35,35,35,66,53,6,4,5,59,97.60
Tutu Atwell,2566196,WR,LA,,,,31,,39,483,3,,,2,,29.51,5,39,44,39,67,58,5,4,5,60,95.90
Michael Wilson,2570224,WR,ARI,,,,,,38,565,3,,,1,,29.50,,38,38,38,58,66,7,4,3,61,95.50
