PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Cole Fotheringham,2568972,TE,FA,Bye,,,,,,,,,,,,,,120,57,0.00,
Feleipe Franks,2566683,TE,ATL,@ARI,,,,,,,,,,,,,0.00,121,58,0.00,0.0
Pat Freiermuth,2566442,TE,PIT,@DET,,,,,,3.06,30.84,0.26,,,,0.06,6.05,22,59,0.00,-6.05
Oronde Gadsden II,2574511,TE,LAC,@DAL,,,,,,2.19,22.89,0.15,,,,0.02,4.24,32,60,0.00,-4.24
JJ Galbreath,2574492,TE,FA,Bye,,,,,,,,,,,,,,122,61,0.00,
Mike Gesicki,2560994,TE,CIN,@MIA,,,,,,1.97,20,0.11,,,,0.02,3.61,35,62,0.00,-3.61
Reggie Gilliam,2565378,TE,BUF,@CLE,,,,,,,,,,,,,0.00,123,63,0.00,0.0
Dallas Goedert,2560995,TE,PHI,@WAS,,,,0.32,,3.57,43.21,0.23,,,,0.06,7.40,12,64,0.00,-7.4
Thomas Gordon,2574655,TE,FA,Bye,,,,,,,,,,,,,,124,65,0.00,
Cam Grandy,2572995,TE,CIN,@MIA,,,,,,,,,,,,,0.00,125,66,0.00,0.0
Kylen Granson,2566145,TE,PHI,@WAS,,,,,,0.2,2.19,0.01,,,,,0.38,82,67,0.00,-0.38
Noah Gray,2566178,TE,KC,@TEN,,,,0.12,,1.33,12.61,0.09,,,,0.02,2.44,42,68,0.00,-2.44
Seth Green,2568864,TE,FA,Bye,,,,,,,,,,,,,,126,69,0.00,
Jackson Hawes,2573962,TE,BUF,@CLE,,,,,,0.33,3.52,0.02,,,,,0.64,72,70,0.00,-0.64
Gunnar Helm,2574152,TE,TEN,KC,,,,,,1.27,12.67,0.08,,,,0.02,2.34,43,71,0.00,-2.34
Hunter Henry,2555341,TE,NE,@BAL,,,,,,3.85,43.32,0.3,,,,0.07,7.92,10,72,0.00,-7.92
Patrick Herbert,2574216,TE,JAX,@DEN,,,,,,,,,,,,,0.00,127,73,0.00,0.0
Connor Heyward,2568138,TE,PIT,@DET,,,,,,,,,,,,,0.00,128,74,0.00,0.0
Tyler Higbee,2555364,TE,LAR,@SEA,,,,,,1.63,15.89,0.12,,,,0.02,3.08,37,75,0.00,-3.08
Elijah Higgins,2570068,TE,ARI,ATL,,,,,,0.6,5.77,0.04,,,,0.01,1.10,59,76,0.00,-1.1
Julian Hill,2571129,TE,MIA,CIN,,,,,,0.84,8.47,0.06,,,,0.01,1.61,52,77,0.00,-1.61
Taysom Hill,2558954,TE,NO,NYJ,,,,,,,,,,,,,0.00,129,78,0.00,0.0
T.J. Hockenson,2562378,TE,MIN,@NYG,,,,,,3.7,38.29,0.22,,,,0.05,6.90,16,79,0.00,-6.9
Dallin Holker,2573373,TE,FA,Bye,,,,,,,,,,,,,,130,80,0.00,
Austin Hooper,2555415,TE,NE,@BAL,,,,,,0.92,9.16,0.05,,,,0.01,1.66,51,81,0.00,-1.66
Zach Horton,2574111,TE,DET,PIT,,,,,,,,,,,,,0.00,131,82,0.00,0.0
Tanner Hudson,2561215,TE,CIN,@MIA,,,,,,,,,,,,,0.00,132,83,0.00,0.0
Hayden Hurst,2560747,TE,FA,Bye,,,,,,,,,,,,,,133,84,0.00,
Tyree Jackson,2562435,TE,WAS,PHI,,,,,,,,,,,,,0.00,134,85,0.00,0.0
Michael Jacobson,2567204,TE,FA,Bye,,,,,,,,,,,,,,135,86,0.00,
E.J. Jenkins,2570602,TE,PHI,@WAS,,,,,,,,,,,,,0.00,136,87,0.00,0.0
Juwan Johnson,2564676,TE,NO,NYJ,,,,,,4.38,43.22,0.31,,,,0.05,8.27,8,88,0.00,-8.27
Neal Johnson,2573719,TE,FA,Bye,,,,,,,,,,,,,,137,89,0.00,
Theo Johnson,2572333,TE,NYG,MIN,,,,,,3.05,30.99,0.19,,,,0.04,5.68,24,90,0.00,-5.68
Brevin Jordan,2566130,TE,HOU,LV,,,,,,,,,,,,,0.00,138,91,0.00,0.0
Nikola Kalinic,2567706,TE,CHI,GB,,,,,,,,,,,,,0.00,139,92,0.00,0.0
Nick Kallerup,2574564,TE,SEA,LAR,,,,,,,,,,,,,0.00,140,93,0.00,0.0
Dalton Keene,2564616,TE,FA,Bye,,,,,,,,,,,,,,141,94,0.00,
Travis Kelce,2540258,TE,KC,@TEN,,,,0.2,,3.66,37.78,0.24,,,,0.05,6.97,14,95,0.00,-6.97
Ko Kieft,2568306,TE,TB,@CAR,,,,,,,,,,,,,0.00,142,96,0.00,0.0
Dalton Kincaid,2569594,TE,BUF,@CLE,,,,,,3.56,39.35,0.28,,,,0.06,7.28,13,97,0.00,-7.28
George Kittle,2558266,TE,SF,@IND,,,,,,5.08,67.4,0.48,,,,0.06,12.04,2,98,0.00,-12.04
Stevo Klotz,2574520,TE,FA,Bye,,,,,,,,,,,,,,143,99,0.00,
Cole Kmet,2563704,TE,CHI,GB,,,,,,2.96,26.91,0.19,,,,0.11,5.09,28,100,0.00,-5.09
Dawson Knox,2562681,TE,BUF,@CLE,,,,,,1.14,14.14,0.11,,,,0.01,2.62,41,101,0.00,-2.62
Charlie Kolar,2567280,TE,BAL,NE,,,,0.12,,0.47,5.02,,,,,,0.75,70,102,0.00,-0.75
Tucker Kraft,2569768,TE,GB,@CHI,,,,0.04,,4.06,52.66,0.36,,,,0.06,9.34,6,103,0.00,-9.34
Lucas Krull,2569092,TE,DEN,JAX,,,,,,,,,,,,,0.00,144,104,0.00,0.0
Zack Kuntz,2570182,TE,FA,Bye,,,,,,,,,,,,,,145,105,0.00,
Luke Lachey,2574173,TE,HOU,LV,,,,,,,,,,,,,0.00,146,106,0.00,0.0
Marshall Lang,2574566,TE,FA,Bye,,,,,,,,,,,,,,147,107,0.00,
Sam LaPorta,2569726,TE,DET,PIT,,,,,,4.43,50.95,0.41,,,,0.06,9.65,4,108,0.00,-9.65
Cameron Latu,2570302,TE,PHI,@WAS,,,,,,,,,,,,,0.00,148,109,0.00,0.0
Keleki Latu,2573965,TE,BUF,@CLE,,,,,,,,,,,,,0.00,149,110,0.00,0.0
Isaiah Likely,2567283,TE,BAL,NE,,,,,,2.05,24.95,0.23,,,,0.05,4.80,30,111,0.00,-4.8
Caleb Lohner,2574093,TE,DEN,JAX,,,,,,,,,,,,,0.00,150,112,0.00,0.0
Hunter Long,2566286,TE,JAX,@DEN,,,,,,0.17,1.72,0.01,,,,,0.32,83,113,0.00,-0.32
Colston Loveland,2574014,TE,CHI,GB,,,,0.02,,1.63,15.52,0.09,,,,0.03,2.85,38,114,0.00,-2.85
Johnny Lumpkin,2571225,TE,FA,Bye,,,,,,,,,,,,,,151,115,0.00,
Tyler Mabry,2565168,TE,FA,Bye,,,,,,,,,,,,,,152,116,0.00,
Will Mallory,2569849,TE,IND,SF,,,,,,,,,,,,,0.00,153,117,0.00,0.0
Maximilian Mang,2574192,TE,IND,SF,,,,,,,,,,,,,0.00,154,118,0.00,0.0
Chris Manhertz,2552622,TE,NYG,MIN,,,,,,0.2,1.9,0.02,,,,,0.41,80,119,0.00,-0.41
David Martin-Robinson,2573467,TE,TEN,KC,,,,,,,,,,,,,0.00,155,120,0.00,0.0
Moliki Matavao,2574401,TE,NO,NYJ,,,,,,,,,,,,,0.00,156,121,0.00,0.0
Michael Mayer,2570032,TE,LV,@HOU,,,,,,1.73,17.19,0.1,,,,0.02,3.14,36,122,0.00,-3.14
Trey McBride,2568117,TE,ARI,ATL,,,,0.45,0.01,6.82,66.02,0.36,,,,0.06,12.16,1,123,0.00,-12.16
Sean McKeon,2563854,TE,IND,SF,,,,,,,,,,,,,0.00,157,124,0.00,0.0
Tre' McKitty,2566490,TE,FA,Bye,,,,,,,,,,,,,,158,125,0.00,
Tanner McLachlan,2571937,TE,FA,Bye,,,,,,,,,,,,,,159,126,0.00,
James Mitchell,2567556,TE,CAR,TB,,,,,,,,,,,,,0.00,160,127,0.00,0.0
Zaire Mitchell-Paden,2568654,TE,BAL,NE,,,,,,,,,,,,,0.00,161,128,0.00,0.0
Foster Moreau,2562317,TE,NO,NYJ,,,,,,,,,,,,,0.00,162,129,0.00,0.0
Quintin Morris,2566641,TE,JAX,@DEN,,,,,,,,,,,,,0.00,163,130,0.00,0.0
Johnny Mundt,2558875,TE,JAX,@DEN,,,,,,0.92,8.2,0.07,,,,0.01,1.68,50,131,0.00,-1.68
Jordan Murray,2571714,TE,FA,Bye,,,,,,,,,,,,,,164,132,0.00,
Nick Muse,2567922,TE,FA,Bye,,,,,,,,,,,,,,165,133,0.00,
Luke Musgrave,2569780,TE,GB,@CHI,,,,,,0.99,10.91,0.06,,,,,1.95,46,134,0.00,-1.95
Chris Myarick,2563210,TE,FA,Bye,,,,,,,,,,,,,,166,135,0.00,
Bryson Nesbit,2574355,TE,MIN,@NYG,,,,,,,,,,,,,0.00,167,136,0.00,0.0
Tyler Neville,2574080,TE,FA,Bye,,,,,,,,,,,,,,168,137,0.00,
David Njoku,2557986,TE,CLE,BUF,,,,,,4.02,39.34,0.29,,,,0.06,7.56,11,138,0.00,-7.56
Gunnar Oakes,2574657,TE,FA,Bye,,,,,,,,,,,,,,169,139,0.00,
Thomas Odukoya,2568828,TE,TEN,KC,,,,,,,,,,,,,0.00,170,140,0.00,0.0
Andrew Ogletree,2567712,TE,IND,SF,,,,,,0.39,4.15,0.02,,,,0.01,0.71,71,141,0.00,-0.71
Chig Okonkwo,2567658,TE,TEN,KC,,,,0.23,,3.31,30.33,0.15,,,,0.06,5.49,26,142,0.00,-5.49
Albert Okwuegbunam,2563911,TE,LV,@HOU,,,,,,,,,,,,,0.00,171,143,0.00,0.0
Josh Oliver,2562693,TE,MIN,@NYG,,,,,,0.98,9.81,0.06,,,,0.01,1.81,48,144,0.00,-1.81
Cade Otton,2568312,TE,TB,@CAR,,,,,,2.26,23.65,0.17,,,,0.03,4.46,31,145,0.00,-4.46
Donald Parham,2562394,TE,PIT,@DET,,,,,,,,,,,,,0.00,172,146,0.00,0.0
Colby Parkinson,2565180,TE,LAR,@SEA,,,,,,0.45,4.7,0.03,,,,0.01,0.86,64,147,0.00,-0.86
Jordan Petaia,2574524,TE,FA,Bye,,,,,,,,,,,,,,173,148,0.00,
Bryce Pierre,2573996,TE,CAR,TB,,,,,,,,,,,,,0.00,174,149,0.00,0.0
Kyle Pitts,2565830,TE,ATL,@ARI,,,,,,3.2,38.5,0.17,,,,0.04,6.39,21,150,0.00,-6.39
Sam Pitz,2573948,TE,FA,Bye,,,,,,,,,,,,,,175,151,0.00,
Mason Pline,2573542,TE,NO,NYJ,,,,,,,,,,,,,0.00,176,152,0.00,0.0
Caden Prieskorn,2574627,TE,TB,@CAR,,,,,,,,,,,,,0.00,177,153,0.00,0.0
Teagan Quitoriano,2567691,TE,ATL,@ARI,,,,,,,,,,,,,0.00,178,154,0.00,0.0
Mark Redman,2574277,TE,LAR,@SEA,,,,,,,,,,,,,0.00,179,155,0.00,0.0
Tip Reiman,2572426,TE,ARI,ATL,,,,,,0.76,7.3,0.03,,,,0.01,1.27,57,156,0.00,-1.27
Giovanni Ricci,2563668,TE,FA,Bye,,,,,,,,,,,,,,180,157,0.00,
Hayden Rucci,2573764,TE,MIA,CIN,,,,,,,,,,,,,0.00,181,158,0.00,0.0
Jeremy Ruckert,2568042,TE,NYJ,@NO,,,,,,0.71,6.75,0.02,,,,0.01,1.13,58,159,0.00,-1.13
Carter Runyon,2574308,TE,LV,@HOU,,,,,,,,,,,,,0.00,182,160,0.00,0.0
Drew Sample,2562720,TE,CIN,@MIA,,,,,,0.66,6.12,0.06,,,,,1.30,56,161,0.00,-1.3
Ja'Tavion Sanders,2571892,TE,CAR,TB,,,,,,2.82,27.39,0.16,,,,0.03,5.05,29,162,0.00,-5.05
Eric Saubert,2558023,TE,SEA,LAR,,,,,,0.46,3.88,0.03,,,,0.01,0.78,68,163,0.00,-0.78
Luke Schoonmaker,2569690,TE,DAL,LAC,,,,,,0.5,4.58,0.03,,,,0.01,0.87,63,164,0.00,-0.87
Dalton Schultz,2560866,TE,HOU,LV,,,,,,3.38,35.45,0.22,,,,0.08,6.40,20,165,0.00,-6.4
Gee Scott Jr.,2574384,TE,NE,@BAL,,,,,,,,,,,,,0.00,183,166,0.00,0.0
Joshua Simon,2573917,TE,ATL,@ARI,,,,,,,,,,,,,0.00,184,167,0.00,0.0
Ben Sims,2571198,TE,GB,@CHI,,,,,,,,,,,,,0.00,185,168,0.00,0.0
Ben Sinnott,2572585,TE,WAS,PHI,,,,,,0.27,2.63,0.02,,,,,0.52,74,169,0.00,-0.52
Stone Smartt,2569227,TE,NYJ,@NO,,,,,,0.27,3.01,0.01,,,,,0.50,76,170,0.00,-0.5
Irv Smith,2562738,TE,FA,Bye,,,,,,,,,,,,,,186,171,0.00,
Jonnu Smith,2558207,TE,PIT,@DET,,,,0.92,0.01,3.06,31.61,0.29,,,,0.05,6.48,18,172,0.00,-6.48
Durham Smythe,2560880,TE,CHI,GB,,,,,,0.29,2.74,,,,,,0.42,78,173,0.00,-0.42
Matt Sokol,2562980,TE,PIT,@DET,,,,,,,,,,,,,0.00,187,174,0.00,0.0
Brevyn Spann-Ford,2573064,TE,DAL,LAC,,,,,,0.5,4.85,0.02,,,,0.01,0.84,67,175,0.00,-0.84
Geor'Quarius Spivey,2573887,TE,FA,Bye,,,,,,,,,,,,,,188,176,0.00,
John Stephens Jr.,2570894,TE,DAL,LAC,,,,,,,,,,,,,0.00,189,177,0.00,0.0
Steven Stilianos,2573485,TE,FA,Bye,,,,,,,,,,,,,,190,178,0.00,
Jack Stoll,2567061,TE,NO,NYJ,,,,,,,,,,,,,0.00,191,179,0.00,0.0
Cade Stover,2572105,TE,HOU,LV,,,,,,0.45,4.48,0.02,,,,0.01,0.77,69,180,0.00,-0.77
Brenton Strange,2569912,TE,JAX,@DEN,,,,,,3.92,38.76,0.19,,,,0.05,6.88,17,181,0.00,-6.88
Messiah Swinson,2572675,TE,SF,@IND,,,,,,,,,,,,,0.00,192,182,0.00,0.0
Tanner Taula,2571587,TE,TB,@CAR,,,,,,,,,,,,,0.00,193,183,0.00,0.0
Kole Taylor,2574040,TE,FA,Bye,,,,,,,,,,,,,,194,184,0.00,
Mason Taylor,2574451,TE,NYJ,@NO,,,,0.01,,2.59,28.54,0.18,,,,0.03,5.17,27,185,0.00,-5.17
Jermaine Terry,2574428,TE,FA,Bye,,,,,,,,,,,,,,195,186,0.00,
Ian Thomas,2560894,TE,LV,@HOU,,,,,,0.28,2.66,0.02,,,,,0.53,73,187,0.00,-0.53
DJ Thomas-Jones,2574502,TE,FA,Bye,,,,,,,,,,,,,,196,188,0.00,
Jake Tonges,2567439,TE,SF,@IND,,,,,,0.46,5.12,0.04,,,,0.01,0.96,60,189,0.00,-0.96
Robert Tonyan,2559270,TE,KC,@TEN,,,,,,,,,,,,,0.00,197,190,0.00,0.0
Anthony Torres,2574280,TE,FA,Bye,,,,,,,,,,,,,,198,191,0.00,
