PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Cameron Dicker,2568435,K,LAC,@ARI,2.32,0.12,,0.41,0.52,0.46,0.29,,,0.06,7.98,8,1,21.00,13.02
Wil Lutz,2556601,K,DEN,@NO,2,0.11,,0.39,0.44,0.39,0.22,,,0.06,6.76,27,2,18.00,11.24
Austin Seibert,2562729,K,WAS,CAR,2.05,0.07,,0.2,0.61,0.55,0.14,,,0.07,7.10,21,3,17.00,9.9
Daniel Carlson,2560993,K,LV,@LAR,1.98,0.05,,0.44,0.49,0.38,0.27,,,,7.49,17,4,16.00,8.51
Will Reichard,2572273,K,MIN,DET,2.24,0.11,,0.34,0.5,0.39,0.17,,,0.06,6.78,26,5,15.00,8.22
Chris Boswell,2550545,K,PIT,NYJ,1.9,0.11,,0.38,0.49,0.44,0.22,,,,7.04,22,6,14.00,6.96
Ka'imi Fairbairn,2556521,K,HOU,@GB,2.78,0.12,,0.41,0.53,0.41,0.24,,,0.06,8.02,6,7,13.50,5.48
Justin Tucker,2536340,K,BAL,@TB,2.96,0.06,,0.49,0.56,0.56,0.31,,,,9.72,1,8,13.00,3.28
Matt Gay,2562271,K,IND,MIA,2.1,0.12,,0.42,0.54,0.42,0.3,,,0.06,7.74,12,9,12.00,4.26
Jason Myers,2553112,K,SEA,@ATL,2.3,0.12,,0.42,0.55,0.49,0.18,,,0.06,7.65,14,10,12.00,4.35
Tyler Bass,2563596,K,BUF,TEN,2.79,0.13,,0.44,0.57,0.44,0.25,,,0.06,8.38,5,11,10.00,1.62
Jake Bates,2571759,K,DET,@MIN,2.77,0.18,,0.35,0.47,0.47,0.18,,,0.06,7.41,18,12,8.00,0.59
Brandon McManus,2541556,K,GB,HOU,2.59,0.02,,0.41,0.47,0.41,0.24,,,,8.01,7,13,7.00,-1.01
Cam Little,2572147,K,JAX,NE,2.32,0.12,,0.35,0.52,0.35,0.17,,,,6.82,25,14,6.00,-0.82
Blake Grupe,2571234,K,NO,DEN,2.09,0.11,,0.38,0.49,0.38,0.22,,,0.05,6.94,23,15,5.50,-1.44
Anders Carlson,2569750,K,SF,KC,2.65,0.17,,0.29,0.29,0.6,0.3,,,,7.78,11,16,5.00,-2.78
