PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
C.J. Uzomah,2552559,TE,CIN,@BAL,,,,,3,91,2,,,,,5.32,1,22.60,5.32,17.28
Kyle Pitts,2565830,TE,ATL,@MIA,,,,,7,163,,,,,,9.04,2,19.80,9.04,10.76
Mike Gesicki,2560994,TE,MIA,ATL,,,,,7,85,1,,,,,9.26,3,18.00,9.26,8.74
Foster Moreau,2562317,TE,LV,PHI,,,,,6,60,1,,,,,3.09,4,15.00,3.09,11.91
Zach Ertz,2540158,TE,ARI,HOU,,,,4,3,66,1,,,,,8.43,5,14.50,8.43,6.07
Robert Tonyan,2559270,TE,GB,WAS,,,,,4,63,1,,,,,,6,14.30,,
Dallas Goedert,2560995,TE,PHI,@LV,,,,,3,70,,,,1,,8.15,7,10.50,8.15,2.35
Mo Alie-Cox,2558832,TE,IND,@SF,,,,,3,25,1,,,,,5.01,8,10.00,5.01,4.99
Travis Kelce,2540258,TE,KC,@TEN,,,,,7,65,,,,,,15.19,9,10.00,15.19,-5.19
MyCole Pruitt,2552401,TE,TEN,KC,,,,,2,27,1,,,,,1.76,10,9.70,1.76,7.94
Hunter Henry,2555341,TE,NE,NYJ,,,,,2,23,1,,,,,7.93,11,9.30,7.93,1.37
Jesse James,2552633,TE,CHI,@TB,,,,,3,20,,,,,,0.58,12,8.70,0.58,8.12
Ricky Seals-Jones,2559248,TE,WAS,@GB,,,,,6,51,,,,,,5.88,13,8.10,5.88,2.22
T.J. Hockenson,2562378,TE,DET,@LA,,,,,6,48,,,,,,8.73,14,7.80,8.73,-0.93
Evan Engram,2557858,TE,NYG,CAR,,,,,6,44,,,,,,7.24,15,7.40,7.24,0.16
Tyler Higbee,2555364,TE,LA,DET,,,,,5,46,,,,,,7.59,16,7.10,7.59,-0.49
Cole Kmet,2563704,TE,CHI,@TB,,,,,5,43,,,,,,4.99,17,6.80,4.99,1.81
Jonnu Smith,2558207,TE,NE,NYJ,,,,5,2,52,,,,,,5.41,18,6.70,5.41,1.29
Noah Fant,2562383,TE,DEN,@CLE,,,,,5,39,,,,,,9.10,19,6.40,9.1,-2.7
Mark Andrews,2560957,TE,BAL,CIN,,,,,3,48,,,,,1,12.70,20,5.30,12.7,-7.4
Austin Hooper,2555415,TE,CLE,DEN,,,,,2,42,,,,,,6.13,21,5.20,6.13,-0.93
Durham Smythe,2560880,TE,MIA,ATL,,,,,3,37,,,,,,3.16,22,5.20,3.16,2.04
Hayden Hurst,2560747,TE,ATL,@MIA,,,,,3,35,,,,,,5.26,23,5.00,5.26,-0.26
Charlie Woerner,2565129,TE,SF,IND,,,,,2,30,,,,,,1.01,24,4.80,1.01,3.79
Marcedes Lewis,2495888,TE,GB,WAS,,,,,3,31,,,,,,2.33,25,4.60,2.33,2.27
Adam Shaheen,2558144,TE,MIA,ATL,,,,,4,23,,,,,,1.20,26,4.30,1.2,3.1
Josh Oliver,2562693,TE,BAL,CIN,,,,,2,29,,,,,,1.60,27,3.90,1.6,2.3
Gerald Everett,2557889,TE,SEA,NO,,,,12,3,11,,,,,,4.40,28,3.80,4.4,-0.6
Demetrius Harris,2541187,TE,ARI,HOU,,,,,,,,,,,,0.45,29,3.40,0.45,2.95
Adam Trautman,2564703,TE,NO,@SEA,,,,,3,36,,,,,1,3.56,30,3.10,3.56,-0.46
Harrison Bryant,2563767,TE,CLE,DEN,,,,,1,15,,,,,,1.54,31,2.80,1.54,1.26
