PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Josh Norman,2532920,DB,SF,IND,7,3,,3,,2,,,,,,,,1,,,,8.52,1,28.30,8.52,19.78
Brandon Facyson,2560719,DB,LV,PHI,8,1,,,,,,,,,,,,3,,,,3.91,2,21.90,3.91,17.99
Kyle Dugger,2564601,DB,NE,NYJ,7,2,,,1,,,,,,,,,1,,14,,10.47,3,19.97,10.47,9.5
Marcus Maye,2557995,DB,NYJ,@NE,7,5,,1,,,,,,,,,,1,,,,,4,19.90,,
Anthony Averett,2560963,DB,BAL,CIN,7,,,,,,,,,,,,,3,,,,10.05,5,19.40,10.05,9.35
Lonnie Johnson,2562295,DB,HOU,@ARI,6,3,,,1,,,,,,,,,1,,15,,8.57,6,19.10,8.57,10.53
Marlon Humphrey,2558067,DB,BAL,CIN,4,3,,,1,1,,,,,,,,1,,,,10.11,7,18.70,10.11,8.59
DeAndre Houston-Carson,2555381,DB,CHI,@TB,7,4,,,,,1,,,,,,,1,,,,7.84,8,18.60,7.84,10.76
Ashtyn Davis,2564793,DB,NYJ,@NE,10,1,,,,,,,,,,,,,,,,3.28,9,17.80,3.28,14.52
Jalen Ramsey,2555280,DB,LA,DET,4,2,,1,1,,,,,,,,,1,1,25,,8.53,10,17.23,8.53,8.7
Adrian Amos,2552385,DB,GB,WAS,6,,,,,,,,,,,,,2,,,,11.63,11,15.20,11.63,3.57
Eric Rowe,2552255,DB,MIA,ATL,6,3,,,,,,,,,,,,1,,,,3.98,12,15.10,3.98,11.12
Jevon Holland,2566283,DB,MIA,ATL,5,,1,1,,,,,,,,,,1,1,,,9.25,13,15.00,9.25,5.75
Xavier Rhodes,2540155,DB,IND,@SF,3,1,,,1,,,,,,,,,2,,4,,7.28,14,14.53,7.28,7.25
Xavien Howard,2555539,DB,MIA,ATL,2,,,,1,,,,,,,,,3,,,,8.45,15,14.40,8.45,5.95
Emmanuel Moseley,2561072,DB,SF,IND,2,1,,,,,,,,,,,,4,,,,10.72,16,14.20,10.72,3.48
Myles Bryant,2564592,DB,NE,NYJ,2,4,1,1,,1,,,,,,,,,1,,,1.89,17,14.10,1.89,12.21
Landon Collins,2552454,DB,WAS,@GB,6,1,,1,,,1,,,,,,,,,,,8.87,18,13.50,8.87,4.63
Juan Thornhill,2562761,DB,KC,@TEN,7,2,,,,,,,,,,,,,,,,8.39,19,13.50,8.39,5.11
Khari Willis,2562602,DB,IND,@SF,3,3,,,1,,,,,,,,,1,,,,,20,13.50,,
Jamel Dean,2562556,DB,TB,CHI,7,,,1,,,,,,,,,,,,,,9.34,21,13.40,9.34,4.06
Ronald Darby,2552689,DB,DEN,@CLE,6,2,,1,,,,,,,,,,,,,,8.52,22,13.30,8.52,4.78
Marcus Epps,2562946,DB,PHI,@LV,5,6,,,,,,,,,,,,,,,,7.79,23,13.30,7.79,5.51
Fabian Moreau,2558136,DB,ATL,@MIA,2,3,,,,,,,,,,,,3,,,,6.81,24,13.30,6.81,6.49
Jimmie Ward,2543741,DB,SF,IND,6,2,,1,,,,,,,,,,,,,,9.08,25,13.30,9.08,4.22
Rasul Douglas,2558168,DB,GB,WAS,4,,,,,1,,,,,,,,1,,,,5.80,26,12.80,5.8,7.0
Danny Johnson,2560764,DB,WAS,@GB,4,,,,,1,,,,,,,,1,,,,0.00,27,12.80,0.0,12.8
Chandon Sullivan,2560887,DB,GB,WAS,4,,,,1,,,,,,,,,1,,,,6.90,28,12.80,6.9,5.9
Dane Cruikshank,2561033,DB,TEN,KC,7,1,,,,,,,,,,,,,,,,8.93,29,12.70,8.93,3.77
Kareem Jackson,496735,DB,DEN,@CLE,6,3,,,,,,,,,,,,,,,,9.17,30,12.60,9.17,3.43
Tracy Walker III,2560913,DB,DET,@LA,4,4,,,,,,,,,,,,1,,,,9.26,31,12.50,9.26,3.24
Eddie Jackson,2558176,DB,CHI,@TB,4,7,,,,,,,,,,,,,,,,9.20,32,12.40,9.2,3.2
Jeremy Chinn,2563632,DB,CAR,@NYG,4,4,,1,,,,,,,,,,,1,,,10.46,33,12.00,10.46,1.54
Johnathan Abram,2562616,DB,LV,PHI,4,2,,,,,1,,,,,,,1,,,,10.48,34,11.90,10.48,1.42
J.C. Jackson,2560754,DB,NE,NYJ,3,1,,,1,,,,,,,,,1,,,,8.81,35,11.90,8.81,3.09
Brandin Echols,2565726,DB,NYJ,@NE,5,1,,,,,,,,,,,,1,,,,8.71,36,11.80,8.71,3.09
Elijah Molden,2566115,DB,TEN,KC,6,2,,,,,,,,,,,,,,,,2.84,37,11.80,2.84,8.96
Darnell Savage,2562724,DB,GB,WAS,5,1,,,,,,,,,,,,1,,,,7.69,38,11.80,7.69,4.11
Avonte Maddox,2560795,DB,PHI,@LV,2,1,,1,1,,,,,,,,,1,,-1,,6.04,39,11.67,6.04,5.63
Malcolm Jenkins,79848,DB,NO,@SEA,3,3,1,1,,,,,,,,,,,1,,,11.31,40,11.50,11.31,0.19
Jordan Whitehead,2560930,DB,TB,CHI,2,,,1,1,,,,,,,,,1,,17,,8.67,41,11.47,8.67,2.8
Sean Chandler,2561017,DB,CAR,@NYG,5,3,,,,,,,,,,,,,,,,9.76,42,10.90,9.76,1.14
Rodney McLeod,2534832,DB,PHI,@LV,5,3,,,,,,,,,,,,,,,,7.19,43,10.90,7.19,3.71
Justin Reid,2560851,DB,HOU,@ARI,5,3,,,,,,,,,,,,,,,,10.16,44,10.90,10.16,0.74
Logan Ryan,2540162,DB,NYG,CAR,3,1,,,,,,,,,,,,2,,,,10.76,45,10.90,10.76,0.14
Jabrill Peppers,2557980,DB,NYG,CAR,4,,1,1,,,,,,,,,,,1,,,,46,10.80,,
Jessie Bates,2560970,DB,CIN,@BAL,4,3,,1,,,,,,,,,,,,,,10.09,47,10.70,10.09,0.61
L'Jarius Sneed,2564304,DB,KC,@TEN,5,2,,,,,,,,,,,,,1,,,9.75,48,10.60,9.75,0.85
Kevin Byard,2555158,DB,TEN,KC,4,,,,,1,,,,,,,,,,,,10.92,49,10.30,10.92,-0.62
John Johnson,2558183,DB,CLE,DEN,2,1,,,1,,,,,,,,,1,,,,9.63,50,10.20,9.63,0.57
Nick Scott,2562905,DB,LA,DET,2,1,,,1,,,,,,,,,1,,,,3.23,51,10.20,3.23,6.97
Antoine Winfield Jr.,2565261,DB,TB,CHI,2,1,1,,,1,,,,,,,,,1,,,9.77,52,10.20,9.77,0.43
Chidobe Awuzie,2557840,DB,CIN,@BAL,4,1,,,,,,,,,,,,1,,,,9.01,53,10.10,9.01,1.09
Erik Harris,2555568,DB,ATL,@MIA,5,2,,,,,,,,,,,,,,,,9.23,54,10.10,9.23,0.87
Kenny Moore II,2558976,DB,IND,@SF,5,2,,,,,,,,,,,,,,,,10.84,55,10.10,10.84,-0.74
Paulson Adebo,2566346,DB,NO,@SEA,3,1,,1,,,,,,,,,,1,,,,8.65,56,9.90,8.65,1.25
Jordan Fuller,2564340,DB,LA,DET,3,6,,,,,,,,,,,,,,,,10.23,57,9.90,10.23,-0.33
Pierre Desir,2543811,DB,TB,CHI,2,,,,1,,,,,,,,,1,,,,1.11,58,9.40,1.11,8.29
Kamren Curl,2565270,DB,WAS,@GB,5,1,,,,,,,,,,,,,,,,10.97,59,9.30,10.97,-1.67
Donte Jackson,2560753,DB,CAR,@NYG,4,,,,,,,,,,,,,1,,,,9.20,60,9.30,9.2,0.1
Desmond King,2557927,DB,HOU,@ARI,5,1,,,,,,,,,,,,,,,,9.56,61,9.30,9.56,-0.26
Tyrann Mathieu,2540180,DB,KC,@TEN,5,1,,,,,,,,,,,,,,,,9.57,62,9.30,9.57,-0.27
Adrian Phillips,2550842,DB,NE,NYJ,5,1,,,,,,,,,,,,,,,,6.01,63,9.30,6.01,3.29
Adoree' Jackson,2558065,DB,NYG,CAR,3,2,,,,,,,,,,,,1,,,,10.22,64,9.20,10.22,-1.02
Xavier McKinney,2564766,DB,NYG,CAR,3,2,,,,,,,,,,,,1,,,,10.08,65,9.20,10.08,-0.88
Justin Simmons,2555550,DB,DEN,@CLE,3,2,,,,,,,,,,,,1,,,,9.93,66,9.20,9.93,-0.73
Kindle Vildor,2563713,DB,CHI,@TB,2,1,,,,,,,,,,,,2,,,,8.09,67,9.20,8.09,1.11
Joejuan Williams,2562787,DB,NE,NYJ,1,,,,,,,,,,,,,3,,,,2.70,68,9.20,2.7,6.5
A.J. Terrell,2563527,DB,ATL,@MIA,2,4,,,,,,,,,,,,1,,,,9.63,69,9.10,9.63,-0.53
James Bradberry,2555175,DB,NYG,CAR,2,,,,1,,1,,,,,,,1,,14,,8.41,70,8.87,8.41,0.46
