PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Cooper Kupp,2557898,WR,LA,DET,,,,,10,156,2,,,,,16.39,1,32.60,16.39,16.21
Mike Evans,2543468,WR,TB,CHI,,,,,6,76,3,,,,,12.89,2,28.60,12.89,15.71
Ja'Marr Chase,2565941,WR,CIN,@BAL,,,,,8,201,1,,,,1,13.85,3,28.10,13.85,14.25
A.J. Brown,2562238,WR,TEN,KC,,,,,8,133,1,,,,,11.36,4,23.30,11.36,11.94
Terry McLaurin,2562489,WR,WAS,@GB,,,,,7,122,1,,,,,11.11,5,21.70,11.11,10.59
Chris Godwin,2558105,WR,TB,CHI,,,,,8,111,1,,,,,12.45,6,21.10,12.45,8.65
Michael Pittman,2564136,WR,IND,@SF,,,,,4,105,1,,,,,10.53,7,18.50,10.53,7.97
Deebo Samuel,2562721,WR,SF,IND,,,,,7,100,1,,,,1,14.88,8,17.50,14.88,2.62
Davante Adams,2543495,WR,GB,WAS,,,,,6,76,1,,,,,18.77,9,16.60,18.77,-2.17
DK Metcalf,2562685,WR,SEA,NO,,,,,2,96,1,,,,,14.84,10,16.60,14.84,1.76
Marquise Brown,2562379,WR,BAL,CIN,,,,,5,80,1,,,,,12.13,11,16.50,12.13,4.37
DeAndre Hopkins,2540165,WR,ARI,HOU,,,,,7,53,1,,,,,11.98,12,14.80,11.98,2.82
Russell Gage,2561061,WR,ATL,@MIA,,,,,4,67,1,,,,,9.24,13,14.70,9.24,5.46
Kalif Raymond,2556661,WR,DET,@LA,,,,1,6,115,,,,,,7.53,14,14.60,7.53,7.07
Allen Lazard,2560787,WR,GB,WAS,,,,,5,60,1,,,,,7.24,15,14.50,7.24,7.26
Kendrick Bourne,2558914,WR,NE,NYJ,25,,1,,4,68,,,,,,6.28,16,13.80,6.28,7.52
Jaylen Waddle,2566292,WR,MIA,ATL,,,,,7,83,,,,,,10.91,17,13.50,10.91,2.59
Dante Pettis,2560836,WR,NYG,CAR,16,,,,5,39,1,,,,,,18,13.04,,
Christian Kirk,2560781,WR,ARI,HOU,,,,,4,50,1,,,,,8.82,19,13.00,8.82,4.18
Corey Davis,2557848,WR,NYJ,@NE,,,,,4,47,1,,,,,9.58,20,12.70,9.58,3.12
Bryan Edwards,2564418,WR,LV,PHI,,,,,3,43,1,,,,,7.90,21,12.60,7.9,4.7
Van Jefferson,2564358,WR,LA,DET,,,,,4,43,1,,,,,7.55,22,12.30,7.55,4.75
Calvin Ridley,2560854,WR,ATL,@MIA,,,,,4,26,1,,,,,14.12,23,12.30,14.12,-1.82
Nelson Agholor,2552600,WR,NE,NYJ,,,,,2,51,1,,,,,8.56,24,12.10,8.56,3.54
Robert Woods,2540169,WR,LA,DET,,,,,6,70,,,,1,,12.25,25,12.00,12.25,-0.25
Elijah Moore,2566385,WR,NYJ,@NE,,,,19,1,13,,,,,,2.38,26,11.40,2.38,9.02
D.J. Moore,2560813,WR,CAR,@NYG,,,,,6,73,,,,,,14.63,27,10.30,14.63,-4.33
Byron Pringle,2560844,WR,KC,@TEN,,,,,5,73,,,,,,3.77,28,9.80,3.77,6.03
Tee Higgins,2563731,WR,CIN,@BAL,,,,,7,62,,,,,,10.54,29,9.70,10.54,-0.84
Tyreek Hill,2556214,WR,KC,@TEN,,,,18,6,49,,,,,,17.79,30,9.70,17.79,-8.09
Rashod Bateman,2565836,WR,BAL,CIN,,,,,3,80,,,,,,7.42,31,9.50,7.42,2.08
Hunter Renfrow,2562712,WR,LV,PHI,,,,,7,58,,,,,,11.43,32,9.30,11.43,-2.13
Courtland Sutton,2560888,WR,DEN,@CLE,,,,,5,68,,,,,,12.23,33,9.30,12.23,-2.93
Darius Slayton,2562736,WR,NYG,CAR,,,,,5,63,,,,,,8.53,34,8.80,8.53,0.27
DeVonta Smith,2566409,WR,PHI,@LV,,,,,5,61,,,,,,10.40,35,8.60,10.4,-1.8
Mack Hollins,2558262,WR,MIA,ATL,,,,,2,13,1,,,,,2.04,36,8.30,2.04,6.26
A.J. Green,2495450,WR,ARI,HOU,,,,,3,66,,,,,,9.89,37,8.10,9.89,-1.79
Isaiah Ford,2558071,WR,MIA,ATL,,,,,1,10,1,,,,,1.98,38,7.50,1.98,5.52
Jalen Reagor,2564850,WR,PHI,@LV,,,,,2,25,1,,,,1,6.09,39,7.50,6.09,1.41
Jakobi Meyers,2562492,WR,NE,NYJ,,,,,5,44,,,,,,12.52,40,6.90,12.52,-5.62
Freddie Swain,2565195,WR,SEA,NO,,,,8,4,39,,,,,,3.64,41,6.70,3.64,3.06
Darnell Mooney,2563707,WR,CHI,@TB,,,,,2,39,,,,,,9.48,42,6.60,9.48,-2.88
Jarvis Landry,2543488,WR,CLE,DEN,,,,,5,37,,,,,,11.27,43,6.20,11.27,-5.07
