PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Mark Andrews,2560957,TE,BAL,@CIN,,,,,,8,125,1,,,,,24.20,,8,8,8,10,80,1,1,,1,22.50
Dalton Schultz,2560866,TE,DAL,WAS,,,,,,8,82,1,,,,,20.70,,8,8,8,9,89,2,2,1,2,18.20
Gerald Everett,2557889,TE,SEA,CHI,,,,,,4,68,1,,,,,14.80,,4,4,4,5,80,,,,3,14.80
Kyle Pitts,2565830,TE,ATL,DET,,,,,,6,102,,,,,,22.30,,6,6,6,6,100,1,1,,4,13.20
John Bates,2566580,TE,WAS,@DAL,,,,,,2,45,1,,,,1,11.40,,2,2,2,3,67,1,1,,5,10.50
Jimmy Graham,497236,TE,CHI,@SEA,,,,,,2,30,1,,,,,16.90,,2,2,2,2,100,1,1,,6,10.00
Evan Engram,2557858,TE,NYG,@PHI,,,,,,4,17,1,,,,,10.80,,4,4,4,5,80,1,1,,7,9.70
Zach Ertz,2540158,TE,ARI,IND,,,,,,8,54,,,,,,10.20,,8,8,8,13,62,1,,1,8,9.40
Hayden Hurst,2560747,TE,ATL,DET,,,,,,2,21,1,,,,,22.30,,2,2,2,2,100,1,1,,9,9.10
Foster Moreau,2562317,TE,LV,DEN,,,,,,4,67,,,,,,8.70,,4,4,4,4,100,,,,10,8.70
Cameron Brate,2550656,TE,TB,@CAR,,,,,,2,11,1,,,,,10.90,,2,2,2,4,50,1,1,1,11,8.10
Dawson Knox,2562681,TE,BUF,@NE,,,,,,2,11,1,,,,,9.40,,2,2,2,3,67,3,2,2,12,8.10
Jared Cook,71265,TE,LAC,@HOU,,,,,,3,44,,,,1,,15.70,,3,3,3,5,60,,,,13,7.90
Brevin Jordan,2566130,TE,HOU,LAC,,,,,,4,56,,,,,,9.60,,4,4,4,4,100,,,,14,7.60
Cole Kmet,2563704,TE,CHI,@SEA,,,,,,4,49,,,,,,16.90,,4,4,4,5,80,2,1,,15,6.90
James O'Shaughnessy,2553318,TE,JAX,@NYJ,,,,,,4,49,,,,,,9.90,,4,4,4,4,100,,,,16,6.90
