PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Josiah Bronson,2565690,DL,FA,Bye,,,,,,,,,,,,,,,,,,,221,49,0.00,
Karl Brooks,2569753,DL,GB,MIN,0.79,0.62,0.14,0.28,,0.06,0.11,,,,,,,0.11,0.34,,,3.02,93,50,0.00,-3.02
Vernon Broughton,2574393,DL,NO,ATL,0.82,0.82,0.18,0.29,,0.06,0.06,,,,,,,0.06,0.59,,,3.23,84,51,0.00,-3.23
Bobby Brown III,2566199,DL,CAR,@SF,1.38,1.68,,0.3,,,,,,,,,,,,,,3.53,72,52,0.00,-3.53
Derrick Brown,2563629,DL,CAR,@SF,2.22,1.62,0.12,0.36,0.06,,,,,,,,,0.3,0.6,,,6.34,14,53,0.00,-6.34
Earnest Brown IV,2566202,DL,DAL,PHI,,,,,,,,,,,,,,,,,,0.00,222,54,0.00,0.0
Shakel Brown,2571479,DL,FA,Bye,,,,,,,,,,,,,,,,,,,223,55,0.00,
Taven Bryan,2560983,DL,BAL,NYJ,,,,,,,,,,,,,,,,,,0.00,224,56,0.00,0.0
DeForest Buckner,2555275,DL,IND,@KC,2.06,1.82,0.44,0.53,,0.06,0.06,,,,,,,0.18,1.06,,,7.11,7,57,0.00,-7.11
Jonathan Bullard,2555335,DL,NO,ATL,,,,,,,,,,,,,,,,,,0.00,225,58,0.00,0.0
Adam Butler,2558924,DL,LV,CLE,1.41,1.06,0.18,0.24,,,,,,,,,,0.18,0.41,,,4.13,53,59,0.00,-4.13
Matthew Butler,2567871,DL,MIA,Bye,,,,,,,,,,,,,,,,,,,226,60,0.00,
Solomon Byrd,2572084,DL,HOU,BUF,,,,,,,,,,,,,,,,,,0.00,227,61,0.00,0.0
Jamaree Caldwell,2574507,DL,LAC,Bye,,,,,,,,,,,,,,,,,,,228,62,0.00,
Anthony Campbell,2574625,DL,FA,Bye,,,,,,,,,,,,,,,,,,,229,63,0.00,
Calais Campbell,744,DL,ARI,JAX,0.12,0.18,,,,0.06,0.06,,,,0.06,,,,0.12,,,0.86,158,64,0.00,-0.86
Xavier Carlton,2574006,DL,FA,Bye,,,,,,,,,,,,,,,,,,,230,65,0.00,
Owen Carney,2569011,DL,FA,Bye,,,,,,,,,,,,,,,,,,,231,66,0.00,
James Carpenter,2574210,DL,FA,Bye,,,,,,,,,,,,,,,,,,,232,67,0.00,
Abdul Carter,2574417,DL,NYG,@DET,1.66,0.97,0.43,0.46,,0.11,0.06,,,,,,,0.11,1.09,,,5.89,18,68,0.00,-5.89
DeWayne Carter,2571853,DL,BUF,@HOU,,,,,,,,,,,,,,,,,,0.00,233,69,0.00,0.0
Jalen Carter,2570203,DL,PHI,@DAL,1.69,1.31,0.41,0.88,,0.19,0.06,,,,,,,0.44,1.06,,,7.82,4,70,0.00,-7.82
Zachary Carter,2567445,DL,ARI,JAX,,,,,,,,,,,,,,,,,,0.00,234,71,0.00,0.0
Nelson Ceaser,2572753,DL,FA,Bye,,,,,,,,,,,,,,,,,,,235,72,0.00,
Elijah Chatman,2573820,DL,NYG,@DET,,,,,,,,,,,,,,,,,,0.00,236,73,0.00,0.0
Kenny Clark,2555282,DL,DAL,PHI,1.35,1,0.18,0.29,,0.06,0.06,,,,,,,0.12,0.47,,,4.23,52,74,0.00,-4.23
Micheal Clemons,2568024,DL,NYJ,@BAL,1.13,0.51,0.17,0.17,,0.06,,,,,,,,,0.39,,,3.00,95,75,0.00,-3.0
Kameron Cline,2564109,DL,FA,Bye,,,,,,,,,,,,,,,,,,,237,76,0.00,
Keondre Coburn,2569924,DL,FA,Bye,,,,,,,,,,,,,,,,,,,238,77,0.00,
Myles Cole,2572135,DL,FA,Bye,,,,,,,,,,,,,,,,,,,239,78,0.00,
L.J. Collier,2562248,DL,ARI,JAX,,,,,,,,,,,,,,,,,,0.00,240,79,0.00,0.0
Alfred Collins,2574539,DL,SF,CAR,0.54,0.3,0.06,0.06,,,,,,,,,,0.06,0.18,,,1.44,144,80,0.00,-1.44
Maliek Collins,2555400,DL,CLE,@LV,1.18,0.73,0.28,0.34,,,0.06,,,,,,,0.06,0.68,,,3.83,61,81,0.00,-3.83
Keith Cooper,2574106,DL,FA,Bye,,,,,,,,,,,,,,,,,,,241,82,0.00,
Byron Cowart,2562392,DL,NYJ,@BAL,0.12,0.18,0.15,0.12,,,0.06,,,,,,,,0.06,,,0.86,159,83,0.00,-0.86
Brenton Cox Jr.,2570509,DL,GB,MIN,,,,,,,,,,,,,,,,,,0.00,242,84,0.00,0.0
Maxx Crosby,2562439,DL,LV,CLE,2.22,1.2,0.75,1.08,,0.12,0.06,,,,,,,0.3,1.32,,,9.06,1,85,0.00,-9.06
Howard Cross III,2574027,DL,CIN,NE,,,,,,,,,,,,,,,,,,0.00,243,86,0.00,0.0
Jaden Crumedy,2571886,DL,CAR,@SF,,,,,,,,,,,,,,,,,,0.00,244,87,0.00,0.0
Michael Danna,2564262,DL,KC,IND,1.12,0.94,0.18,0.18,,0.06,,,,,,,,0.06,0.59,,,3.53,73,88,0.00,-3.53
Marcus Davenport,2561037,DL,DET,NYG,1.06,0.83,0.17,0.17,,,,,,,,,,,0.56,,,2.96,96,89,0.00,-2.96
DJ Davidson,2567991,DL,NYG,@DET,,,,,,,,,,,,,,,,,,0.00,245,90,0.00,0.0
Marlon Davidson,2563479,DL,HOU,BUF,,,,,,,,,,,,,,,,,,0.00,246,91,0.00,0.0
Carl Davis,2552280,DL,FA,Bye,,,,,,,,,,,,,,,,,,,247,92,0.00,
Devonta Davis,2574184,DL,FA,Bye,,,,,,,,,,,,,,,,,,,248,93,0.00,
Domenique Davis,2565501,DL,FA,Bye,,,,,,,,,,,,,,,,,,,249,94,0.00,
Jasheen Davis,2574395,DL,FA,Bye,,,,,,,,,,,,,,,,,,,250,95,0.00,
Jordan Davis,2568069,DL,PHI,@DAL,1.5,1.75,0.25,0.31,,0.06,0.06,,,,,,,0.31,0.63,,,5.63,20,96,0.00,-5.63
Kalia Davis,2568204,DL,SF,CAR,0.29,0.12,,0.06,,,,,,,,,,,,,,0.60,177,97,0.00,-0.6
Tyler Davis,2572192,DL,LAR,TB,0.24,0.18,,,,,,,,,0.06,,,,,,,0.71,169,98,0.00,-0.71
Denzel Daxon,2573046,DL,ARI,JAX,,,,,,,,,,,,,,,,,,0.00,251,99,0.00,0.0
Sheldon Day,2555241,DL,WAS,Bye,,,,,,,,,,,,,,,,,,,252,100,0.00,
Gervon Dexter Sr.,2569621,DL,CHI,PIT,1.69,1.46,0.34,0.28,,,0.06,,,,,,,0.06,1.13,,,5.29,29,101,0.00,-5.29
Matt Dickerson,2561044,DL,JAX,@ARI,,,,,,,,,,,,,,,,,,0.00,253,102,0.00,0.0
Fadil Diggs,2574398,DL,NO,ATL,,,,,,,,,,,,,,,,,,0.00,254,103,0.00,0.0
Brandon Dorlus,2571802,DL,ATL,@NO,0.12,0.24,0.06,,,,,,,,,,,,,,,0.44,187,104,0.00,-0.44
Ethan Downs,2574213,DL,KC,IND,,,,,,,,,,,,,,,,,,0.00,255,105,0.00,0.0
Cory Durden,2570951,DL,NE,@CIN,,,,,,,,,,,,,,,,,,0.00,256,106,0.00,0.0
Michael Dwumfour,2565723,DL,FA,Bye,,,,,,,,,,,,,,,,,,,257,107,0.00,
Justin Eboigbe,2572468,DL,LAC,Bye,,,,,,,,,,,,,,,,,,,258,108,0.00,
Mario Edwards,2553433,DL,HOU,BUF,0.9,0.62,0.21,0.28,,,,,,,,,,0.07,0.42,,,2.95,98,109,0.00,-2.95
TeRah Edwards,2574509,DL,LAC,Bye,,,,,,,,,,,,,,,,,,,259,110,0.00,
Daniel Ekuale,2561458,DL,PIT,@CHI,,,,,,,,,,,,,,,,,,0.00,260,111,0.00,0.0
Jordan Elliott,2563779,DL,SF,CAR,0.73,0.39,0.06,0.17,,,,,,,,,,0.06,0.17,,,1.94,130,112,0.00,-1.94
Kingsley Enagbare,2567589,DL,GB,MIN,1,1.57,0.29,0.43,,0.07,,,,,,,,0.14,0.57,,,4.55,45,113,0.00,-4.55
A.J. Epenesa,2563605,DL,BUF,@HOU,1.07,0.62,0.25,0.34,,,,,,,,,,0.11,0.51,,,3.52,74,114,0.00,-3.52
James Ester,2572657,DL,GB,MIN,,,,,,,,,,,,,,,,,,0.00,261,115,0.00,0.0
Desmond Evans,2574148,DL,FA,Bye,,,,,,,,,,,,,,,,,,,262,116,0.00,
Joe Evans,2574641,DL,FA,Bye,,,,,,,,,,,,,,,,,,,263,117,0.00,
Donovan Ezeiruaku,2574073,DL,DAL,PHI,1.26,0.6,0.33,0.42,,0.06,0.06,,,,,,,0.06,0.72,,,4.32,51,118,0.00,-4.32
Joshua Farmer,2574373,DL,NE,@CIN,0.71,0.53,0.03,0.18,,,0.06,,,,,,,0.06,0.12,,,1.98,128,119,0.00,-1.98
Foley Fatukasi,2560722,DL,HOU,BUF,0.82,0.41,0.06,0.12,,,,,,,,,,,0.18,,,1.87,134,120,0.00,-1.87
Breiden Fehoko,2565030,DL,FA,Bye,,,,,,,,,,,,,,,,,,,264,121,0.00,
Viliami Fehoko Jr.,2569702,DL,FA,Bye,,,,,,,,,,,,,,,,,,,265,122,0.00,
Clelin Ferrell,2562263,DL,SF,CAR,,,,,,,,,,,,,,,,,,0.00,266,123,0.00,0.0
Braden Fiske,2572195,DL,LAR,TB,1.14,1.2,0.34,0.46,,0.11,0.06,,,,,,,0.06,0.8,,,4.80,37,124,0.00,-4.8
Michael Fletcher,2574438,DL,FA,Bye,,,,,,,,,,,,,,,,,,,267,125,0.00,
Leonard Floyd,2555285,DL,ATL,@NO,1.35,0.88,0.47,0.47,,0.06,,,,,,,,0.06,1,,,5.06,34,126,0.00,-5.06
Jonathan Ford,2567592,DL,CHI,PIT,,,,,,,,,,,,,,,,,,0.00,268,127,0.00,0.0
Poona Ford,2561195,DL,LAR,TB,1.41,0.82,0.18,0.35,,,,,,,,,,0.12,0.47,,,4.03,56,128,0.00,-4.03
Trace Ford,2574422,DL,FA,Bye,,,,,,,,,,,,,,,,,,,269,129,0.00,
Isaiah Foskey,2570134,DL,CIN,NE,,,,,,,,,,,,,,,,,,0.00,270,130,0.00,0.0
Leki Fotu,2564910,DL,LV,CLE,0.59,0.53,0.06,0.06,,,,,,,,,,,0.12,,,1.47,143,131,0.00,-1.47
Morgan Fox,2556529,DL,FA,Bye,,,,,,,,,,,,,,,,,,,271,132,0.00,
John Franklin-Myers,2560731,DL,DEN,Bye,,,,,,,,,,,,,,,,,,,272,133,0.00,
Josh Fuga,2574510,DL,LAC,Bye,,,,,,,,,,,,,,,,,,,273,134,0.00,
Amari Gainer,2573223,DL,FA,Bye,,,,,,,,,,,,,,,,,,,274,135,0.00,
Greg Gaines,2562391,DL,TB,@LAR,0.51,0.77,0.06,0.13,,0.06,,,,,0.06,,,,0.26,,,2.12,125,136,0.00,-2.12
Neville Gallimore,2563842,DL,IND,@KC,,,,,,,,,,,,,,,,,,0.00,275,137,0.00,0.0
Bryce Ganious,2574654,DL,FA,Bye,,,,,,,,,,,,,,,,,,,276,138,0.00,
Elijah Garcia,2567829,DL,NYG,@DET,,,,,,,,,,,,,,,,,,0.00,277,139,0.00,0.0
Myles Garrett,2557965,DL,CLE,@LV,1.74,0.79,0.73,1.07,,0.17,0.06,,,,,,,0.11,1.58,,,7.87,3,140,0.00,-7.87
Jonathan Garvin,2563992,DL,CHI,PIT,,,,,,,,,,,,,,,,,,0.00,278,141,0.00,0.0
Rashan Gary,2562376,DL,GB,MIN,1.59,1.06,0.47,0.41,,0.06,0.06,,,,,,,0.06,1.12,,,5.56,22,142,0.00,-5.56
Ali Gaye,2571005,DL,TEN,SEA,,,,,,,,,,,,,,,,,,0.00,279,143,0.00,0.0
Joe Gaziano,2565036,DL,FA,Bye,,,,,,,,,,,,,,,,,,,280,144,0.00,
Ashton Gillotte,2574246,DL,KC,IND,,,,,,,,,,,,,,,,,,0.00,281,145,0.00,0.0
Kevin Givens,2562655,DL,SF,CAR,0.53,0.41,0.12,0.12,,,,,,,,,,0.06,0.35,,,1.79,135,146,0.00,-1.79
Davon Godchaux,2558012,DL,NO,ATL,1.53,1.88,,0.12,,,,,,,,,,,0.12,,,3.66,66,147,0.00,-3.66
Eddie Goldman,2552489,DL,WAS,Bye,,,,,,,,,,,,,,,,,,,282,148,0.00,
Chauncey Golston,2566007,DL,NYG,@DET,1.64,1.07,0.21,0.14,,,,,,,,,,0.21,0.5,,,4.51,46,149,0.00,-4.51
Anthony Goodlow,2573716,DL,ARI,JAX,,,,,,,,,,,,,,,,,,0.00,283,150,0.00,0.0
Adam Gotsis,2555502,DL,TB,@LAR,,,,,,,,,,,,,,,,,,0.00,284,151,0.00,0.0
Brandon Graham,496788,DL,PHI,@DAL,,,,,,,,,,,,,,,,,,0.00,285,152,0.00,0.0
Mason Graham,2574046,DL,CLE,@LV,1.56,1.14,0.06,0.3,,0.06,0.06,,,,,,,0.18,0.24,,,4.43,47,153,0.00,-4.43
Ta'Quon Graham,2565815,DL,ATL,@NO,0.12,0.24,0.06,,,0.06,,0.06,0.06,,,,,,,,0.06,1.14,150,154,0.00,-1.14
Carl Granderson,2562273,DL,NO,ATL,2.29,1.59,0.32,0.59,,0.06,,,,,,,,0.18,0.82,,,6.98,8,155,0.00,-6.98
Kenneth Grant,2574323,DL,MIA,Bye,,,,,,,,,,,,,,,,,,,286,156,0.00,
BJ Green II,2574214,DL,JAX,@ARI,,,,,,,,,,,,,,,,,,0.00,287,157,0.00,0.0
Mike Green,2573928,DL,BAL,NYJ,0.82,0.77,0.11,0.16,,,,,,,,,,,,,,2.15,124,158,0.00,-2.15
Mike Greene,2569465,DL,FA,Bye,,,,,,,,,,,,,,,,,,,288,159,0.00,
Eric Gregory,2574030,DL,NE,@CIN,,,,,,,,,,,,,,,,,,0.00,289,160,0.00,0.0
Thor Griffith,2574649,DL,FA,Bye,,,,,,,,,,,,,,,,,,,290,161,0.00,
Yetur Gross-Matos,2563641,DL,SF,CAR,0.93,0.41,0.18,0.35,,,,,,,,,,,0.47,,,2.76,106,162,0.00,-2.76
Gabe Hall,2572738,DL,PHI,@DAL,,,,,,,,,,,,,,,,,,0.00,291,163,0.00,0.0
Logan Hall,2568303,DL,TB,@LAR,1.01,0.62,0.23,0.34,,,0.06,,,,,,,0.06,0.51,,,3.32,80,164,0.00,-3.32
Mike Hall Jr.,2571949,DL,CLE,@LV,0.12,0.18,0.12,0.12,,,,,0.06,,,,,,0.06,,0.06,0.98,156,165,0.00,-0.98
DaVon Hamilton,2564190,DL,JAX,@ARI,1.65,1.53,0.06,0.12,,,,,,,,,,,0.12,,,3.75,63,166,0.00,-3.75
Kyonte Hamilton,2574169,DL,HOU,BUF,0.12,0.24,0.06,,,,,,,,,,,,0.24,,,0.56,181,167,0.00,-0.56
Ty Hamilton,2574268,DL,LAR,TB,0.24,0.18,0.06,,,,,,,,,,,,,,,0.59,178,168,0.00,-0.59
Da'Shawn Hand,2561004,DL,LAC,Bye,,,,,,,,,,,,,,,,,,,292,169,0.00,
Johnathan Hankins,2540147,DL,SEA,@TEN,,,,,,,,,,,,,,,,,,0.00,293,170,0.00,0.0
Daniel Hardy,2567832,DL,CHI,PIT,0.18,0.24,,0.06,,0.06,0.06,,,,,,,,,,,0.77,163,171,0.00,-0.77
Javon Hargrave,2555239,DL,MIN,@GB,1.62,1.26,0.36,0.48,,,,,,,,,,0.12,0.84,,,5.35,26,172,0.00,-5.35
Derrick Harmon,2574493,DL,PIT,@CHI,1.87,1.27,0.13,0.27,,0.07,0.07,,,,,,,0.13,0.4,,,5.07,33,173,0.00,-5.07
Demone Harris,2561209,DL,FA,Bye,,,,,,,,,,,,,,,,,,,294,174,0.00,
Hayden Harris,2573961,DL,FA,Bye,,,,,,,,,,,,,,,,,,,295,175,0.00,
Jonathan Harris,2562945,DL,MIN,@GB,,,,,,,,,,,,,,,,,,0.00,296,176,0.00,0.0
Marcus Harris,2572090,DL,FA,Bye,,,,,,,,,,,,,,,,,,,297,177,0.00,
Shelby Harris,2549926,DL,CLE,@LV,0.84,0.84,0.06,0.18,,,0.06,,,,,,,0.18,0.36,,,2.84,103,178,0.00,-2.84
Zach Harrison,2569555,DL,ATL,@NO,0.45,0.56,0.06,0.11,,,,,,,,,,0.06,0.06,,,1.48,142,179,0.00,-1.48
Jared Harrison-Hunte,2573983,DL,CAR,@SF,,,,,,,,,,,,,,,,,,0.00,298,180,0.00,0.0
Jahfari Harvey,2574293,DL,LV,CLE,,,,,,,,,,,,,,,,,,0.00,299,181,0.00,0.0
Ahmed Hassanein,2574109,DL,FA,Bye,,,,,,,,,,,,,,,,,,,300,182,0.00,
Decarius Hawthorne,2574630,DL,FA,Bye,,,,,,,,,,,,,,,,,,,301,183,0.00,
Marcus Haynes,2570909,DL,FA,Bye,,,,,,,,,,,,,,,,,,,302,184,0.00,
Bruce Hector,2561338,DL,FA,Bye,,,,,,,,,,,,,,,,,,,303,185,0.00,
Jack Heflin,2566929,DL,LAR,TB,,,,,,,,,,,,,,,,,,0.00,304,186,0.00,0.0
Tonka Hemingway,2574294,DL,LV,CLE,,,,,,,,,,,,,,,,,,0.00,305,187,0.00,0.0
Trey Hendrickson,2557943,DL,CIN,NE,1.82,0.82,0.82,1,,0.12,,,,,,,,0.24,1.71,,,8.24,2,188,0.00,-8.24
Matt Henningsen,2567523,DL,DEN,Bye,,,,,,,,,,,,,,,,,,,306,189,0.00,
KJ Henry,2570374,DL,PIT,@CHI,,,,,,,,,,,,,,,,,,0.00,307,190,0.00,0.0
Malik Herring,2566992,DL,FA,Bye,,,,,,,,,,,,,,,,,,,308,191,0.00,
Cameron Heyward,2508109,DL,PIT,@CHI,1.91,1.54,0.37,0.43,,,,,,,,,,0.37,0.86,,,6.53,12,192,0.00,-6.53
B.J. Hill,2560740,DL,CIN,NE,1.41,1.58,0.17,0.28,,,,,,,,,,0.23,0.56,,,4.68,41,193,0.00,-4.68
Kurt Hinish,2568876,DL,HOU,BUF,,,,,,,,,,,,,,,,,,0.00,309,194,0.00,0.0
Christopher Hinton,2569146,DL,FA,Bye,,,,,,,,,,,,,,,,,,,310,195,0.00,
Ralph Holley,2574047,DL,FA,Bye,,,,,,,,,,,,,,,,,,,311,196,0.00,
Jalyn Holmes,2560744,DL,WAS,Bye,,,,,,,,,,,,,,,,,,,312,197,0.00,
Timmy Horne,2568513,DL,TEN,SEA,,,,,,,,,,,,,,,,,,0.00,313,198,0.00,0.0
Cam Horsley,2574153,DL,TEN,SEA,,,,,,,,,,,,,,,,,,0.00,314,199,0.00,0.0
Dylan Horton,2569828,DL,HOU,BUF,0.12,0.24,0.12,0.18,,,0.06,,0.06,,,,,,0.18,,0.06,1.23,148,200,0.00,-1.23
James Houston,2567544,DL,DAL,PHI,,,,,,,,,,,,,,,,,,0.00,315,201,0.00,0.0
Bryce Huff,2565510,DL,SF,CAR,0.46,0.57,0.17,0.29,,0.06,,,,,,,,0.06,0.4,,,2.37,115,202,0.00,-2.37
Jerry Hughes,496796,DL,FA,Bye,,,,,,,,,,,,,,,,,,,316,203,0.00,
Danielle Hunter,2552603,DL,HOU,BUF,2,1.06,0.65,1.06,,0.06,,,,,,,,0.12,1.29,,,7.68,5,204,0.00,-7.68
Adin Huntington,2574048,DL,CLE,@LV,,,,,,,,,,,,,,,,,,0.00,317,205,0.00,0.0
Alex Huntley,2574325,DL,MIA,Bye,,,,,,,,,,,,,,,,,,,318,206,0.00,
Aidan Hutchinson,2567547,DL,DET,NYG,1.49,0.86,0.71,0.51,0.06,0.11,0.06,,,,,,,0.46,1.54,,,7.51,6,207,0.00,-7.51
Nash Hutmacher,2574587,DL,TB,@LAR,,,,,,,,,,,,,,,,,,0.00,319,208,0.00,0.0
Siaki Ika,2569675,DL,FA,Bye,,,,,,,,,,,,,,,,,,,320,209,0.00,
Tyrion Ingram-Dawkins,2574349,DL,MIN,@GB,0.18,0.12,0.06,0.18,,,0.06,,0.06,,,,,,,,0.06,1.03,154,210,0.00,-1.03
Isaiah Iton,2573455,DL,NE,@CIN,,,,,,,,,,,,,,,,,,0.00,321,211,0.00,0.0
Coziah Izzard,2574248,DL,FA,Bye,,,,,,,,,,,,,,,,,,,322,212,0.00,
Dvon J-Thomas,2574590,DL,FA,Bye,,,,,,,,,,,,,,,,,,,323,213,0.00,
Cam Jackson,2573987,DL,CAR,@SF,,,,,,,,,,,,,,,,,,0.00,324,214,0.00,0.0
Drake Jackson,2568213,DL,WAS,Bye,,,,,,,,,,,,,,,,,,,325,215,0.00,
Jordan Jackson,2567970,DL,DEN,Bye,,,,,,,,,,,,,,,,,,,326,216,0.00,
Landon Jackson,2573963,DL,BUF,@HOU,0.06,0.18,0.06,,,0.06,0.06,,,,,,,,,,,0.59,179,217,0.00,-0.59
McKinnley Jackson,2571925,DL,CIN,NE,0.12,0.18,,,,,0.06,,,,,,,,,,,0.35,189,218,0.00,-0.35
Tarron Jackson,2566400,DL,SF,CAR,0.29,0.12,0.06,,,,,,,,,,,,,,,0.63,174,219,0.00,-0.63
