PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Brandon Allen,2555365,QB,SF,Bye,,,,,,,,,,,,,,31,1,0.00,
Josh Allen,2560955,QB,BUF,MIA,267.63,1.79,0.86,35.32,0.58,,,,,,,0.59,21.98,1,2,0.00,-21.98
Kyle Allen,2561177,QB,PIT,Bye,,,,,,,,,,,,,,32,3,0.00,
Zack Annexstad,2573548,QB,FA,Bye,,,,,,,,,,,,,,33,4,0.00,
Tyson Bagent,2570467,QB,CHI,@ARI,,,,,,,,,,,,,0.00,34,5,0.00,0.0
Casey Bauman,2573779,QB,FA,Bye,,,,,,,,,,,,,,35,6,0.00,
Jason Bean,2573169,QB,IND,@MIN,,,,,,,,,,,,,0.00,36,7,0.00,0.0
C.J. Beathard,2557922,QB,MIA,@BUF,,,,,,,,,,,,,0.00,37,8,0.00,0.0
Stetson Bennett,2569939,QB,LAR,@SEA,,,,,,,,,,,,,0.00,38,9,0.00,0.0
Ian Book,2566352,QB,FA,Bye,,,,,,,,,,,,,,39,10,0.00,
Tim Boyle,2561187,QB,FA,Bye,,,,,,,,,,,,,,40,11,0.00,
Carter Bradley,2573208,QB,LV,@CIN,,,,,,,,,,,,,0.00,41,12,0.00,0.0
Jacoby Brissett,2555261,QB,NE,@TEN,,,,,,,,,,,,,0.00,42,13,0.00,0.0
Anthony Brown,2568363,QB,ARI,CHI,,,,,,,,,,,,,0.00,43,14,0.00,0.0
Jake Browning,2562634,QB,CIN,LV,,,,,,,,,,,,,0.00,44,15,0.00,0.0
Ben Bryant,2573882,QB,FA,Bye,,,,,,,,,,,,,,45,16,0.00,
Shane Buechele,2566983,QB,BUF,MIA,,,,,,,,,,,,,0.00,46,17,0.00,0.0
Joe Burrow,2563722,QB,CIN,LV,262.55,1.95,0.73,11.74,0.13,,,,,,,0.49,17.82,5,18,0.00,-17.82
Derek Carr,2543499,QB,NO,@CAR,222,1.34,0.67,4.09,0.06,,,,,,,0.43,12.81,27,19,0.00,-12.81
Sean Clifford,2569762,QB,GB,DET,,,,,,,,,,,,,0.00,47,20,0.00,0.0
Chevan Cordeiro,2572756,QB,FA,Bye,,,,,,,,,,,,,,48,21,0.00,
Matt Corral,2567349,QB,FA,Bye,,,,,,,,,,,,,,49,22,0.00,
Kirk Cousins,2532820,QB,ATL,DAL,250.88,1.66,0.76,4.55,0.06,,,,,,,0.44,15.09,15,23,0.00,-15.09
Malik Cunningham,2571222,QB,BAL,DEN,,,,,,,,,,,,,0.00,50,24,0.00,0.0
Andy Dalton,2495143,QB,CAR,NO,,,,,,,,,,,,,0.00,51,25,0.00,0.0
Jayden Daniels,2572564,QB,WAS,@NYG,203.05,1.31,0.72,52.61,0.5,,,,,,,0.4,19.38,4,26,0.00,-19.38
Sam Darnold,2561036,QB,MIN,IND,257.9,1.75,0.94,11.1,0.1,,,,,,,0.72,15.71,10,27,0.00,-15.71
Tommy DeVito,2570578,QB,NYG,WAS,,,,,,,,,,,,,0.00,52,28,0.00,0.0
Ben DiNucci,2563839,QB,FA,Bye,,,,,,,,,,,,,,53,29,0.00,
Joshua Dobbs,2558167,QB,SF,Bye,,,,,,,,,,,,,,54,30,0.00,
Jeff Driskel,2555262,QB,WAS,@NYG,,,,,,,,,,,,,0.00,55,31,0.00,0.0
Max Duggan,2570278,QB,FA,Bye,,,,,,,,,,,,,,56,32,0.00,
Jacob Eason,2564115,QB,FA,Bye,,,,,,,,,,,,,,57,33,0.00,
Sam Ehlinger,2566142,QB,IND,@MIN,,,,,,,,,,,,,0.00,58,34,0.00,0.0
Justin Fields,2565920,QB,PIT,Bye,,,,,,,,,,,,,,59,35,0.00,
Joe Flacco,382,QB,IND,@MIN,231.62,1.66,0.85,4.6,0.02,,,,,,,0.48,13.82,22,36,0.00,-13.82
Jake Fromm,2563608,QB,DET,@GB,,,,,,,,,,,,,0.00,60,37,0.00,0.0
Jimmy Garoppolo,2543801,QB,LAR,@SEA,,,,,,,,,,,,,0.00,61,38,0.00,0.0
Jared Goff,2555334,QB,DET,@GB,214.99,1.99,0.56,3.43,0.06,,,,,,,0.41,15.32,13,39,0.00,-15.32
Will Grier,2562404,QB,PHI,JAX,,,,,,,,,,,,,0.00,62,40,0.00,0.0
Jake Haener,2570131,QB,NO,@CAR,,,,,,,,,,,,,0.00,63,41,0.00,0.0
Jaren Hall,2570083,QB,SEA,LAR,,,,,,,,,,,,,0.00,64,42,0.00,0.0
Gavin Hardison,2573262,QB,FA,Bye,,,,,,,,,,,,,,65,43,0.00,
Sam Hartman,2573599,QB,WAS,@NYG,,,,,,,,,,,,,0.00,66,44,0.00,0.0
Taylor Heinicke,2553656,QB,LAC,@CLE,,,,,,,,,,,,,0.00,67,45,0.00,0.0
Justin Herbert,2565045,QB,LAC,@CLE,221.39,1.2,0.64,12,0.18,,,,,,,0.41,13.84,21,46,0.00,-13.84
Hendon Hooker,2569744,QB,DET,@GB,,,,,,,,,,,,,0.00,68,47,0.00,0.0
Sam Howell,2568333,QB,SEA,LAR,,,,,,,,,,,,,0.00,69,48,0.00,0.0
Tyler Huntley,2563560,QB,MIA,@BUF,,,,,,,,,,,,,0.00,70,49,0.00,0.0
Jalen Hurts,2564832,QB,PHI,JAX,226.85,1.35,0.68,39.93,0.68,,,,,,,0.49,20.21,3,50,0.00,-20.21
Lamar Jackson,2560757,QB,BAL,DEN,242.12,1.72,0.76,59.19,0.31,,,,,,,0.47,21.88,2,51,0.00,-21.88
Peewee Jarrett,2572690,QB,FA,Bye,,,,,,,,,,,,,,71,52,0.00,
Josh Johnson,264,QB,BAL,DEN,,,,,,,,,,,,,0.00,72,53,0.00,0.0
Daniel Jones,2562299,QB,NYG,WAS,226.67,1.1,0.7,23.41,0.17,,,,,,,0.45,14.53,19,54,0.00,-14.53
Emory Jones,2572796,QB,FA,Bye,,,,,,,,,,,,,,73,55,0.00,
Mac Jones,2566334,QB,JAX,@PHI,,,,,,,,,,,,,0.00,74,56,0.00,0.0
Case Keenum,2532888,QB,HOU,@NYJ,,,,,,,,,,,,,0.00,75,57,0.00,0.0
Trey Lance,2566532,QB,DAL,@ATL,,,,,,,,,,,,,0.00,76,58,0.00,0.0
Trevor Lawrence,2566163,QB,JAX,@PHI,210.71,1.3,0.79,12.89,0.12,,,,,,,0.43,13.20,23,59,0.00,-13.2
Devin Leary,2571832,QB,BAL,DEN,,,,,,,,,,,,,0.00,77,60,0.00,0.0
Will Levis,2569798,QB,TEN,NE,215.35,1.27,0.87,9.69,0.11,,,,,,,0.35,12.88,26,61,0.00,-12.88
Drew Lock,2562305,QB,NYG,WAS,,,,,,,,,,,,,0.00,78,62,0.00,0.0
Rocky Lombardi,2573001,QB,FA,Bye,,,,,,,,,,,,,,79,63,0.00,
Jordan Love,2564007,QB,GB,DET,231.85,1.72,0.69,12.6,0.17,,,,,,,0.4,16.25,8,64,0.00,-16.25
Jake Luton,2564205,QB,FA,Bye,,,,,,,,,,,,,,80,65,0.00,
Patrick Mahomes,2558125,QB,KC,TB,230,1.4,0.7,22.92,0.13,,,,,,,0.5,15.47,12,66,0.00,-15.47
Marcus Mariota,2552466,QB,WAS,@NYG,,,,,,,,,,,,,0.00,81,67,0.00,0.0
Adrian Martinez,2570984,QB,NYJ,HOU,,,,,,,,,,,,,0.00,82,68,0.00,0.0
Drake Maye,2572294,QB,NE,@TEN,181.62,1,0.67,20.85,0.21,,,,,,,0.52,12.23,29,69,0.00,-12.23
