PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Pat Surtain II,2566043,DB,DEN,NYJ,5,,,,,,,,,,,,,1,,,,9.42,49,11.00,9.42,1.58
Caden Sterns,2566040,DB,DEN,NYJ,2,,,,1,,,,,,,,,1,,46,,2.05,50,10.93,2.05,8.88
Dane Cruikshank,2561033,DB,TEN,IND,4,2,,,,,,,,,,,,1,,,,3.28,51,10.90,3.28,7.62
Erik Harris,2555568,DB,ATL,@NYG,3,1,,,,,,,,,,,,2,,,,9.11,52,10.90,9.11,1.79
Bobby Price,2563953,DB,DET,BAL,2,,,,,,,,,,,,,3,,,,2.81,53,10.90,2.81,8.09
Donte Jackson,2560753,DB,CAR,@HOU,5,1,,1,,,,,,,,,,,,,,8.52,54,10.80,8.52,2.28
Lonnie Johnson,2562295,DB,HOU,CAR,3,4,,,,,,,,,,,,1,,,,9.74,55,10.80,9.74,1.06
Ronnie Harrison,2561008,DB,CLE,CHI,2,1,1,1,,,,,,,,,,1,1,,,10.55,56,10.70,10.55,0.15
Jalen Thompson,2563339,DB,ARI,@JAX,4,3,,1,,,,,,,,,,,,,,8.80,57,10.70,8.8,1.9
Will Harris,2562395,DB,DET,BAL,6,,,,,,,,,,,,,,,,,9.53,58,10.20,9.53,0.67
Jabrill Peppers,2557980,DB,NYG,ATL,4,3,,,,,,,,,,,,,2,,,,59,10.20,,
Taylor Rapp,2562707,DB,LA,TB,4,1,,,,,,,,,,,,1,,,,11.87,60,10.10,11.87,-1.77
Ross Cockrell,2543799,DB,TB,@LA,2,2,,,,,,,,,,,,2,,,,2.80,61,10.00,2.8,7.2
Justin Simmons,2555550,DB,DEN,NYJ,1,1,,,1,,,,,,,,,1,,35,,10.01,62,9.67,10.01,-0.34
Ugo Amadi,2562464,DB,SEA,@MIN,5,1,,,,,,,,,,,,,,,,3.59,63,9.30,3.59,5.71
Bashaud Breeland,2543571,DB,MIN,SEA,5,1,,,,,,,,,,,,,,,,8.38,64,9.30,8.38,0.92
Shaquill Griffin,2558259,DB,JAX,ARI,5,1,,,,,,,,,,,,,,,,9.70,65,9.30,9.7,-0.4
Xavier McKinney,2564766,DB,NYG,ATL,5,1,,,,,,,,,,,,,,,,6.39,66,9.30,6.39,2.91
Darious Williams,2561469,DB,LA,TB,5,1,,,,,,,,,,,,,,,,9.75,67,9.30,9.75,-0.45
Khari Willis,2562602,DB,IND,@TEN,5,1,,,,,,,,,,,,,,,,,68,9.30,,
Antoine Winfield Jr.,2565261,DB,TB,@LA,5,1,,,,,,,,,,,,,,,,9.92,69,9.30,9.92,-0.62
Robert Alford,2539653,DB,ARI,@JAX,3,2,,,,,,,,,,,,1,,,,6.19,70,9.20,6.19,3.01
Jayron Kearse,2555156,DB,DAL,PHI,3,2,,,,,,,,,,,,1,,,,10.52,71,9.20,10.52,-1.32
Nik Needham,2563220,DB,MIA,@LV,3,2,,,,,,,,,,,,1,,,,2.88,72,9.20,2.88,6.32
Rock Ya-Sin,2562614,DB,IND,@TEN,2,1,,,,1,1,,,,,,,,,,13,4.82,73,9.13,4.82,4.31
Bryce Hall,2564796,DB,NYJ,@DEN,4,1,,1,,,,,,,,,,,,,,9.15,74,9.10,9.15,-0.05
Tavon Young,2555378,DB,BAL,@DET,3,,1,1,,,,,,,,,,,1,,,2.99,75,9.10,2.99,6.11
Jordan Whitehead,2560930,DB,TB,@LA,3,,,,,1,,,,,,,,,,,,6.91,76,8.60,6.91,1.69
Paulson Adebo,2566346,DB,NO,@NE,5,,,,,,,,,,,,,,,,,9.67,77,8.50,9.67,-1.17
Adrian Amos,2552385,DB,GB,@SF,5,,,,,,,,,,,,,,,,,11.26,78,8.50,11.26,-2.76
Tyrann Mathieu,2540180,DB,KC,LAC,5,,,,,,,,,,,,,,,,,8.87,79,8.50,8.87,-0.37
Budda Baker,2558009,DB,ARI,@JAX,4,2,,,,,,,,,,,,,,,,11.98,80,8.40,11.98,-3.58
Eddie Jackson,2558176,DB,CHI,@CLE,4,2,,,,,,,,,,,,,,,,9.36,81,8.40,9.36,-0.96
Taron Johnson,2560766,DB,BUF,WAS,3,1,,,,,,,,,,,,1,,,,11.10,82,8.40,11.1,-2.7
Johnathan Abram,2562616,DB,LV,MIA,3,4,,,,,,,,,,,,,,,,10.56,83,8.30,10.56,-2.26
Avonte Maddox,2560795,DB,PHI,@DAL,1,3,0.5,,,,,,,,,,,1,1,,,3.79,84,8.10,3.79,4.31
Tre'Davious White,2557867,DB,BUF,WAS,2,1,,,,1,,,,,,,,,,,,10.33,85,7.70,10.33,-2.63
Marlon Humphrey,2558067,DB,BAL,@DET,4,1,,,,,,,,,,,,,,,,11.52,86,7.60,11.52,-3.92
J.C. Jackson,2560754,DB,NE,NO,4,1,,,,,,,,,,,,,,,,7.61,87,7.60,7.61,-0.01
Derwin James,2560760,DB,LAC,@KC,4,1,,,,,,,,,,,,,,,,10.87,88,7.60,10.87,-3.27
Dean Marlowe,2553562,DB,DET,BAL,4,1,,,,,,,,,,,,,,,,0.76,89,7.60,0.76,6.84
Greg Newsome II,2565980,DB,CLE,CHI,3,,,,,,,,,,,,,1,,,,8.44,90,7.60,8.44,-0.84
Denzel Ward,2560916,DB,CLE,CHI,3,,,,,,,,,,,,,1,,,,9.23,91,7.60,9.23,-1.63
Marcus Epps,2562946,DB,PHI,@DAL,2,2,,,,,,,,,,,,1,,,,3.95,92,7.50,3.95,3.55
Kristian Fulton,2564046,DB,TEN,IND,2,2,,,,,,,,,,,,1,,,,,93,7.50,,
Janoris Jenkins,2532875,DB,TEN,IND,2,2,,,,,,,,,,,,1,,,,9.63,94,7.50,9.63,-2.13
Duke Shelley,2562957,DB,CHI,@CLE,3,3,,,,,,,,,,,,,,,,4.66,95,7.50,4.66,2.84
Darius Slay,2540288,DB,PHI,@DAL,3,1,,1,,,,,,,,,,,,,,8.98,96,7.40,8.98,-1.58
Eric Stokes,2566097,DB,GB,@SF,1,4,,,,,,,,,,,,1,,,,8.61,97,7.40,8.61,-1.21
Michael Davis,2559164,DB,LAC,@KC,2,1,,,,,2,,,,,,,,,,34,9.75,98,7.33,9.75,-2.42
Kyle Dugger,2564601,DB,NE,NO,2,2,,1,,,,,,,,,,,1,,,5.37,99,7.00,5.37,1.63
Adoree' Jackson,2558065,DB,NYG,ATL,4,,,,,,,,,,,,,,,,,9.66,100,6.80,9.66,-2.86
David Long,2562798,DB,LA,TB,4,,,,,,,,,,,,,,,,,1.42,101,6.80,1.42,5.38
Asante Samuel Jr.,2566511,DB,LAC,@KC,,1,,,1,,,,,,,,,1,,,,9.83,102,6.80,9.83,-3.03
Jimmie Ward,2543741,DB,SF,GB,4,,,,,,,,,,,,,,,,,9.15,103,6.80,9.15,-2.35
Jeremy Chinn,2563632,DB,CAR,@HOU,3,2,,,,,,,,,,,,,,,,10.42,104,6.70,10.42,-3.72
Quandre Diggs,2552262,DB,SEA,@MIN,3,2,,,,,,,,,,,,,,,,8.94,105,6.70,8.94,-2.24
Jordan Fuller,2564340,DB,LA,TB,3,2,,,,,,,,,,,,,,,,10.21,106,6.70,10.21,-3.51
Mike Hilton,2556559,DB,CIN,@PIT,3,2,,,,,,,,,,,,,,,,9.93,107,6.70,9.93,-3.23
Xavien Howard,2555539,DB,MIA,@LV,2,1,,,,,,,,,,,,1,,,,9.38,108,6.70,9.38,-2.68
