PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Mike Williams,2558846,WR,LAC,@KC,,,,,7,122,2,,,1,,10.75,1,29.70,10.75,18.95
Cooper Kupp,2557898,WR,LA,TB,,,,,9,96,2,,,,,16.03,2,26.10,16.03,10.07
Davante Adams,2543495,WR,GB,@SF,,,,,12,132,1,,,,,16.29,3,25.20,16.29,8.91
Emmanuel Sanders,497322,WR,BUF,WAS,,,,,5,94,2,,,,,9.46,4,23.90,9.46,14.44
Justin Jefferson,2564556,WR,MIN,SEA,,,,,9,118,1,,,,,15.40,5,22.30,15.4,6.9
Ja'Marr Chase,2565941,WR,CIN,@PIT,,,,,4,65,2,,,,,10.68,6,21.30,10.68,10.62
DK Metcalf,2562685,WR,SEA,@MIN,,,,,6,107,1,,,,,13.23,7,19.70,13.23,6.47
DeSean Jackson,1581,WR,LV,MIA,,,,,3,120,1,,,,,2.29,8,19.50,2.29,17.21
Kendrick Bourne,2558914,WR,NE,NO,,,,,6,96,1,,,,,5.45,9,18.60,5.45,13.15
Chris Godwin,2558105,WR,TB,@LA,,,,2,6,74,,,,,,12.58,10,16.60,12.58,4.02
D.J. Moore,2560813,WR,CAR,@HOU,,,,-1,8,126,,,,,,12.38,11,16.50,12.38,4.12
Brandin Cooks,2543498,WR,HOU,CAR,,,,5,9,112,,,,,,16.42,12,16.20,16.42,-0.22
Hunter Renfrow,2562712,WR,LV,MIA,,,,,5,77,1,,,,,7.62,13,16.20,7.62,8.58
A.J. Green,2495450,WR,ARI,@JAX,,,,,5,112,,,,,,7.00,14,15.40,7.0,8.4
Cole Beasley,2535698,WR,BUF,WAS,,,,,11,98,,,,,,9.34,15,15.30,9.34,5.96
Keenan Allen,2540154,WR,LAC,@KC,,,,,8,50,1,,,,,12.06,16,15.00,12.06,2.94
Mike Evans,2543468,WR,TB,@LA,,,,,8,106,,,,,,11.02,17,14.60,11.02,3.58
Chase Claypool,2564970,WR,PIT,CIN,,,,,9,96,,,,,,10.69,18,14.10,10.69,3.41
Adam Thielen,2541785,WR,MIN,SEA,,,,,6,50,1,,,,,12.39,19,14.00,12.39,1.61
Christian Kirk,2560781,WR,ARI,@JAX,,,,,7,104,,,,,,9.08,20,13.90,9.08,4.82
Jakobi Meyers,2562492,WR,NE,NO,,,,,9,94,,,,,,8.68,21,13.90,8.68,5.22
Marquez Valdes-Scantling,2560907,WR,GB,@SF,,,,,3,59,1,,,,,7.92,22,13.40,7.92,5.48
Mecole Hardman,2562580,WR,KC,LAC,,,,2,3,33,1,,,,,7.62,23,12.70,7.62,5.08
Brandon Aiyuk,2565093,WR,SF,GB,,,,8,4,37,1,,,,,8.35,24,12.50,8.35,4.15
D.J. Chark,2561018,WR,JAX,ARI,,,,,3,49,1,,,,,,25,12.40,,
Tim Patrick,2558985,WR,DEN,NYJ,,,,,5,98,,,,,,9.98,26,12.30,9.98,2.32
