PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Logan Wilson,2563752,LB,CIN,@PIT,6,8,,,2,,,,,,,,,2,,13,,9.93,1,29.03,9.93,19.1
Kenny Young,2560947,LB,DEN,NYJ,8,2,1,3,,1,,,,,,,,,1,,,7.67,2,25.70,7.67,18.03
Jordan Hicks,2552315,LB,ARI,@JAX,7,5,1,,,1,,,,,,,,1,1,,,11.90,3,24.40,11.9,12.5
Elandon Roberts,2556119,LB,MIA,@LV,3,3,,,1,1,,1,,,,,,1,,85,,6.76,4,23.83,6.76,17.07
Cole Holcomb,2562872,LB,WAS,@BUF,10,5,,1,,,,,,,,,,,,,,11.60,5,22.50,11.6,10.9
Foye Oluokun,2561132,LB,ATL,@NYG,9,5,,1,,,,,,,,,,,1,,,12.34,6,21.30,12.34,8.96
Demario Davis,2533008,LB,NO,@NE,7,1,,2,,,,,,,,,,2,,,,12.56,7,20.70,12.56,8.14
Denzel Perryman,2552310,LB,LV,MIA,10,4,,,,,,,,,,,,,,,,8.92,8,20.20,8.92,11.28
Eric Kendricks,2552312,LB,MIN,SEA,6,5,1,2,,,,,,,,,,,1,,,13.00,9,19.70,13.0,6.7
A.J. Johnson,2561704,LB,DEN,NYJ,5,,2,2,,,,,,,,,,1,2,,,,10,19.00,,
Deion Jones,2555162,LB,ATL,@NYG,8,4,,1,,,,,,,,,,,,,,11.78,11,18.30,11.78,6.52
Matt Milano,2557969,LB,BUF,WAS,5,2,,2,,,1,,,,,,,1,1,,,11.79,12,17.10,11.79,5.31
Cory Littleton,2556593,LB,LV,MIA,7,3,,,,,,,,,,,,1,,,,9.22,13,16.80,9.22,7.58
Quincy Williams,2562954,LB,NYJ,@DEN,6,,,2,,1,,,,,,,,,,,,8.02,14,16.70,8.02,8.68
Zach Cunningham,2558094,LB,HOU,CAR,6,8,,,,,,,,,,,,,,,,14.22,15,16.60,14.22,2.38
De'Vondre Campbell,2555255,LB,GB,@SF,6,6,,,,,1,,,,,,,,,,3,11.94,16,16.10,11.94,4.16
Bobby Okereke,2562416,LB,IND,@TEN,6,2,1,1,,,,,,,,,,,1,,,10.42,17,15.80,10.42,5.38
Tae Crowder,2564727,LB,NYG,ATL,4,7,,,,,,,,,,,,1,,,,7.93,18,14.90,7.93,6.97
Kyzir White,2560928,LB,LAC,@KC,5,3,1,1,,,,,,,,,,,1,,,9.04,19,14.90,9.04,5.86
Drue Tranquill,2562765,LB,LAC,@KC,6,2,0.5,1,,,,,,,,,,,1,,,2.80,20,14.80,2.8,12.0
Christian Kirksey,2543720,LB,HOU,CAR,7,3,,,,,,,,,,,,,,,,,21,14.30,,
Jeremiah Owusu-Koramoah,2565983,LB,CLE,CHI,3,1,0.5,1,,,,,,,,,,2,1,,,,22,13.90,,
Matt Judon,2555505,LB,NE,NO,2,1,2.5,2,,,,,,,,,,,3,,,7.31,23,13.70,7.31,6.39
Ja'Whaun Bentley,2561143,LB,NE,NO,6,1,,,,,,,,,,,,1,,,,13.14,24,13.50,13.14,0.36
Myles Jack,2555329,LB,JAX,ARI,6,4,,,,,,,,,,,,,,,,12.09,25,13.40,12.09,1.31
Tremaine Edmunds,2560713,LB,BUF,WAS,6,2,,1,,,,,,,,,,,,,,11.02,26,13.30,11.02,2.28
Bobby Wagner,2532966,LB,SEA,@MIN,4,7,,,,,,,,,,,,,1,,,14.44,27,12.90,14.44,-1.54
Darius Leonard,2560789,LB,IND,@TEN,3,3,,,1,,1,,,,,,,1,,4,,14.65,28,12.63,14.65,-2.02
Damien Wilson,2552686,LB,JAX,ARI,6,3,,,,,,,,,,,,,,,,7.11,29,12.60,7.11,5.49
Azeez Al-Shaair,2562462,LB,SF,GB,5,5,,,,,,,,,,,,,,,,8.92,30,12.50,8.92,3.58
Alex Anzalone,2558163,LB,DET,BAL,5,,1,1,,,,,,,,,,,1,,,9.06,31,12.50,9.06,3.44
Jonathan Greenard,2564070,LB,HOU,CAR,2,2,1,1,,1,,,,,,,,,1,,,3.20,32,12.50,3.2,9.3
Alex Singleton,2553739,LB,PHI,@DAL,5,5,,,,,,,,,,,,,,,,12.89,33,12.50,12.89,-0.39
Roquan Smith,2560877,LB,CHI,@CLE,5,5,,,,,,,,,,,,,,,,14.29,34,12.50,14.29,-1.79
David Long,2562799,LB,TEN,IND,5,3,,1,,,,,,,,,,,,,,6.56,35,12.40,6.56,5.84
Jordyn Brooks,2565135,LB,SEA,@MIN,5,2,,1,,,,,,,,,,,1,,,11.30,36,12.10,11.3,0.8
Shaq Thompson,2552447,LB,CAR,@HOU,5,1,,1,,,,,,,,,,,2,,,11.30,37,11.80,11.3,0.5
Haason Reddick,2557887,LB,CAR,@HOU,2,1,1.5,2,,,,,,,,,,,3,,,7.77,38,11.70,7.77,3.93
Fred Warner,2560917,LB,SF,GB,5,4,,,,,,,,,,,,,,,,12.38,39,11.70,12.38,-0.68
Anthony Hitchens,2543592,LB,KC,LAC,4,1,,1,,,,,,,,,,1,,,,10.21,40,11.60,10.21,1.39
C.J. Mosley,2543464,LB,NYJ,@DEN,4,6,,,,,,,,,,,,,,,,11.72,41,11.60,11.72,-0.12
Rashaan Evans,2560718,LB,TEN,IND,4,4,,1,,,,,,,,,,,,,,9.28,42,11.50,9.28,2.22
Frankie Luvu,2561366,LB,CAR,@HOU,2,,1,1,,1,,,,,,,,,2,,,2.44,43,11.40,2.44,8.96
Khalil Mack,2543463,LB,CHI,@CLE,2,,2,2,,,,,,,,,,,2,,,6.46,44,11.40,6.46,4.94
Micah Parsons,2566019,LB,DAL,PHI,3,1,0.5,1,,,,,,,,,,1,1,,,6.65,45,11.40,6.65,4.75
Ola Adeniyi,2560950,LB,TEN,IND,2,2,1.5,1,,,,,,,,,,,3,,,1.76,46,11.00,1.76,9.24
Jerome Baker,2560966,LB,MIA,@LV,5,3,,,,,,,,,,,,,,,,12.18,47,10.90,12.18,-1.28
Preston Smith,2552276,LB,GB,@SF,3,1,1,1,,,,,,,,,,,3,,,5.68,48,10.90,5.68,5.22
Lavonte David,2532828,LB,TB,@LA,6,,,,,,,,,,,,,,,,,11.42,49,10.20,11.42,-1.22
Akeem Davis-Gaither,2563728,LB,CIN,@PIT,5,2,,,,,,,,,,,,,,,,,50,10.10,,
Isaiah Simmons,2564940,LB,ARI,@JAX,2,4,,,,1,,,,,,,,,,,,9.89,51,10.10,9.89,0.21
Nick Vigil,2555528,LB,MIN,SEA,4,4,,,,,,,,,,,,,,,,13.32,52,10.00,13.32,-3.32
T.J. Edwards,2562648,LB,PHI,@DAL,3,1,1,1,,,,,,,,,,,1,,,2.16,53,9.90,2.16,7.74
Devin White,2562781,LB,TB,@LA,4,3,,,,,,,,,,,,,1,,,13.65,54,9.70,13.65,-3.95
Chandler Jones,2533538,LB,ARI,@JAX,3,,,1,,,1,,,,,,,,4,,1,7.77,55,9.63,7.77,1.86
Malik Reed,2562825,LB,DEN,NYJ,2,2,1,1,,,,,,,,,,,2,,,6.43,56,9.50,6.43,3.07
Jamin Davis,2566595,LB,WAS,@BUF,5,1,,,,,,,,,,,,,,,,7.58,57,9.30,7.58,1.72
Azeez Ojulari,2566367,LB,NYG,ATL,1,2,1,,,1,,,,,,,,,1,,,6.52,58,9.30,6.52,2.78
Patrick Queen,2563575,LB,BAL,@DET,4,3,,,,,,,,,,,,,,,,9.89,59,9.20,9.89,-0.69
Leonard Floyd,2555285,LB,LA,TB,2,2,1,1,,,,,,,,,,,1,,,6.96,60,9.00,6.96,2.04
Jalen Reeves-Maybin,2557924,LB,DET,BAL,4,,,1,,,,,,,,,,,1,,,7.37,61,8.80,7.37,1.43
Shaquil Barrett,2550541,LB,TB,@LA,3,2,,1,,,,,,,,,,,1,,,6.63,62,8.70,6.63,2.07
Jaelan Phillips,2566289,LB,MIA,@LV,4,2,,,,,,,,,,,,,,,,2.13,63,8.40,2.13,6.27
Nick Bolton,2566175,LB,KC,LAC,3,4,,,,,,,,,,,,,,,,9.67,64,8.30,9.67,-1.37
Germaine Pratt,2562702,LB,CIN,@PIT,3,4,,,,,,,,,,,,,,,,7.50,65,8.30,7.5,0.8
Von Miller,2495202,LB,LA,TB,1,2,1,1,,,,,,,,,,,2,,,6.15,66,7.80,6.15,1.65
Harold Landry,2560784,LB,TEN,IND,1,3,0.5,,,,,,,,,,,,5,,,8.75,67,7.60,8.75,-1.15
Joe Schobert,2555166,LB,PIT,CIN,4,1,,,,,,,,,,,,,,,,13.09,68,7.60,13.09,-5.49
