PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Chase McLaughlin,2563203,K,CLE,CHI,2,,,1,,1,2,,,,7.39,1,19.00,7.39,11.61
Mason Crosby,2507232,K,GB,@SF,3,,,,1,,2,,,,7.55,2,17.70,7.55,10.15
Justin Tucker,2536340,K,BAL,@DET,1,,,,2,,2,,,,8.11,3,17.00,8.11,8.89
Brandon McManus,2541556,K,DEN,NYJ,2,,,1,1,2,,,,,7.00,4,16.00,7.0,9.0
Tyler Bass,2563596,K,BUF,WAS,4,,,2,,1,,,,,6.69,5,14.00,6.69,7.31
Greg Joseph,2561534,K,MIN,SEA,3,,,1,1,1,,,,,7.32,6,13.00,7.32,5.68
Rodrigo Blankenship,2564106,K,IND,@TEN,1,,,2,,1,,,,,,7,11.00,,
Matt Gay,2562271,K,LA,TB,4,,,1,,1,,,,,7.34,8,11.00,7.34,3.66
Jason Sanders,2561153,K,MIA,@LV,2,,,,,1,1,,,,6.81,9,11.00,6.81,4.19
Daniel Carlson,2560993,K,LV,MIA,2,1,,1,1,,1,,,,7.70,10,10.00,7.7,2.3
Nick Folk,2507225,K,NE,NO,1,,,1,,1,,,,,6.63,11,8.00,6.63,1.37
Evan McPherson,2565953,K,CIN,@PIT,3,,,,,1,,,,,5.89,12,7.00,5.89,1.11
Jason Myers,2553112,K,SEA,@MIN,2,,,,,,1,,,,7.24,13,7.00,7.24,-0.24
Matt Prater,2506677,K,ARI,@JAX,4,,,,1,,,,,,7.02,14,7.00,7.02,-0.02
Cairo Santos,2550636,K,CHI,@CLE,,,,1,,1,,,,,6.78,15,7.00,6.78,0.22
Harrison Butker,2558245,K,KC,LAC,3,,,,1,,,,,,7.14,16,6.00,7.14,-1.14
Graham Gano,71309,K,NYG,ATL,,,,1,1,,,,,,7.36,17,6.00,7.36,-1.36
Zane Gonzalez,2558178,K,CAR,@HOU,3,,,1,,,,,,,6.98,18,6.00,6.98,-0.98
Younghoe Koo,2559205,K,ATL,@NYG,2,,,,,1,,,,,7.57,19,6.00,7.57,-1.57
Ryan Succop,89802,K,TB,@LA,3,,,1,,,,,,,7.69,20,6.00,7.69,-1.69
Randy Bullock,2533444,K,TEN,IND,2,,,,1,,,,,,8.35,21,5.00,8.35,-3.35
Ryan Santoso,2561269,K,DET,BAL,2,,,,1,,,,,,7.08,22,5.00,7.08,-2.08
Chris Boswell,2550545,K,PIT,CIN,1,,,1,,,,,,,7.48,23,4.00,7.48,-3.48
Robbie Gould,2506264,K,SF,GB,4,,,,,,,,,,7.70,24,4.00,7.7,-3.7
Jake Elliott,2558172,K,PHI,@DAL,3,,,,,,,,,,5.56,25,3.00,5.56,-2.56
Dustin Hopkins,2539227,K,LAC,@KC,3,,,,,,,,,,6.29,26,3.00,6.29,-3.29
Aldrick Rosas,2556771,K,FA,Bye,4,,,,,,,,,1,,27,3.00,,
Joey Slye,2563132,K,FA,Bye,,1,,,,,1,,,,,28,2.00,,
Greg Zuerlein,2534797,K,DAL,PHI,5,1,,,,,,,,,6.46,29,2.00,6.46,-4.46
Roberto Aguayo,2555408,K,FA,Bye,,,,,,,,,,,,30,0.00,,
Matt Ammendola,2565555,K,NYJ,@DEN,,,,,,,,,,,0.00,31,0.00,0.0,0.0
Mike Badgley,2560965,K,IND,@TEN,,,,,,,,,,,0.00,32,0.00,0.0,0.0
Dan Bailey,2495259,K,FA,Bye,,,,,,,,,,,,33,0.00,,
Chris Blewitt,2562800,K,WAS,@BUF,,,,,,,,,,,0.00,34,0.00,0.0,0.0
Chandler Catanzaro,2550325,K,FA,Bye,,,,,,,,,,,,35,0.00,,
Dominik Eberle,2565360,K,FA,Bye,,,,,,,,,,,,36,0.00,,
Ka'imi Fairbairn,2556521,K,HOU,CAR,,,,,,,,,,,0.00,37,0.00,0.0,0.0
Sam Ficken,2557430,K,TEN,IND,,,,,,,,,,,,38,0.00,,
Kai Forbath,2495150,K,FA,Bye,,,,,,,,,,,,39,0.00,,
Stephen Gostkowski,2506922,K,FA,Bye,,,,,,,,,,,,40,0.00,,
Stephen Hauschka,2507374,K,FA,Bye,,,,,,,,,,,,41,0.00,,
Brian Johnson,2566740,K,NO,@NE,,,,,,,,,,,0.00,42,0.00,0.0,0.0
Alex Kessman,2566484,K,FA,Bye,,,,,,,,,,,,43,0.00,,
Ty Long,2553555,K,LAC,@KC,,,,,,,,,,,0.00,44,0.00,0.0,0.0
Wil Lutz,2556601,K,NO,@NE,,,,,,,,,,,,45,0.00,,
Austin MacGinnis,2563452,K,FA,Bye,,,,,,,,,,,,46,0.00,,
Brett Maher,2540243,K,FA,Bye,,,,,,,,,,,,47,0.00,,
Tucker McCann,2565462,K,FA,Bye,,,,,,,,,,,,48,0.00,,
JJ Molson,2565550,K,GB,@SF,,,,,,,,,,,0.00,49,0.00,0.0,0.0
Chris Naggar,2565744,K,CLE,CHI,,,,,,,,,,,0.00,50,0.00,0.0,0.0
Quinn Nordin,2565684,K,NE,NO,,,,,,,,,,,,51,0.00,,
Mike Nugent,2506386,K,FA,Bye,,,,,,,,,,,,52,0.00,,
Cody Parkey,2550380,K,FA,Bye,,,,,,,,,,,,53,0.00,,
Austin Seibert,2562729,K,DET,BAL,,,,,,,,,,,0.00,54,0.00,0.0,0.0
Giorgio Tavecchio,2535686,K,FA,Bye,,,,,,,,,,,,55,0.00,,
Jake Verity,2566731,K,BAL,@DET,,,,,,,,,,,,56,0.00,,
Brandon Wright,2564247,K,FA,Bye,,,,,,,,,,,,57,0.00,,
Matthew Wright,2562968,K,JAX,ARI,,,,,,,,,,,0.00,58,0.00,0.0,0.0
Tristan Vizcaino,2562807,K,LAC,@KC,1,2,,1,,,,,,,6.13,59,-2.00,6.13,-8.13
Josh Lambo,2553833,K,PIT,CIN,1,2,,,,,,,,,6.58,60,-5.00,6.58,-11.58
