PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Ezekiel Elliott,2555224,RB,DAL,PHI,,,,95,3,21,,,,,,13.93,1,25.10,13.93,11.17
Kareem Hunt,2557917,RB,CLE,CHI,,,,81,6,74,,,,,,,2,24.50,,
Najee Harris,2566448,RB,PIT,CIN,,,,40,14,102,,,,,,12.48,3,22.90,12.48,10.42
James Robinson,2564223,RB,JAX,ARI,,,,88,6,46,,,,,1,13.01,4,20.40,13.01,7.39
D'Andre Swift,2563965,RB,DET,BAL,,,,47,7,60,,,,,,14.46,5,20.20,14.46,5.74
Alexander Mattison,2562682,RB,MIN,SEA,,,,112,6,59,,,,,,14.34,6,20.10,14.34,5.76
Peyton Barber,2556466,RB,LV,MIA,,,,111,3,31,,,,,1,5.25,7,19.70,5.25,14.45
Austin Ekeler,2559169,RB,LAC,@KC,,,,55,6,52,1,,,,,17.09,8,19.70,17.09,2.61
Alvin Kamara,2558019,RB,NO,@NE,,,,89,3,29,1,,,,,19.05,9,19.30,19.05,0.25
Saquon Barkley,2560968,RB,NYG,ATL,,,,51,6,43,,,,,,13.10,10,18.40,13.1,5.3
Derrick Henry,2556075,RB,TEN,IND,,,,113,3,31,,,,1,,,11,17.90,,
James Conner,2557978,RB,ARI,@JAX,,,,43,1,10,,,,,,8.52,12,17.80,8.52,9.28
Antonio Gibson,2565276,RB,WAS,@BUF,,,,31,1,73,1,,,,,12.12,13,16.90,12.12,4.78
Zack Moss,2563617,RB,BUF,WAS,,,,60,3,31,1,,,,,7.42,14,16.60,7.42,9.18
Nyheim Hines,2560742,RB,IND,@TEN,,,,25,5,54,,,,,,9.55,15,16.40,9.55,6.85
Clyde Edwards-Helaire,2564271,RB,KC,LAC,,,,100,2,9,1,,,,1,,16,15.90,,
Chris Carson,2558865,RB,SEA,@MIN,,,,80,2,2,,,,,,,17,15.20,,
Giovani Bernard,2540156,RB,TB,@LA,,,,,9,51,1,,,,1,3.46,18,14.60,3.46,11.14
Melvin Gordon,2552469,RB,DEN,NYJ,,,,60,1,21,,,,,,11.99,19,14.60,11.99,2.61
Aaron Jones,2558116,RB,GB,@SF,,,,82,2,14,,,,,1,15.31,20,14.60,15.31,-0.71
Jamaal Williams,2558204,RB,DET,BAL,,,,42,2,25,,,,,,7.06,21,13.70,7.06,6.64
Cordarrelle Patterson,2540145,RB,ATL,@NYG,,,,20,6,82,,,,,,6.34,22,13.20,6.34,6.86
Kyle Juszczyk,2540230,RB,SF,GB,,,,14,4,37,1,,,,,3.23,23,13.10,3.23,9.87
Javonte Williams,2566049,RB,DEN,NYJ,,,,29,3,33,,,,,1,5.48,24,11.70,5.48,6.22
Chase Edmonds,2560711,RB,ARI,@JAX,,,,26,7,49,,,,,,11.75,25,11.00,11.75,-0.75
Trey Sermon,2566544,RB,SF,GB,,,,31,2,3,,,,,,11.89,26,10.40,11.89,-1.49
Joe Mixon,2557976,RB,CIN,@PIT,,,,90,1,4,,,,,,14.45,27,9.90,14.45,-4.55
Chuba Hubbard,2565899,RB,CAR,@HOU,,,,52,3,27,,,,,,1.90,28,9.40,1.9,7.5
Sony Michel,2560809,RB,LA,TB,,,,67,3,12,,,,,,11.82,29,9.40,11.82,-2.42
Alec Ingold,2562288,RB,LV,MIA,,,,,1,1,1,,,,,1.15,30,9.33,1.15,8.18
Malcolm Brown,2552382,RB,MIA,@LV,,,,31,,,,,,,,,31,9.10,,
Mike Davis,2553439,RB,ATL,@NYG,,,,50,4,20,,,,,,14.67,32,9.00,14.67,-5.67
Myles Gaskin,2562270,RB,MIA,@LV,,,,65,3,9,,,,,,12.76,33,8.90,12.76,-3.86
Nick Chubb,2561021,RB,CLE,CHI,,,,84,,,,,,,,14.06,34,8.40,14.06,-5.66
Jeremy McNichols,2557977,RB,TEN,IND,,,,6,1,10,1,,,,,2.63,35,8.10,2.63,5.47
Brandon Bolden,2532797,RB,NE,NO,,,,-1,3,23,,,,,,1.84,36,7.90,1.84,6.06
Jonathan Taylor,2564148,RB,IND,@TEN,,,,64,1,8,,,,,,15.13,37,7.70,15.13,-7.43
Kenyan Drake,2555230,RB,LV,MIA,,,,24,3,33,,,,,,10.24,38,7.20,10.24,-3.04
Tony Pollard,2562699,RB,DAL,PHI,,,,60,1,5,,,,,,7.79,39,7.00,7.79,-0.79
Miles Sanders,2562722,RB,PHI,@DAL,,,,27,3,28,,,,,,,40,7.00,,
David Montgomery,2562502,RB,CHI,@CLE,,,,34,2,21,,,,,,13.59,41,6.50,13.59,-7.09
Travis Homer,2562665,RB,SEA,@MIN,,,,,3,48,,,,,,2.91,42,6.30,2.91,3.39
Christian McCaffrey,2557997,RB,CAR,@HOU,,,,31,2,9,,,,,,20.78,43,5.00,20.78,-15.78
Leonard Fournette,2557973,RB,TB,@LA,,,,8,3,26,,,,,,12.29,44,4.90,12.29,-7.39
Kenneth Gainwell,2566397,RB,PHI,@DAL,,,,2,3,32,,,,,,5.20,45,4.90,5.2,-0.3
Darrel Williams,2560935,RB,KC,LAC,,,,28,2,11,,,,,,3.62,46,4.90,3.62,1.28
J.D. McKissic,2556440,RB,WAS,@BUF,,,,23,2,15,,,,,,6.44,47,4.80,6.44,-1.64
Carlos Hyde,2543743,RB,JAX,ARI,,,,44,,,,,,,,5.30,48,4.40,5.3,-0.9
Michael Carter,2566382,RB,NYJ,@DEN,,,,24,2,5,,,,,,4.71,49,3.90,4.71,-0.81
A.J. Dillon,2563986,RB,GB,@SF,,,,18,2,8,,,,,,4.58,50,3.60,4.58,-0.98
Chris Evans,2565944,RB,CIN,@PIT,,,,,2,26,,,,,,1.18,51,3.60,1.18,2.42
Damien Williams,2550512,RB,CHI,@CLE,,,,,,,,,,,,5.58,52,3.40,5.58,-2.18
Tony Jones,2564679,RB,NO,@NE,,,,12,2,10,,,,,,,53,3.20,,
Devin Singletary,2562734,RB,BUF,WAS,,,,26,1,,,,,,,9.44,54,3.10,9.44,-6.34
Royce Freeman,2560733,RB,FA,Bye,,,,17,1,8,,,,,,,55,3.00,,
Gary Brightwell,2566364,RB,NYG,ATL,,,,4,,,,,,,,2.32,56,2.80,2.32,0.48
Ty Johnson,2562293,RB,NYJ,@DEN,,,,17,1,6,,,,,,9.25,57,2.80,9.25,-6.45
Latavius Murray,2541161,RB,BAL,@DET,,,,28,,,,,,,,6.29,58,2.80,6.29,-3.49
Mark Ingram,2495466,RB,NO,@NE,,,,21,1,-1,,,,,,8.88,59,2.50,8.88,-6.38
Derek Watt,2555220,RB,PIT,CIN,,,,,1,3,,,,,,0.60,60,2.50,0.6,1.9
Ameer Abdullah,2552374,RB,CAR,@HOU,,,,24,,,,,,,,3.13,61,2.40,3.13,-0.73
Demetric Felton,2565968,RB,CLE,CHI,,,,,2,13,,,,,,1.79,62,2.30,1.79,0.51
Alex Armah,2558833,RB,NO,@NE,,,,5,,,,,,,,0.95,63,2.20,0.95,1.25
Ty'Son Williams,2565542,RB,BAL,@DET,,,,22,,,,,,,,11.56,64,2.20,11.56,-9.36
Damien Harris,2562281,RB,NE,NO,,,,14,2,-3,,,,,,11.32,65,2.10,11.32,-9.22
Gabe Nabers,2565066,RB,LAC,@KC,,,,,2,11,,,,,,0.41,66,2.10,0.41,1.69
Nick Bellore,2495262,RB,SEA,@MIN,,,,,,,,,,,,0.25,67,1.70,0.25,1.45
Jason Cabinda,2560986,RB,DET,BAL,,,,,,,,,,,,0.33,68,1.70,0.33,1.37
Trenton Cannon,2561137,RB,SF,GB,,,,,,,,,,,,0.70,69,1.70,0.7,1.0
Keith Smith,2550400,RB,ATL,@NYG,,,,,,,,,,,,2.42,70,1.70,2.42,-0.72
Jordan Wilkins,2560933,RB,JAX,ARI,,,,,,,,,,,,1.35,71,1.70,1.35,0.35
Boston Scott,2561146,RB,PHI,@DAL,,,,,2,5,,,,,,1.69,72,1.50,1.69,-0.19
J.J. Taylor,2564640,RB,NE,NO,,,,2,2,3,,,,,,2.18,73,1.50,2.18,-0.68
Samaje Perine,2558138,RB,CIN,@PIT,,,,-1,1,8,,,,,,3.87,74,1.20,3.87,-2.67
