PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Nick Folk,2507225,K,TEN,@MIA,1.75,0.11,,0.43,0.48,0.43,0.16,,,0.05,6.62,26,1,24.00,17.38
Younghoe Koo,2559205,K,ATL,NO,2.24,0.06,,0.46,0.52,0.4,0.35,,,,8.35,6,2,20.00,11.65
Greg Joseph,2561534,K,NYG,DAL,1.85,0.45,,0.36,0.48,0.42,0.24,,,,5.90,32,3,19.00,13.1
Joshua Karty,2572201,K,LAR,@CHI,2.3,0.1,,0.37,0.42,0.42,0.16,,,0.05,6.80,24,4,15.00,8.2
Evan McPherson,2565953,K,CIN,@CAR,2.96,0.12,,0.43,0.49,0.56,0.31,,,,9.15,1,5,13.00,3.85
Jake Moody,2570308,K,SF,NE,2.94,0.18,,0.43,0.55,0.43,0.24,,,0.06,8.20,8,6,13.00,4.8
Brandon Aubrey,2571750,K,DAL,@NYG,2.9,0.12,,0.54,0.54,0.42,0.3,,,0.06,8.90,3,7,11.00,2.1
Cam Little,2572147,K,JAX,@HOU,2.22,0.11,,0.33,0.5,0.33,0.17,,,,6.55,27,8,11.00,4.45
Austin Seibert,2562729,K,WAS,@ARI,1.83,0.06,,0.18,0.55,0.49,0.12,,,0.06,6.34,29,9,11.00,4.66
Joey Slye,2563132,K,NE,@SF,1.9,0.11,,0.39,0.45,0.39,0.22,,,0.06,6.69,25,10,11.00,4.31
Daniel Carlson,2560993,K,LV,CLE,1.94,0.05,,0.43,0.49,0.38,0.27,,,,7.42,15,11,10.00,2.58
Greg Zuerlein,2534797,K,NYJ,DEN,2.41,0.12,,0.42,0.54,0.48,0.3,,,0.06,8.29,7,12,10.00,1.71
Matt Gay,2562271,K,IND,PIT,1.94,0.11,,0.39,0.5,0.39,0.28,,,0.06,7.18,21,13,9.00,1.82
Jason Sanders,2561153,K,MIA,TEN,2.52,0.11,,0.38,0.44,0.44,0.16,,,0.05,7.16,22,14,9.00,1.84
Chris Boswell,2550545,K,PIT,@IND,1.95,0.11,,0.39,0.5,0.45,0.22,,,,7.19,19,15,8.00,0.81
Chase McLaughlin,2563203,K,TB,PHI,1.99,0.11,,0.4,0.51,0.45,0.23,,,0.06,7.28,17,16,8.00,0.72
Jake Bates,2571759,K,DET,SEA,2.8,0.13,,0.33,0.46,0.46,0.2,,,0.07,7.55,14,17,7.50,-0.05
Blake Grupe,2571234,K,NO,@ATL,2.13,0.11,,0.39,0.5,0.39,0.22,,,0.06,7.07,23,18,7.00,-0.07
Eddy Pineiro,2560842,K,CAR,CIN,1.92,0.11,,0.34,0.45,0.34,0.23,,,,6.47,28,19,7.00,0.53
Will Reichard,2572273,K,MIN,@GB,2.04,0.1,,0.29,0.44,0.34,0.15,,,0.05,5.99,31,20,7.00,1.01
Cairo Santos,2550636,K,CHI,LAR,2.23,0.12,,0.42,0.48,0.48,0.24,,,,7.69,12,21,7.00,-0.69
Tyler Bass,2563596,K,BUF,@BAL,2.57,0.12,,0.41,0.52,0.41,0.23,,,0.06,7.73,11,22,6.00,-1.73
Cameron Dicker,2568435,K,LAC,KC,2.09,0.1,,0.37,0.47,0.47,0.21,,,0.05,7.19,20,23,6.00,-1.19
Ka'imi Fairbairn,2556521,K,HOU,JAX,2.9,0.12,,0.43,0.56,0.43,0.25,,,0.06,8.42,5,24,6.00,-2.42
Harrison Butker,2558245,K,KC,@LAC,3.07,0.12,,0.48,0.6,0.42,0.3,,,,9.13,2,25,5.00,-4.13
Wil Lutz,2556601,K,DEN,@NYJ,1.81,0.1,,0.35,0.4,0.35,0.2,,,0.05,6.11,30,26,5.00,-1.11
Justin Tucker,2536340,K,BAL,BUF,2.78,0.18,,0.46,0.52,0.52,0.29,,,,8.71,4,27,5.00,-3.71
Dustin Hopkins,2539227,K,CLE,@LV,2.27,0.11,,0.39,0.5,0.44,0.22,,,0.06,7.41,16,28,3.00,-4.41
Jason Myers,2553112,K,SEA,@DET,2.19,0.12,,0.4,0.52,0.46,0.17,,,0.06,7.22,18,29,3.00,-4.22
Jake Elliott,2558172,K,PHI,@TB,2.38,0.12,,0.41,0.46,0.46,0.23,,,0.06,7.56,13,30,2.00,-5.56
Brayden Narveson,2573470,K,FA,Bye,2.65,0.12,,0.42,0.48,0.42,0.24,,,0.06,,9,31,2.00,
Matt Prater,2506677,K,ARI,WAS,2.1,0.12,,0.42,0.54,0.42,0.3,,,0.06,7.74,10,32,2.00,-5.74
Ramiz Ahmed,2563692,K,FA,Bye,,,,,,,,,,,,33,33,0.00,
Mike Badgley,2560965,K,DET,SEA,,,,,,,,,,,0.00,34,34,0.00,0.0
Tanner Brown,2569984,K,FA,Bye,,,,,,,,,,,,35,35,0.00,
Anders Carlson,2569750,K,SF,NE,,,,,,,,,,,0.00,36,36,0.00,0.0
Graham Gano,71309,K,NYG,DAL,,,,,,,,,,,0.00,37,37,0.00,0.0
Alex Hale,2573890,K,GB,MIN,,,,,,,,,,,0.00,38,38,0.00,0.0
