PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,Rank,TotalPoints
Chris Boswell,2550545,K,PIT,BAL,,,,1,2,,3,,,,1,24.00
Matt Gay,2562271,K,IND,@NYJ,1,,,,,2,1,,,,2,14.00
Cameron Dicker,2568435,K,LAC,CIN,4,,1,,,,1,,,,3,13.50
Jake Bates,2571759,K,DET,JAX,7,,,,,,1,,,,4,12.00
Jason Myers,2553112,K,SEA,@SF,2,,,,,,2,,,,5,12.00
Anders Carlson,2569750,K,NYJ,IND,3,,,,1,,1,,,,6,11.00
Jason Sanders,2561153,K,MIA,LV,4,,,,1,1,,,,,7,11.00
Ka'imi Fairbairn,2556521,K,HOU,@DAL,4,,,1,1,,,,,,8,10.00
Younghoe Koo,2559205,K,ATL,@DEN,,,,,,1,1,,,,9,9.00
Wil Lutz,2556601,K,DEN,ATL,5,,,,,1,,,,,10,9.00
Evan McPherson,2565953,K,CIN,@LAC,3,,,2,,,,,,,11,9.00
Cairo Santos,2550636,K,CHI,GB,1,,,1,,,1,,,,12,9.00
Nick Folk,2507225,K,TEN,MIN,1,,,,1,1,,,,,13,8.00
Cam Little,2572147,K,JAX,@DET,,,,,1,,1,,,,14,8.00
Joey Slye,2563132,K,NE,LAR,1,1,,1,1,1,,,,,15,8.00
Daniel Carlson,2560993,K,LV,@MIA,1,,,2,,,,,,,16,7.00
Brandon Aubrey,2571750,K,DAL,HOU,1,,,,,,1,,,,17,6.00
Justin Tucker,2536340,K,BAL,@PIT,1,,,,,,1,,,,18,6.00
Jake Elliott,2558172,K,PHI,WAS,2,1,,1,1,,,,,,19,5.00
Zane Gonzalez,2558178,K,WAS,@PHI,1,,,,,1,,,,,20,5.00
Blake Grupe,2571234,K,NO,CLE,5,,,,,,,,,,21,5.00
Jake Moody,2570308,K,SF,SEA,2,,,,1,,,,,,22,5.00
Tyler Bass,2563596,K,BUF,KC,3,1,,,1,,,,,,23,3.00
John Parker Romo,2569101,K,MIN,@TEN,2,1,,,,1,,,,,24,3.00
Spencer Shrader,2573175,K,KC,@BUF,3,,,,,,,,,,25,3.00
Joshua Karty,2572201,K,LAR,@NE,4,,,,,,,,1,,26,2.00
Brandon McManus,2541556,K,GB,@CHI,2,,,,,,,,,,27,2.00
Ramiz Ahmed,2563692,K,FA,Bye,,,,,,,,,,,28,0.00
Mike Badgley,2560965,K,DET,JAX,,,,,,,,,,,29,0.00
Tanner Brown,2569984,K,FA,Bye,,,,,,,,,,,30,0.00
Harrison Butker,2558245,K,KC,@BUF,,,,,,,,,,,31,0.00
Graham Gano,71309,K,NYG,Bye,,,,,,,,,,,32,0.00
Alex Hale,2573890,K,GB,@CHI,,,,,,,,,,,33,0.00
Lucas Havrisik,2569534,K,FA,Bye,,,,,,,,,,,34,0.00
Greg Joseph,2561534,K,FA,Bye,,,,,,,,,,,35,0.00
Brett Maher,2540243,K,FA,Bye,,,,,,,,,,,36,0.00
Jude McAtamney,2573503,K,NYG,Bye,,,,,,,,,,,37,0.00
Chase McLaughlin,2563203,K,TB,Bye,,,,,,,,,,,38,0.00
Harrison Mevis,2572932,K,FA,Bye,,,,,,,,,,,39,0.00
Brayden Narveson,2573470,K,FA,Bye,,,,,,,,,,,40,0.00
Riley Patterson,2567013,K,FA,Bye,,,,,,,,,,,41,0.00
Eddy Pineiro,2560842,K,CAR,Bye,,,,,,,,,,,42,0.00
Jack Podlesny,2571174,K,FA,Bye,,,,,,,,,,,43,0.00
Matt Prater,2506677,K,ARI,Bye,,,,,,,,,,,44,0.00
Will Reichard,2572273,K,MIN,@TEN,,,,,,,,,,,45,0.00
Chad Ryland,2570125,K,ARI,Bye,,,,,,,,,,,46,0.00
Austin Seibert,2562729,K,WAS,@PHI,,,,,,,,,,,47,0.00
Charlie Smyth,2572330,K,NO,CLE,,,,,,,,,,,48,0.00
James Turner,2573148,K,FA,Bye,,,,,,,,,,,49,0.00
Matthew Wright,2562968,K,FA,Bye,,,,,,,,,,,50,0.00
Cade York,2567487,K,FA,Bye,,,,,,,,,,,51,0.00
Greg Zuerlein,2534797,K,NYJ,IND,,,,,,,,,,,52,0.00
Dustin Hopkins,2539227,K,CLE,@NO,,,,,,,,,1,,53,-2.00
