PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Taysom Hill,2558954,TE,NO,CLE,18,,1,138,3,8,50,,,,,1,54.52,7,8,15,8,10,80,2,3,,1,37.52
Jonnu Smith,2558207,TE,MIA,LV,,,,,,6,101,2,,,,,29.70,,6,6,6,8,75,2,,2,2,25.10
Brock Bowers,2572219,TE,LV,@MIA,,,,-3,,13,126,1,,,,,25.80,1,13,14,13,16,81,,,,3,24.80
Noah Gray,2566178,TE,KC,@BUF,,,,,,4,23,2,,,,,22.70,,4,4,4,5,80,2,,2,4,16.30
Will Dissly,2561046,TE,LAC,CIN,,,,,,4,80,1,,,,,17.10,,4,4,4,6,67,,,,5,16.00
Zach Ertz,2540158,TE,WAS,@PHI,,,,,,6,47,1,,,1,,18.40,,6,6,6,7,86,2,,2,6,15.70
David Njoku,2557986,TE,CLE,@NO,,,,,,9,81,,,,1,,17.00,,9,9,9,9,100,,,,7,14.60
Juwan Johnson,2564676,TE,NO,CLE,,,,,,3,30,1,,,,,54.52,,3,3,3,3,100,1,,1,8,10.50
Hunter Henry,2555341,TE,NE,LAR,,,,,,6,63,,,,,,14.80,,6,6,6,9,67,,,,9,9.30
Luke Schoonmaker,2569690,TE,DAL,HOU,,,,,,6,56,,,,,,17.90,,6,6,6,10,60,,,,10,8.60
Colby Parkinson,2565180,TE,LAR,@NE,,,,,,1,19,1,,,,,8.40,,1,1,1,1,100,1,,,11,8.40
Nate Adkins,2570930,TE,DEN,ATL,,,,,,1,12,1,,,,,7.70,,1,1,1,1,100,1,,,12,7.70
Kenny Yeboah,2565768,TE,NYJ,IND,,,,,,1,11,1,,,,,10.80,,1,1,1,1,100,1,,,13,7.60
Isaiah Likely,2567283,TE,BAL,@PIT,,,,,,4,75,,,,,1,11.30,,4,4,4,5,80,,,,14,7.50
Brock Wright,2567221,TE,DET,JAX,,,,,,1,5,1,,,,,9.70,,1,1,1,1,100,1,,1,15,7.00
Dallas Goedert,2560995,TE,PHI,WAS,,,,,,5,61,,,,,1,7.67,,5,5,5,5,100,,,,16,6.60
Foster Moreau,2562317,TE,NO,CLE,,,,,,3,50,,,,,,54.52,,3,3,3,4,75,,,,17,6.50
Brevyn Spann-Ford,2573064,TE,DAL,HOU,,,,,,4,42,,,,,,17.90,,4,4,4,5,80,,,,18,6.20
Dawson Knox,2562681,TE,BUF,KC,,,,,,4,40,,,,,,7.00,,4,4,4,6,67,,,,19,6.00
Dalton Schultz,2560866,TE,HOU,@DAL,,,,,,5,33,,,,,,8.30,,5,5,5,7,71,,,,20,5.80
Cole Kmet,2563704,TE,CHI,GB,,,,,,3,42,,,,,,5.70,,3,3,3,3,100,,,,21,5.70
Austin Hooper,2555415,TE,NE,LAR,,,,,,4,35,,,,,,14.80,,4,4,4,4,100,,,,22,5.50
Evan Engram,2557858,TE,JAX,@DET,,,,,,5,28,,,,,,8.70,,5,5,5,7,71,,,,23,5.30
Darnell Washington,2570257,TE,PIT,BAL,,,,,,2,42,,,,,,7.60,,2,2,2,4,50,,,,24,5.20
Josh Oliver,2562693,TE,MIN,@TEN,,,,,,3,34,,,,,,9.00,,3,3,3,3,100,,,,25,4.90
Julian Hill,2571129,TE,MIA,LV,,,,,,2,28,,,,,,29.70,,2,2,2,3,67,,,,26,3.80
