PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Israel Abanikanda,2570188,RB,GB,@CLE,,,,,,,,,,,,,0.00,102,1,0.00,0.0
Ameer Abdullah,2552374,RB,FA,Bye,,,,,,,,,,,,,,103,2,0.00,
De'Von Achane,2570062,RB,MIA,@BUF,,,,63.82,0.56,4.53,35.29,0.26,,,,0.19,16.72,8,3,0.00,-16.72
Salvon Ahmed,2565090,RB,IND,@TEN,,,,,,,,,,,,,0.00,104,4,0.00,0.0
Cam Akers,2564319,RB,FA,Bye,,,,,,,,,,,,,,105,5,0.00,
Rasheen Ali,2571823,RB,BAL,DET,,,,,,,,,,,,,0.00,106,6,0.00,0.0
Braelon Allen,2572354,RB,NYJ,@TB,,,,22.39,0.14,1.16,10.88,0.06,,,,0.08,4.95,52,7,0.00,-4.95
LeQuint Allen Jr.,2574207,RB,JAX,HOU,,,,,,,,,,,,,0.00,107,8,0.00,0.0
Tyler Allgeier,2567232,RB,ATL,@CAR,,,,37.2,0.21,0.65,5.82,0.04,,,,0.1,5.93,43,9,0.00,-5.93
Tyler Badie,2567265,RB,DEN,@LAC,,,,,,,,,,,,,0.00,108,10,0.00,0.0
Emani Bailey,2572805,RB,FA,Bye,,,,,,,,,,,,,,109,11,0.00,
Rushawn Baker,2574413,RB,FA,Bye,,,,,,,,,,,,,,110,12,0.00,
Saquon Barkley,2560968,RB,PHI,LAR,,,,112.26,0.81,1.93,14.79,0.11,,,,0.21,18.77,2,13,0.00,-18.77
Andrew Beck,2562626,RB,NYJ,@TB,,,,,,,,,,,,,0.00,111,14,0.00,0.0
Trey Benson,2572405,RB,ARI,@SF,,,,33.06,0.09,1.17,11.43,0.03,,,,0.11,5.53,46,15,0.00,-5.53
Ulysses Bentley IV,2574183,RB,IND,@TEN,,,,,,,,,,,,,0.00,112,16,0.00,0.0
Micah Bernard,2574143,RB,FA,Bye,,,,,,,,,,,,,,113,17,0.00,
