PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Chase McLaughlin,2563203,K,TB,@LAC,1.95,0.11,,0.39,0.5,0.39,0.28,,,0.06,7.19,20,1,18.00,10.81
Brandon Aubrey,2571750,K,DAL,@CAR,2.82,0.12,,0.53,0.53,0.41,0.29,,,0.06,8.67,1,2,16.00,7.33
Cam Little,2572147,K,JAX,NYJ,2.05,0.1,,0.34,0.49,0.34,0.15,,,,6.35,28,3,15.00,8.65
Will Reichard,2572273,K,MIN,CHI,2.43,0.12,,0.35,0.52,0.4,0.17,,,0.06,7.07,24,4,15.00,7.93
Chad Ryland,2570125,K,ARI,NE,1.9,0.23,,0.48,0.48,0.48,0.23,,,,7.16,23,5,14.00,6.84
Brandon McManus,2541556,K,GB,@SEA,2.3,0.26,,0.26,0.51,0.51,0.26,,,,7.17,22,6,13.50,6.33
Tyler Bass,2563596,K,BUF,@DET,2.74,0.12,,0.44,0.56,0.44,0.25,,,0.06,8.33,5,7,13.00,4.67
Joshua Karty,2572201,K,LAR,@SF,2.45,0.11,,0.39,0.45,0.45,0.17,,,0.06,7.23,16,8,13.00,5.77
Jake Elliott,2558172,K,PHI,PIT,2.46,0.12,,0.42,0.48,0.48,0.24,,,0.06,7.86,8,9,10.00,2.14
Blake Grupe,2571234,K,NO,WAS,2.12,0.11,,0.39,0.5,0.39,0.22,,,0.06,7.06,25,10,10.00,2.94
Ka'imi Fairbairn,2556521,K,HOU,MIA,2.92,0.12,,0.44,0.56,0.44,0.25,,,0.06,8.51,3,11,9.00,0.49
Greg Joseph,2561534,K,WAS,@NO,,,,,,,,,,,0.00,38,12,9.00,9.0
Younghoe Koo,2559205,K,ATL,@LV,2.31,0.06,,0.47,0.53,0.42,0.36,,,,8.61,2,13,9.00,0.39
Jake Moody,2570308,K,SF,LAR,3.02,0.19,,0.44,0.57,0.44,0.25,,,0.06,8.43,4,14,9.00,0.57
Jason Myers,2553112,K,SEA,GB,2.25,0.12,,0.41,0.53,0.47,0.18,,,0.06,7.43,13,15,9.00,1.57
Chris Boswell,2550545,K,PIT,@PHI,1.95,0.11,,0.39,0.5,0.45,0.22,,,,7.19,19,16,8.00,0.81
Matt Gay,2562271,K,IND,@DEN,1.97,0.11,,0.39,0.51,0.39,0.28,,,0.06,7.24,15,17,8.00,0.76
Wil Lutz,2556601,K,DEN,IND,2.05,0.11,,0.4,0.46,0.4,0.23,,,0.06,6.99,26,18,8.00,1.01
Anders Carlson,2569750,K,NYJ,@JAX,1.8,0.62,,0.41,0.53,0.53,0.32,,,,6.48,27,19,7.00,0.52
Joey Slye,2563132,K,NE,@ARI,2.03,0.12,,0.42,0.48,0.42,0.24,,,0.06,7.19,21,20,7.00,-0.19
Jake Bates,2571759,K,DET,BUF,2.92,0.19,,0.37,0.5,0.5,0.19,,,0.06,7.85,9,21,6.00,-1.85
